bcmvkbnlwr,sppmdojmyw,btkwemjrqq,tbubgcroex,ftrkppbwcl,ovssddynfw,mrykfdzamm
cAt,-293,513,604,hcfjsbviia,wobuwtxzvu,831
toblwtxebe,mirerkfccb,kdglagmhvf,fqwriuflna,-0.4565,0.1145,0.084
-0.3355,cbufesqcyb,CaT,caT,nbbrjudtnp,-742,-0.257
30,0.2805,nwsdwiwmfe,jlqeehjxcx,evkyjwbfic,0.252,lfvvutvbqq
puldsfheyl,DOG,Cat,449,-4,-0.372,-64
cat,-0.388,CAT,doG,-513,0.1435,-122
lictgtauck,525,DoG,0.036,afapnbkfrn,adklxtkfse,sgryqzdjkb
-175,-0.196,veygbsdbwf,caT,nffcwixkul,-0.268,0.289
ufzofzptvl,-0.119,689,-0.071,dog,0.0005,iioangcudb
xlovxeirck,yozdlngosd,475,-145,-190,-409,-51
hlvekvixbx,dxulznbscd,-0.4215,pgdkudugua,eoevimambb,CAT,-0.1535
-0.08,0.276,750,193,0.223,-0.0925,DOg
Dog,0.2655,Dog,0.4435,0.1745,117,219
0.0985,-715,0.266,11,dOg,0.093,caT
823,427,-568,nejkksxlwk,57,-0.467,CAt
-0.113,ngehbcpyec,hmebbatjao,315,-0.1255,0.212,939
811,-809,49,455,669,ouaqkxlczt,89
-0.252,doG,-0.3165,-0.435,-0.0245,vlexenofqh,cAt
dOg,579,cwrkjwsunf,0.0375,yfwrxqjmno,0.386,0.301
vwahdybcma,hcnqoozwoq,-0.1415,0.268,116,0.2135,qsyulkfqzk
cAT,-0.0095,gwvkwfjoww,-0.441,542,0.316,-280
vvbqpeqrpu,-986,-0.138,-0.318,-361,DOG,0.0505
yhmlomnbuj,ioulynvdls,wrzylqkmlb,DOg,616,wfiarximme,gucdszjmqv
pcnemwnbhk,0.2145,vbtdcvshte,-400,DOg,cyghjnwsrb,doG
437,CAT,zdtsgyspxs,Dog,360,-847,ifeodbnuds
sztmpwcwca,CAT,0.1315,-0.096,-0.4365,0.093,-0.259
rnspohqbeq,CAt,304,doG,sfhpbbwjjs,gxusopobfm,-799
dOG,zywqwszrnu,-502,doG,0.1275,DOg,qjldtybiia
-0.113,omzdrhkxqh,dOg,-985,0.058,-0.27,hryddqaopk
88,-45,bngityoiyo,-0.0035,-898,700,-302
0.384,-33,rxgceolvko,0.306,-0.1515,267,-0.1785
-383,nisftgvruo,0.2555,-491,-843,-0.3265,0.486
-642,-52,CaT,brluubkazt,-458,-0.2285,sftzzuxmhp
hubgcgvjor,CAt,0.4745,DOG,doG,0.441,-0.1525
-454,-0.191,-352,doG,hhigfmvjbv,-0.357,oaucctbluy
0.3675,100,DoG,-166,-212,mwoqfmfjzc,-0.1355
fvkyndbfql,0.159,-0.061,729,-0.205,ylinducjxf,-567
-0.392,-822,lpztrpzzqj,0.3995,DOG,0.193,-567
0.313,hlgrvqzcsm,zsblwcjwbm,wscmdgassg,Cat,-625,-598
835,cqwlsalthh,-874,-0.3375,996,iedaixlyyp,CAt
xxdrwobosg,0.4825,-400,giwqomdzwq,nbsmrnqnbb,dyhbdtfyrt,-302
-0.212,-0.03,440,-0.2795,-0.0215,dog,0.3625
-0.36,DOg,955,-922,-135,cAt,0.053
0.1995,CAt,DoG,qdltvstvjj,-0.489,0.24,-639
724,683,zluzodoyzj,-0.118,CAt,373,0.457
nldefijkxq,cpuoivlldn,532,-500,0.1525,-0.3725,717
0.183,-730,-0.1235,0.4295,-164,-342,805
-96,65,0.4065,dog,-242,-967,363
