Pet,siggsqpbpk,xvkxwmcygi,kundbrojto,guichqgtwg,giizbaaatc,sjbzdkazpe
-5,-275,0.2975,wrgteerbpg,tbainuihsj,twclcmrfaa,0.3755
0.1115,551,980,oudpvxgayw,764,-130,-352
CaT,mswjuzfsbg,lisjdlqzvp,0.4495,nvtjeqksde,yjdawkkqcv,0.369
doG,nuqujtrctq,-84,-588,vbnkwnkzkz,793,uiqzkdpujg
DOg,CAt,yyrvmqehuz,-822,doG,389,gooegcabot
dog,bycnnduiaj,cAt,dOg,-571,cAt,dog
0.388,dOG,-80,480,rkgirxcjzw,-800,-0.303
cAT,14,0.414,DOg,doG,0.011,-113
mjmwrcrhpr,xqqtzyqdxz,-0.2855,-0.0625,doG,0.256,cAT
468,dog,kikknliaoz,0.464,-0.044,epoilkgfyz,0.15
DOg,0.232,283,duslwhqchf,ftfktokbwr,852,-0.134
cat,-0.1815,habyvgpirt,pliyezrtbn,0.056,fjxxevbrdm,cAt
DOg,0.4555,nzjfkjfxej,0.1625,hphlhxfpyi,-0.2755,cAt
DoG,dog,cat,-0.0145,aefzdwqquk,tmcntibqsn,3
doG,597,0.391,CAT,DoG,-335,cat
caT,DOg,aucpqmjqax,0.324,0.403,cAt,ynzmgnnlhs
CaT,csqmngvwzw,jpwxizhuwk,-869,-141,-22,CAT
315,bzerdcpjam,CaT,jybdyeudan,jzstqvriuu,lnpnliovoh,-0.0995
CaT,895,utjkopjrvj,pqjwtrkzor,684,mbpxubqgdf,0.208
DOg,352,-677,affhvtrcfm,140,dog,DOg
dog,CAT,DOg,cAt,709,-0.294,rkizeqmtxe
dOg,cAT,xidnngedrv,135,paqjpzejkk,0.121,CAt
DoG,doG,0.35,kyuykesdcy,xuhtelzcmq,DOg,dOg
dOg,CAT,-44,911,0.389,zxhidfypyy,xhtyxjupuf
CaT,CAT,xtkzugorky,0.1985,opezqyjzon,DoG,dog
cAt,umyhwfkmoo,-277,vyfwexrhot,clfgmraadt,rckzliqzfi,pheyykmnsd
-0.2215,-362,-97,-0.116,-623,0.1135,-851
DOg,-0.321,-0.0515,-0.381,3,934,0.0565
cat,jdeiwameth,ckvwxpaczw,614,-706,dfsshoppco,-0.203
DOg,0.17,-0.0395,CaT,-0.0505,-0.1675,ytbufsyval
cAT,ribognxlab,zxoefpewgw,-953,472,spvgcglozc,0.2045
Dog,-909,314,Dog,-0.2055,-383,Cat
