vanpskffdq,zcfwvmqbck,heaeinmlxq,baimsdqjac,nkijnzdjjh,wcjcbzowhc,jecilauyso
yxmdaosivh,0.4105,doG,-492,-0.3005,0.4195,594
bpnsonntpo,dOg,-82,828,jprdskozpz,jifxjnuxdd,cAT
-0.0085,Dog,dog,368,370,juzddpggzr,0.031
-94,-0.1835,Dog,urvklwnecb,0.0305,rmzlgeasbp,cat
0.0635,-672,caT,CaT,0.4845,-0.275,48
-644,wwtvtiecjj,-532,CAt,0.1165,-43,-0.2685
cubitasnvk,yrbzojylpf,dblzqdrqwm,cAt,azvfpexduc,-0.052,-401
-166,0.4715,649,0.008,260,doG,0.499
-0.325,0.496,-0.491,-0.168,-0.043,956,dOg
CAt,doG,-0.2395,-0.178,0.2115,-0.336,0.068
ijqxcvorhh,mudaucgjbn,avfixqwkhr,fewxzsybdt,-0.194,swcbpjviuh,-195
-609,xqlopqtesm,181,-0.4755,844,912,0.2625
0.2345,0.0155,-0.278,0.251,9,dvpxqumrug,Dog
CaT,-644,nlvgjsrcvn,abtafnxzue,CaT,-228,vqecjnfzvm
-0.3415,-766,ouuuzrlqqm,mecmdnlulk,884,-0.488,87
kuntgdztyq,0.379,tbcuzodytl,-0.074,0.009,-0.2915,dlxokrukog
-1000,DOG,dahgjipxwi,400,-0.123,-316,zzymtsltez
CAT,DoG,-196,266,746,569,-0.179
0.2815,681,-0.3285,zkmocofkdf,nvepaqbynh,ndzbyxutce,0.001
-778,-640,pinqbengmy,CAT,0.4435,-0.4155,-262
-690,zkuafunnbp,0.2185,-377,-0.18,-408,0.128
-44,444,0.0225,-30,565,imibdytadf,-922
pjlfibkhha,-0.38,dOG,DOg,0.3535,zddpnwappy,-0.281
xcezsdowpq,0.3445,-657,laqgjlntkx,-0.317,950,-0.1845
622,0.295,0.463,-211,-0.151,bcxfphccck,qethmbohdf
cAT,cAT,-536,501,bpyfmmcujq,DoG,DOG
