ptcvsnypdy,otrsbvobpl,vxqsrvtvrh,trbynitcjy
-513,CAt,caT,cvgurxhvnx
0.4525,-0.0615,CaT,-0.1305
-0.0215,-195,0.3995,819
etflpqvqbp,0.4445,slepimrljh,-0.007
-852,-0.3635,-0.3085,-0.219
-427,DOG,0.0335,-0.416
0.1835,vbfxrmaxhf,cAt,tbzmaggyzu
jiiqnjgdhp,lrvskvieck,ocxgkfvacj,uwyjmrhrbh
cAT,0.3705,shpsbjktlx,sxgetiofkn
0.4005,0.2995,-499,hsrxdwsiri
tfwmdekexz,-0.353,-0.466,624
0.17,697,cat,Dog
383,-0.0525,kcgzbevmwx,Cat
108,bagjvqitzy,oyujshklxj,-0.1785
CaT,Dog,cAT,ousuwystwh
vsdpmkysxc,DOg,-952,698
770,-0.1165,301,0.409
-549,dntjueyskd,160,559
-0.389,-0.0215,-0.3895,DOG
-56,nqqkcppyux,0.4355,ntqavlybxy
97,0.38,DOg,-298
0.165,536,Cat,0.2505
-962,-373,-115,-837
-0.3285,-0.4445,643,ysoaapqgcr
-0.043,xtqkwtaixz,597,-0.453
cat,-296,-0.423,360
refobgmxsk,xbpfexmzns,396,0.2085
0.3215,xrhhywfcvb,442,-281
DOG,188,dog,caT
khbdtgqvbg,bgbzlvvdzg,Cat,caT
pdsefzjqnh,Dog,DOg,tmdbdwijwp
rxjrjabtck,0.208,391,-0.484
ephsgnncmb,498,-544,gdwphdikmb
CAT,791,564,0.2015
gdnzkhsnyr,cat,0.177,orlwkyvoai
dkgscmiegh,0.1535,-360,caT
227,dog,dOg,-919
783,-0.09,krzarldatb,CAt
-815,DOG,0.206,twawvnkjfr
CAt,ykttneomuf,472,0.4145
859,-415,-780,0.057
-0.137,brocbstfwz,580,0.471
-849,847,ofyovblhce,qktnprmjey
dOg,0.0425,14,-0.011
dklgtmvxac,CAt,0.4985,545
-660,idgwqsldit,gtjizokcig,mmnjpusmzn
drewffwnsn,0.169,-131,661
-381,-11,jnahlnhkkj,kaoxxpmhzj
fgyavrqcos,-0.013,cluafarkfs,ngjhvltdhd
tdurzwhpaw,990,CAT,hlqjczanhd
-0.0045,0.4645,359,-0.2625
856,Cat,0.3205,ohzopxtyvy
-0.145,-0.4505,19,131
346,-737,30,dog
cvpxmlyiyh,0.126,-914,854
10,CAT,caT,0.0125
-606,0.1245,jxqccbbbzx,0.328
ganxykgovj,dog,584,0.072
nsywwsqjop,0.3425,lenoumzmmk,dkrtfzbwka
824,612,-0.2215,xeqcrfnsxt
202,cAT,vsfqqdojbj,-0.1905
