oibmjeijpv,njiedfftqr,yrcvokdgyn,pET,hdspuculta,ddruzfhgws
dOg,cat,izzliacaxc,dOG,432,-0.0085
tkfkneopln,-0.2585,cAT,205,0.0445,-0.364
346,gnbqvappsr,-80,cAT,urkhashfjp,-0.228
0.123,ywuhsbfdis,uswpfbpizk,CAt,tfjnbxryyj,0.1595
dog,0.4255,0.3715,CAt,Dog,tlqjidzboj
fjunnmjycw,DOG,-612,cat,-849,mthzisqynh
CAt,Dog,kuwmskvixn,Dog,dog,808
350,dbidvhapsf,Cat,Dog,rrzrcxmfiz,cat
frftpsmvdj,nvvybomofe,512,DOG,0.312,csefqolqbs
-255,-0.4895,-802,cqqwlpgnqj,DOG,-404
zjekyqaard,yhltlkrgit,-38,DoG,wqpponfzil,-0.1665
vkwejzyebw,CAt,0.286,-0.132,-806,DOG
dexzrlgkij,xswaqctqbw,-648,-0.082,wodbkhbgaa,eaixswuljs
ypvilwgief,dOg,-0.2455,cAT,zmztyeuffq,zmoqhdfsar
dOG,607,zwvugmsdxx,DoG,cAT,dOG
438,-0.4545,atbnhkjknc,cAT,557,-529
CAt,0.4285,CaT,jbpnufmtah,vxzbuuzsdg,-0.3625
cat,0.02,0.364,-575,0.1685,-0.4715
CAt,izjrapvndt,923,DOg,501,bfqiuxwbad
dOG,zzbxobkojm,-268,-0.2355,dhvurvrmgs,xczsvjbxfw
0.0105,xnbgxunnpz,zeaefdzjci,cAt,sckhvtqxyz,0.443
hbafcmejao,jqjonkmoat,cAT,DoG,0.2065,576
0.0415,fabjsohynw,dOg,CAT,Cat,cat
-0.1815,-593,hzaestpvcs,cAt,-91,esuskqgeti
bcfdxewvzj,-649,zkdubqntin,CAT,-201,hygmnilxva
720,wdwysjoggs,-0.0245,dviuspblib,gyriweoqtt,-188
0.458,wsgzpvwdfn,rxegqvowah,cAT,-95,0.2645
DoG,dOG,395,CAt,0.379,dOG
0.2465,-727,0.1645,Cat,-0.228,vseavgwwtd
0.045,639,ztkvjrhvmq,CaT,0.2895,-0.2545
dOG,-691,-0.3515,dog,-0.4355,460
xmxaipormh,rnecnzswtg,lqxzhutopl,Dog,ncbzaqqebh,0.294
Cat,doG,0.1,cat,-747,0.266
DOG,dOg,0.392,ulcbdicdkk,0.0855,0.1135
CAt,caT,-2,-464,bzgbczhiax,-469
najcyqixgc,0.4005,oazmmvyyjw,-0.1535,-0.227,0.243
cat,cat,ffydpoesib,tabqyqidgi,-0.3945,CaT
dihkvrdpsz,992,dmdgugjrgj,-0.4625,-332,dapsiybnra
-0.305,-627,0.373,DOG,-0.109,0.006
0.16,xgelzxutua,-0.486,CAt,wppqsioryr,-0.4675
hgyxfsgzml,cyadhzqbuf,285,CaT,DOg,kwrtyanamo
