ebccctbpnj,xmvlptlpja,ouawakashx,qpvwgolcmc,mxtxlmvpph
cat,dog,CaT,vhcedwfksz,khxfbkglbu
354,myywdgotpc,0.058,jfpgupyzgi,lycfegtgnl
819,-0.464,453,-65,dog
nsqycrtrgz,-0.2195,0.3215,0.244,-385
lyjfglupqm,byszixacvw,iwquqwefpm,-0.3355,doG
ilgqfoarwm,dsnqhgnkaf,sidecztgiz,376,cAt
-0.4995,443,psuspbmcci,361,0.4485
88,qyhiksgast,CAt,bxaldijbvt,0.0125
815,DOG,qdxcvjbspb,-941,doG
-0.1415,0.4175,-363,-358,ktsczglchq
-212,460,-445,-0.084,-0.0375
-0.4205,dOg,729,-157,zsykkammox
fbpsrhieph,783,-0.465,wvojxobdtu,-980
103,-0.3375,640,guvhfzsjir,eluzkaslaa
-0.2345,0.3995,-0.165,710,364
caT,0.0965,842,lgwmozajiu,0.42
suiyrvnchp,-0.3845,DOG,0.01,-0.143
CaT,-965,caT,968,doG
-0.151,pwzeqaxbmx,DoG,-0.0005,jaaqdkbpka
Cat,vuztengrjf,oskgvoofhu,435,-317
CAT,593,0.25,kjtlxqjexa,281
DOg,ztaxzlungi,755,DoG,-0.4585
eznykparpw,-144,xaofxpteoe,465,640
482,jfftrugzks,-0.301,CAT,fyipegqkqa
614,phfanrocjd,dog,0.047,xoynyqyqik
dOG,-536,126,0.2635,dbfsgeglzh
0.241,-351,DOg,-352,dOG
yyipvqmpcp,572,ycyjjkblgw,0.008,DOG
boyilzlxrl,-0.312,dog,48,Dog
-917,xfywmnzwqa,kdyvsrcalk,-851,-1000
geanwlkupy,0.086,xdoeuqvpps,-0.371,341
ludyoxzslb,Dog,771,-386,-0.096
206,-506,dOg,igoypaydod,-449
0.128,DOG,CaT,0.376,0.344
-333,0.4545,dkrtuhyrjt,DOg,qymxiubrpa
0.433,330,lxnorszlar,CAt,-0.361
caT,vkvizmvggx,0.3275,980,-678
hulegjwzhq,nycxntxfbw,-362,wntqcchkcw,-0.007
-544,0.3165,-0.0765,-748,-0.2795
-885,-0.315,cAT,-0.178,946
-0.432,-503,-0.3465,dOG,-188
bjzgrnybwz,-634,159,vbfqooyqpn,865
0.3935,-0.2095,CAT,0.468,0.0645
pculnqfhha,caT,rfsalwymhg,0.0435,Cat
-916,-0.4995,-0.4485,-0.0075,vbjouaoppx
pdscjaelyh,0.397,-0.255,DoG,-0.4915
-0.323,-176,0.468,-42,ykzmfzkcnz
441,uudnpnntxp,-246,bheozbvjee,CAT
-290,cwknasqkvl,-88,-769,sbfydmcmrw
-0.2355,dOG,CAt,-898,qyutdmiwrz
hcxhuxpgij,cAT,-61,cntijqumgg,caT
-820,cAt,qxdhwstoeb,0.1055,dOG
nbsynfqocm,dOg,DOg,-0.0495,rcoigoswnc
-900,472,uvupnkzeyd,dOG,qctvrxpemu
cat,zmnysygcrx,-0.3975,0.388,Dog
-408,256,116,caT,-0.3845
-0.3805,DOg,rnyezzqanf,0.4505,0.0
-0.083,rxecncvfkj,-695,hexukaincr,683
0.467,-0.1435,sxzfofbypu,CAT,0.2225
-212,426,pyyfdckhje,eqtwlxahsm,eavtzxbeie
0.417,-214,-764,cAt,cat
-714,-0.3055,-0.3615,0.017,tuhqhvpywn
-927,0.0255,cskoijxcsj,bftttldcfg,dOg
wqdbzjxuxb,mkmpealgvx,ldbomdrpol,-702,wevadzxvkw
Dog,zrrnopjids,dOG,-946,CAT
-222,lcyxdpxiei,121,DoG,-0.289
nkaejnmesr,-0.055,hwdspxyqui,0.235,doG
CAT,DOG,0.183,574,aoexgpnsfb
ckukvjxyou,0.255,720,cAt,-574
-469,CaT,DOg,cat,qpfkmpbzeh
caT,uvnrwfbnbw,0.2505,0.167,wffkrqnipi
0.2845,zplanrupen,866,oxywryenxc,dOG
DOG,-546,-115,-513,0.2295
-523,vxmzaogagd,katzeaelvp,btiyyrjfew,snzpxpvzuo
0.306,679,274,DoG,oorwtnahrs
-554,-0.4765,390,867,-0.2295
-834,vfuzzxkdzl,-304,-62,kmwbfdkutl
-736,-288,-432,0.402,rsjefeugmi
551,422,wixsgkmbmt,Dog,0.1055
418,iqujrughqg,pnhwxkgqay,130,dog
-390,81,Cat,DOg,339
-813,658,666,smbeiwnaec,-0.2265
0.255,dapwentrau,-0.4755,-636,-216
-0.4865,-268,0.31,-0.119,0.472
-0.459,bmrbkxpoyv,wwouepcgpu,-468,0.116
0.4135,-56,853,yntlojrant,-277
CAt,460,-602,0.4975,0.0895
-583,-0.047,-234,-0.462,ihnszjgqmt
CAt,DoG,-0.0285,143,iqnqjascjr
ftpzrhnyce,cat,-0.1905,zekkortqld,smqtlbrapo
iiczikemrd,dpyzdjajjj,dOG,0.477,hufaufjslz
