dahkekzwnd,pet,gtomiufcxi,ckfukudmnf,mbhxoddydg,ciwkrhotvw
wacemgcasl,0.2865,0.37,-539,0.2465,897
315,CAT,-737,-0.2155,758,0.101
0.227,CaT,moejtzvnav,0.2515,fdxhzzhcwz,0.271
vihislfyyc,CaT,rpftxtpwjr,caT,rvrxtbkqth,-226
-0.059,jatfvvcman,194,cAT,lnivqqypdj,kcumemkumq
-0.04,DOG,guusevzepd,-0.0315,DOG,324
glwiarcrtk,DOG,0.0375,811,-212,-825
ddoncmnjes,doG,caT,-625,DOG,-873
447,caT,dOG,-0.134,0.32,-154
yqogmylaxa,DoG,162,137,57,550
235,wpjcdcrkpl,-0.2815,0.0085,846,0.342
0.1595,CaT,doG,lqulqlvzri,-0.207,dzzqoqdqjc
nhlhyoubel,cAT,hlaakrahki,-0.277,ifntfmhscw,-0.016
-0.07,Cat,-0.0055,wgnzhdkbij,dlijfiybqb,-414
zshqmughkm,caT,213,dOG,-13,682
DOg,cAT,yxncdolnay,107,-353,dOg
cAT,cAt,0.2055,DOg,961,0.471
yfokikezpp,DOg,breegpriek,DOg,CaT,DOG
0.486,CAt,hxjlynijvh,vwhthjujqe,-590,0.293
cAt,dnojunfpxp,vrazeaubao,-599,71,170
xpvfnckhnl,cAT,Cat,0.3805,ksvqxjumtd,0.317
0.3845,cat,caT,doG,-0.3965,0.0315
-277,Dog,133,403,hkdttygans,0.157
fpyrlljbmh,cat,0.1735,xtwukmpvvw,351,-53
0.0155,-0.3725,iwvztzubia,njnlbwrcaa,CAt,-0.494
-0.2385,0.1305,0.0135,cAT,0.253,665
0.182,kplxggbrpi,okjpbkezdn,zbhmzohwuz,cAt,-144
-313,0.475,0.2655,azymlkbyrp,-124,dog
574,CAt,luitbnosyd,DoG,lbdzxshiln,-0.2505
-932,CAt,dOG,nlnlwcfzet,-0.34,dOg
0.4555,doG,cmyvqlbmev,812,elsfpekvci,490
-610,drwbwndbmz,fgmyuqkrzm,0.0545,0.303,ltiqibnusd
cuyuybqmwy,DOG,-0.415,-0.4225,-0.167,878
-802,dog,rjkkfdmqfu,DoG,-819,-400
ftzmicrrek,Cat,Dog,nrnifokrqu,251,cAT
jwkxxyyvxm,Dog,CAT,-531,0.2835,-15
DoG,DOG,0.051,0.0775,120,cat
-7,wzrarvdpdp,0.4295,0.356,-642,bqysadxbea
986,0.0425,-992,0.4915,-0.1545,158
vdmuszebkv,cAt,0.401,xwosaxzrsg,zwnsqnvffc,erasywbjjn
hivjefzukv,51,0.145,808,-0.2825,0.236
efozeodxhn,cAt,686,-248,cat,0.0915
480,DOG,royxnmgeqb,-0.203,-0.016,526
sqxivxwneq,CAT,zsnqsrlzic,-934,swujkhqysf,dqtvrdcvjb
