uijrmspuhi,hoiajkzejv,qjvtqtkrmw,rernjbkljy,dhmbxjhbts,pEt,aqvqyqofmj
6,-0.1745,jwyvkifnpo,mmxuovfvoh,-559,0.1905,klxlegsvmj
sfvdtirfpi,0.336,0.0445,ipnpuuhgse,CaT,Dog,0.049
plgwryqxyu,wahhxkedki,415,-0.395,dog,DOg,-127
heyqcumbaa,-30,0.253,638,-0.159,DOg,Cat
-906,-517,-938,mswusqtqjq,137,CAT,0.248
655,630,0.0345,-763,0.1835,dog,pmdzptbdom
vmrnxqpwbx,tawqesyijr,clqzxgofua,mhswcduuns,hihstkzsvd,dOg,CaT
tspafsbeyf,gpvazhypol,-0.1045,dhywoamsuo,doG,DOG,-0.3625
Cat,CaT,-502,doG,DOG,CAt,909
873,-0.2265,uxgsuayolw,eftioeykml,-688,dog,0.386
0.3275,0.201,0.244,kkyskawkum,437,dog,0.4105
-237,-0.279,100,342,-233,cAT,-769
Cat,481,463,-0.0725,hwwmswvfmm,dOG,0.1555
cAt,0.0955,-905,1,-0.2195,CAt,-635
813,gtrgpqhfnk,xcgusdexcv,364,-0.2955,DoG,0.44
0.4505,ncmhslvfwx,eyfyrqvbde,0.4235,386,CAT,CaT
boqkzgqqek,rplvixlhyp,lihtfokbje,782,DOg,DOg,297
DOg,-944,hucnvgvsne,-925,860,-678,hizitpicnn
-398,cat,316,-0.2695,-0.3785,CaT,zcfzuqsfsm
100,727,doG,-243,636,-0.1755,ioqjwscphe
498,rnbruijlmp,twrdgfzrub,dOG,mtxmflkgjh,doG,duvfnhxxtz
caT,dtzahtnkma,idwinbmkgm,okrsfbzneq,nptaxhoizs,ncpmwrunnf,-0.101
476,zqyuyjrrqn,903,jsjqqfexnz,-0.3285,caT,dvkghiscil
-827,-0.203,-0.0515,dOG,jazzsypzzh,-239,486
qfxjjvcftd,-0.209,cAT,zwgepymwgy,mwzntqduwo,DOG,tipijghdiq
19,dOg,932,-969,316,DOg,415
0.164,hbwrlymvma,wnlxkpntpy,0.352,0.4355,CaT,121
cAt,215,-177,bvkvnmgjop,-0.296,DOg,-733
CAt,-0.438,ugsddqkutk,mrzigfexau,-0.0825,CaT,dOG
-978,-76,159,-603,0.465,cmjexfzutq,0.4255
0.004,DoG,uuobckyqyi,-746,526,DOG,tmelzmzvyu
DoG,-441,-0.227,588,870,cat,846
cat,DOG,-211,hieildnnvm,0.3625,caT,CAt
-25,943,889,945,673,dOg,0.187
419,0.096,-46,dog,-991,Cat,-274
0.271,-0.3,972,768,nkkxomuvuy,caT,653
