vdudbcztdd,nrchhqhxnc,krptdpkbzg,oisjkzkxgk
ziqbkcicfe,awunshsduj,cAT,hzhetvvqgn
jnqhwcyaiw,jitgkdmrdy,873,-493
bayzwjzwiq,-278,61,sgelckixeg
qatpdshabq,-691,hrxeidxiqp,-0.2025
-0.063,-729,bqbnpuevxk,hagkorcclf
0.153,0.3585,293,CaT
-0.3165,DOG,cAT,vhfhnwwvxi
844,-819,gngbyzkbvh,dOG
ygilxkhafp,475,648,janmlvruwa
lputdanlnb,dog,isghtkunaq,DOG
tugzqxuygn,-10,qwtzvvjeme,CAT
0.476,CAT,-0.461,923
-0.212,-883,0.2705,0.181
DoG,gzgsuovacm,-759,ohsgwbnral
hbsitzdeor,ikejbuicsp,norqecudjc,mxqomgchqb
doG,auhnzkkfkl,-0.374,Cat
-0.472,940,CAT,1000
mzfawmecke,958,-789,CaT
-893,sovsfarcgh,CAt,dwtpknaugn
cat,CAt,-0.2275,tcmrtdxvcv
cpvgiwpgvg,884,0.3725,-236
-206,lpvxgxwyfq,-15,-22
-642,-0.005,ogdohpyrbk,-876
xkkwivtakr,0.2915,414,0.371
Cat,340,0.4255,411
-0.295,doG,thfxfvvlce,cAT
-0.1625,0.1085,hgdwsrnjzb,223
dbyjpxpjzw,798,-0.093,-208
0.1565,-866,0.0755,0.263
rtahxyzihs,fgpjobotgr,CAT,-0.3485
-0.371,-825,0.2245,-258
DOg,-729,0.329,69
CaT,bwmvtaxjit,mtjyxyojcw,-414
