eaehubyndw,xlxwohbsgp,lyakvsxubd,qjqyamlfir,mipsxpaojt,rfubhpdpid,cilernuhvc
800,479,-0.127,-0.063,0.2845,-591,-0.1255
caT,0.0035,tmluplkrkv,gkcwdmavsp,-488,0.137,egrlszzaar
-12,lynxpguocl,moqvredmdl,dOg,soyifdyhbk,-752,-0.37
ubobjykjox,ywmohxtimw,lokhvgtwdr,upqdtztard,-0.08,Cat,advxsyqnwx
0.44,CAT,dog,-0.0665,0.4105,dymzkyvwej,503
-0.3295,171,lvfvtgbbjf,DOG,cgorjjyxie,dOG,-746
jtwjevjmxe,xhmciijokl,476,gzakfsfonv,140,dokdcmhzat,CaT
-0.4095,0.3715,-825,986,667,0.059,uhaqefrljj
-0.4855,106,-179,546,-370,0.132,ngjqsyaten
664,wdvyghtubh,-800,unbaeutgxj,-573,0.4025,751
aktyvtdpyc,766,mfkycayotn,0.312,0.169,113,CAT
-0.279,0.3415,dhdhzljfzg,crwstpsafa,caT,-761,qffkhkeage
vqwdiqzijy,-806,126,891,xtrrgiurjb,0.4425,-0.1445
mjslaibqfr,50,696,sfratqbxal,-0.167,zusnrtsoao,eirnrggxta
caT,788,0.185,-999,0.4245,-0.3595,awwjiftpba
slcnmruafw,-0.188,cAT,908,tceqfnswnp,0.094,DoG
973,dOg,padleplpun,oyduozcarj,-0.127,0.4965,DOG
-742,-643,doG,doG,525,CAt,0.4465
vlpxlnlhbc,-472,-664,-0.3595,doG,548,Dog
caT,slvpcgpqho,750,oxxcwemwkv,573,qvfknbdnpx,bmjyxomogi
-837,0.2755,511,DOg,405,0.304,422
-801,CAt,trbtybwksx,0.057,-0.465,doG,ackaksuzrl
-0.2845,0.2305,-960,0.0595,Dog,-0.346,-241
171,0.048,51,-0.1315,CAt,0.2575,0.3495
lgppqunuxc,0.4755,Cat,weqgpbqran,-0.0255,DoG,hugfyakigr
degkkncvgu,-941,CAT,DoG,-0.2115,yhbvcvmhcp,756
21,xyivghnrcy,-0.392,kmazoecftp,tdjcbkwcnv,omduwcwovs,98
-622,DoG,nuqliaubyl,-437,-0.4675,0.1635,mhwzfejdzj
-435,oqpysfphlg,0.4175,75,rplczbrrah,230,cvxzepkdir
0.2825,0.444,CaT,dog,626,hsqmkqszva,0.219
-917,hbffxaejrc,-0.262,yygacthvdj,-536,xrwqemrqav,65
-492,-216,-799,ikeruxzfge,-952,-0.183,-603
cvquewscji,802,cAt,841,dOg,-737,aladpnrvid
0.3115,CAT,-0.193,-645,-80,-0.1315,CaT
-778,241,-145,149,eltfgaiqoo,CAt,srnqcmjrvw
-0.074,0.456,349,0.3905,imnqjddiln,vpuxqhgtmd,-0.1265
0.3375,0.4235,DOG,DOg,-0.1145,sekwargauj,-0.1845
71,-985,DoG,dOG,633,dOg,254
-306,sifyjlxqnh,jbnvdephbs,yhaptuiwuu,0.387,-0.38,CaT
0.314,421,-0.429,fodphxumsp,dog,nxjqkcupoq,auvfkeedqh
dOg,0.3725,izzwinjvff,-918,869,-0.354,0.35
rzggitjaqc,nfaiipwdla,dnnneuxxgt,-0.156,-14,-0.413,-0.238
-972,eizskcwbhu,qsvavohqcd,0.476,0.1125,caT,957
-0.0845,Cat,jclatqhqwt,sjiekzvpfh,-0.053,-509,0.108
ioyhtamisb,-571,0.4815,tmfbffoeiv,-475,264,-779
auipgdmcso,ugtmwzhowa,DOg,-44,imlssnoxvs,-0.2975,CaT
rwuinwoehx,-565,nkxzelskph,fgzsifkjtf,usqmdievvl,sosqamqkil,507
DOG,DoG,xrqhznukrv,0.112,-701,413,kwjpmybwjh
ysaixbpdnm,caT,947,wcjyuklllx,-421,-357,DOG
0.4465,CaT,-0.4735,0.226,667,-0.1775,-0.201
0.2415,-104,ohsvznxdob,381,dog,DoG,uyffirhoau
rneznxbwgh,0.147,-990,0.248,cAT,0.022,flckasmeea
bzoypcehsy,323,-800,451,cojkzowdyh,185,CAt
-424,CaT,iizstqmlxa,-323,-0.3625,-0.477,-0.196
bqxxkbdyth,242,DoG,-769,-0.4625,xlsgaxorob,0.1135
-229,92,-111,113,478,ejqkflorop,-0.0675
dnmulrvfpj,swukqlntto,-218,-416,-982,180,0.272
jhgklvwvhx,-812,632,544,0.461,0.4995,CaT
lyveccgsgr,nhsstsqufg,0.198,CAt,jvggblzzsj,0.195,jclutvjofb
wqfyacurei,454,ohdfpxyxek,etsfastjxc,qlayeilurw,0.106,-618
479,0.1215,0.4985,-277,134,0.1905,CaT
dOg,sogynbefdy,100,dOG,cfnvfbyrxs,490,-978
-296,0.061,-0.4575,navuvphvhy,0.406,71,0.1205
91,Cat,-0.099,dOG,0.4485,-955,0.0645
CaT,unprmyxlla,lqftgiqeni,-0.2305,-0.1845,-0.327,pfnhiolhjp
bpxxoqagwe,-122,0.347,dog,-0.419,cat,doG
wqzojxxzbe,793,493,dog,qtsuzriltg,dOG,-0.4485
iscqvsjylr,660,-429,dOG,-245,gfjayijoqj,-0.199
-0.4415,-0.126,-987,-157,-8,sxjbknfnbc,hraqfjobxy
-0.185,0.3475,cAt,cuftcpwpip,-0.1165,0.283,ojubmvoyeb
-0.149,-0.437,-466,860,myidukxnnw,-0.444,0.25
cAt,0.022,-0.119,hjdbatbchl,822,-0.2325,-0.091
sayikaekpz,211,qfljjhoirq,cAt,ylrcnesnbl,901,DOg
-672,sufpbspzgy,CAt,940,-0.107,991,0.2685
tyzxuztqhi,547,cAt,-59,623,dOG,yutviqjiwy
wefgfumjsg,-0.2385,-349,0.355,cat,wyceojdmub,49
0.1195,caT,flqltxoxev,0.3645,hioxywjvhf,DOg,cAT
lumpdgbnie,lfgiqnwzia,0.306,0.034,nixioiergy,caT,0.197
809,-139,ifdmkajxxv,0.2525,bfcjmvxdvd,0.2485,0.076
cAt,241,-0.488,-0.4135,ucwdhfumia,nhbxpiprur,miguytjbez
nkevjbrmbf,pfjtdrkuti,-441,169,-492,wvbmrvusli,jeqxohyptf
-78,956,dOg,0.334,419,-0.4505,cAt
-0.491,-0.02,noyowhgdvk,dylfpujjrq,tocdsqliyq,doG,ipdasyrkvn
