etqcjduaws,oysmemcrif,majdcuqtth,yeytesnikf
-0.411,swpnmfrdkd,-0.169,DoG
dOg,Dog,-53,-115
ckcqkxjdru,Dog,0.043,0.3155
jdaxzmswxc,-982,doG,-633
359,0.055,bjpjozzhpj,-0.395
xtuitgeqkl,cAt,864,cbpsquqhef
0.017,-921,omsfjkckwr,0.4945
0.144,-0.402,sjhhmbogmo,otyhypcopn
gmxktrjilv,-522,cAt,0.4915
0.254,whemwzouki,-0.2595,0.1665
dwxxhytojo,tcsqvtyeko,oqwchcmwkv,gkqjkdwttd
614,DOg,monpkdywwm,0.2225
DOG,-897,610,azrozxount
-0.2185,0.0235,glhcylxfzy,snpmxdbosw
803,ljfpkpvrxm,-0.4785,-71
thpcxaaabd,DOg,-259,323
-0.025,-0.29,rfqzzqqgtu,-908
-410,931,-0.392,wvikyqmast
28,628,zynpfqyaxy,-0.216
802,-759,876,-0.053
197,0.1175,-527,-10
0.312,0.285,lmuplucaxr,-0.1985
odxqpsczor,0.2305,0.2305,cAT
elsbrhmmce,0.01,-660,-686
-0.442,-0.3285,-909,qrfumefguv
0.431,DoG,igkcyunswp,qsijymqcoa
-925,CAT,-0.269,-0.378
627,379,-863,liiruwaqcl
-0.3935,ydfpgdooan,-222,mxrwnblhit
-0.111,-330,576,-0.351
CaT,rhqjrvicwa,wmujeoqgew,504
169,rsjhvrinsp,956,myqchgbgmm
enxuxddpet,0.293,cat,-0.2315
dslkdqqbir,CAT,zegwucynoc,-292
dOG,kfynlxdtcv,caT,75
-0.311,spntjxsagt,pfahkghjfd,tqpnxvvtie
0.1475,xprzmflvnr,sgghwkpevs,DoG
305,588,jxykfdsswx,-0.1515
41,622,fbzmkfehnx,-746
-0.0275,fcendedahl,caT,764
dog,dog,doG,kcvwyhuzdo
-0.339,931,-0.321,445
-489,drhbkkbike,bvmrjkijse,dOG
-0.171,caT,qevjhowjhv,-597
CaT,377,982,178
-330,0.197,-0.4145,DoG
ybdfxqdjkj,11,-0.3115,-0.383
-986,957,0.0095,DOG
248,-0.49,0.083,xngymlxshb
123,cetpcsghbk,dOG,0.3385
ioiakuqvim,qjilfhgetr,vyoywvunwk,909
324,nbouyopuvn,-0.003,cpzzuqodvd
DOG,CAT,gdgpqdacok,hivvkjxpjf
-0.486,cAt,unyhrmbtiw,caT
0.0945,xjzvwxeicp,cAT,btmnrjncto
-0.2775,soxapfygca,-0.0365,0.108
DOG,dOg,0.477,104
zktbynueos,doG,0.162,zxwhsnfeqb
-0.27,cAt,0.3235,-0.1915
-538,cat,454,hnmfswsqpi
doG,tizwqacmbp,0.378,jyhferkovj
-979,842,0.4455,0.4175
0.369,0.4455,54,-0.0245
581,0.218,cnihmaiydb,CaT
-0.4825,-0.2665,dOG,-0.0545
Cat,-381,575,231
CAt,Dog,DoG,Cat
-426,CAT,-0.148,-0.4
843,DOG,0.461,-0.4605
-799,-637,xbbrduwufp,odhrgbcyhc
ttwryeunon,0.2245,-0.2985,caT
rlmfcslbpa,0.3485,390,-0.2125
-0.27,cAT,qqvpafmfke,ycqcfoxvny
736,DOG,636,-627
0.4925,CaT,ezjepfrree,zbsgewnnfz
tcatatdcze,406,-0.442,0.4335
-0.4275,-0.1765,-751,82
lvcxqghgig,-0.099,-0.4805,dOg
0.014,nddqeqvoud,0.0875,dOg
oafokpfewu,-0.1485,bnrpeixexy,-0.2885
DOg,0.2355,DoG,-0.184
