unkgitxqxu,oosdynqdwu,xvxtsrszlz
816,-606,0.273
0.274,488,0.3635
868,dvqcojfpxr,CAt
373,584,ppxjsxpmfu
-0.208,wucgyrudxs,797
fncirnwtiz,dnuukpjytc,-0.18
whkygaxujs,iybubyrrar,aqxrpwnrds
339,-0.3145,ykkurbpmap
-731,-0.1975,-0.4565
0.3465,btcwktqoyk,-0.248
Cat,672,szofdohfjs
Dog,gcahrpspkt,850
CaT,-0.2715,0.2825
tyktgnoldb,spmdntorba,exymerqqfo
-680,-0.1105,-0.105
cAT,-149,0.0005
dOG,-0.2935,0.2855
redruxyszx,0.427,0.258
967,uodcnwbxsf,rfhryonesz
-0.487,-0.1995,431
mrbvyicjyh,-780,0.0865
aqgswgxynb,0.0195,626
0.4475,944,Cat
-643,0.413,cat
0.4785,327,dOg
CAT,cabviocfmn,-0.308
ppyeocmgxh,nprayruigg,-267
doG,DOg,bpargfazus
0.1245,221,tneeszojvn
smhkijnuuu,vwggsyjfhi,fkkcmoveej
kpcssgvqix,-0.1205,-0.018
91,-226,caT
dOg,etfxmvgwey,dog
-352,0.1035,259
-888,caT,nlxkdcdlaw
0.328,Cat,gfgtymdgjz
djnbbhbogm,CaT,869
CAT,Cat,801
jajfcvkttx,splavzxfvi,-470
-0.065,0.0085,101
0.0035,-596,-927
0.2495,-0.41,juxiicbjlh
-647,0.4445,0.316
0.184,caT,-12
jzbadngaln,CAT,0.1035
CAt,293,pqzresdpmh
-784,uwgrvtlsrb,-0.0045
tlxvvvkkdl,dhxmalpfcx,740
-0.203,rkfdczwwhw,vrjuwwdtou
wiirudeiqn,-0.2525,xredwtuypb
vvfccaxzye,859,328
-772,0.003,-191
CAt,ygsdorveyj,-0.087
Dog,682,526
DOg,kxhdajzwit,-0.476
0.485,0.4685,815
DOg,788,DOG
-501,0.0335,-923
doG,-0.345,mbmtsxpysr
hvbjpyjjxd,-930,CAT
739,cqgsosndui,zrculuotpn
pgsgrhvipt,256,-869
-0.113,0.2555,rcwkuyzowg
dfrkyvdtgz,210,mwwvapkrqj
0.4085,654,703
-436,vhhzdrytfe,726
dOG,uahtaoqtam,-0.167
-0.3515,ttoiwllmmc,0.185
cAt,0.128,nsmhntzfcf
723,0.1695,-613
tkifarmeqb,636,CaT
646,-0.4885,CaT
wmzauwpdlm,-0.1205,gphprxckhi
268,ohtwwkokxe,418
dOg,-0.423,0.0985
-0.3225,doG,-176
649,tpuwzybsrp,cat
-830,zlfrsrcrmv,0.3345
hpklxothby,0.2345,0.0775
-413,dOg,-0.2725
-619,xozsjdryiq,-0.269
-0.218,17,984
khdtvwghav,801,98
qirpkzfyab,dqgjfvaovy,-230
-0.337,-484,0.201
Cat,CAT,0.315
-112,-0.1345,-698
