jtkwmojpvc,dgdhfeamal,zxhkfhwlbv,jvybiuixhu,voyjtnvpyt
wwoavxdzxn,DOG,-0.495,CAt,xaphkpfyfq
dckodhlagb,vxxoetcnfv,dOg,-980,ccxubsbeqh
CAT,cuakvhlkvz,dOg,0.399,CAT
-135,-716,0.3415,-191,0.325
CAT,gwhgpzhdrq,doG,-0.4745,opmxbonvhk
eyadskjyrt,-0.259,DoG,-0.457,DoG
0.4585,dog,0.2715,ovewsiplbo,Dog
tvzyelsvqt,0.1575,DoG,0.41,pbbaouhvqj
0.1445,475,479,-0.176,0.0685
-127,Cat,yboqmgshmx,ummnavpfdo,gremnaiohc
915,-226,-0.0385,CAt,wpcnhtkcit
-449,-108,aulwtgngbr,-850,0.422
Cat,-894,0.1995,290,886
lxumbqzcew,jagbrbtefd,0.083,jnlcomtzxh,CAT
-0.2625,199,-614,DOG,fijdhvnvxk
tsraqgyudo,0.0635,-687,CAt,qejsiwauvn
-950,913,-970,bpxzcblfpl,868
-0.3415,doG,caT,162,dog
eilygwawja,0.1835,38,-0.099,vlulnkexat
-0.099,687,uywkkzteue,0.0115,0.299
679,-635,-0.256,CAT,dOG
0.1355,-247,rqbafftqvc,dkagadukoa,DOG
-538,Dog,cAT,-949,0.2225
rurtqdfhej,-0.472,256,qktzeahsfl,nzrwfcfvwu
CAt,DoG,-0.1055,59,-600
xbxnsactfm,-265,-0.343,rsbhlohxxv,taqwgthdul
bfjmsfnphw,ftvkcevbss,fcrzpjtqij,rercysqzdb,DOg
-629,691,-0.4865,DoG,nmrsrbitek
-0.0085,-0.3945,0.285,558,dOG
-145,512,0.303,0.42,dog
0.197,wuchimuelw,-165,dOG,-0.25
CAT,852,rqorxrqsiw,457,0.2145
Dog,0.3995,-455,350,-431
jgsxcvkcnm,-105,-95,873,0.3295
-3,0.408,bhjmmzsszp,-0.073,bnwzjqtcac
cat,caT,-41,ezjqpcuhln,86
wfkvdhdsxg,omttlrhnzn,627,0.2015,0.18
-0.161,-871,xfpmobrfpn,341,dOG
0.4915,0.11,eybxvhmlqp,arodjmlsxp,374
0.3285,DOg,-0.157,-0.189,-0.428
385,-954,-618,vfrogwoxpd,jtbjobeyyr
552,-749,849,-0.204,-0.119
rfyydzjefu,-0.109,-487,ediuxiapan,713
Dog,-254,-0.071,-837,tzzlsenepm
843,-170,0.205,khzxhzpxqk,-984
wpgbzvyeih,0.3565,anvnvvjqqr,0.498,DoG
npbqnjxfuq,-923,-888,qppcrkdfro,qkttvoutdn
0.2005,-197,cat,0.254,0.083
Cat,xfezlpewms,-674,0.445,-0.1065
-0.356,DOG,346,0.372,952
428,-0.0875,0.0055,0.2705,167
-993,-857,-0.4655,wjxghwppcp,-0.0095
-0.244,0.1245,757,Dog,680
gcmsfixwoo,-491,-776,-0.0825,-0.3585
dOG,-0.1835,CAT,0.0215,-618
-0.0735,-0.3575,CAT,nbybkmwevt,Dog
Cat,252,-0.155,-0.1015,-816
wptdsddygk,dOg,-932,-516,-0.313
0.425,DOg,546,-0.266,-702
irubqdtilf,-0.0095,tiuopbqiie,-0.0265,ylapnbmzgv
zhohqeigeg,ynketzzivf,vyffjrdsaf,-0.0825,0.464
depyztthum,-260,566,0.2755,DOg
0.0605,693,-0.2585,-121,0.362
oomvkxvyih,-877,250,elelkgkkwu,-0.2645
klfehbvlsc,caT,3,-556,-0.067
0.382,-0.1895,-820,CAT,-0.347
CaT,dOG,0.382,cAT,dog
nxitbkfyfy,0.479,-32,DoG,ydqamhpjym
cswllkukgb,0.2135,kdqkmpfjzs,nlxwdjomgh,913
DoG,cnunfgskrp,110,202,0.4155
632,DoG,-0.283,530,Cat
-740,ctebsxcjrb,cAt,CaT,1000
186,809,101,431,0.0795
-684,140,976,fhphnshvss,-0.1945
98,CaT,0.381,-0.1505,-0.214
euppblsgoh,311,adlnszwgfh,DOG,jszkgvkygs
-0.1725,-0.409,850,rzkiorjgbs,391
462,hpiuccknov,-0.471,0.3085,-0.464
-781,747,0.0625,ejevcjshtw,ngumkhpfwo
-0.3365,0.407,81,CAt,sphamtabib
Cat,tkfmqjyjbn,nbgxichdle,Dog,jorrgwqgdo
ycloiqgjdd,196,ealtqkurku,-771,696
