vzgofihcdw,lfrsympqsv,gjvnlrqmac,fvgnxfhvby,qcedvsawre,msaugsiueb
-166,-0.396,-0.481,caT,CaT,-911
0.2315,-0.101,-0.281,769,-0.329,-0.477
-0.0615,eeohzhgdxq,ihmsszdwgb,172,-394,36
fiacfpojvw,DoG,doG,ophfvjsuyu,yamypgenzu,dOG
-0.4365,493,Cat,359,0.0985,-0.1085
gkwqdwrjnw,0.4445,dog,144,DOg,cat
0.482,0.2475,25,-302,hdwvgrhroc,-689
0.1285,yrlkoeqvas,-186,Cat,-962,-649
852,wvtxjmyiny,-0.0305,-0.179,kdktnubqbe,409
-888,CaT,jhhalasivm,mqccylypss,291,0.05
dxbqkojtnv,-476,-0.0235,-249,0.3355,-0.3775
-932,iazprkmafn,0.062,piqfkyorwj,DOg,muewztvnjh
doiomzxccl,506,-604,0.2295,vkykzxfvrx,-918
CAt,nvluwoyqfo,0.0525,CaT,-267,0.388
865,-0.302,hdmcairsbv,doG,whcykfpmcq,jgozwesrxb
rzeabcmftl,adpeojhcew,bbmjbdnoxb,0.414,-170,573
-480,80,zeawbkrawe,-33,-0.0405,CaT
vzimhomsrz,0.163,caT,lebqifyfzf,lnnqgltfci,doG
akxladanwv,0.083,55,gnzarolfsb,kyxavigolg,hxuvvaxdhy
caT,0.315,-735,nbixfadqwj,-188,ttkccxgxwg
DOG,-610,qqaioioytj,-0.1565,kncigpjzat,dOg
0.5,-0.1105,ckqjzedqwg,DoG,Cat,cAT
nafbvcguku,dOG,313,-496,dOG,0.0515
0.048,-0.3505,0.011,-0.467,bkokurnczf,475
879,921,pjnajgrdcu,0.019,mdisvqibsy,jmzurqxpgr
jjomunecny,-0.4525,-0.1505,kukrcevcra,685,frrsnniinw
slvgjfvypp,gjzdkguefr,0.0305,fgppnynxfx,0.1335,0.4695
-462,xehafhhmpx,dOG,-0.2375,pzdtifozos,tnsblfovci
-0.4515,1000,Dog,wlpoottzhr,-914,-0.1455
225,902,dOg,pjxaremukv,doG,900
-0.1985,-0.2555,DOG,DoG,0.0595,-0.469
480,gvyjmbzzzd,Dog,kncnrlxmed,CAT,0.2055
0.0425,kjldxcghxt,-595,-0.301,cat,jrhulsxwno
Dog,cAT,cAt,cat,-0.428,fxhuglzsvr
dOG,fcdnjljdjm,-0.0165,136,qismwgcnzb,-0.266
hhktssxznw,710,vyzcjtvumu,scchzzeybx,DOG,0.291
pzyczzidil,szibiwivgv,mibniggpgo,Cat,-0.052,328
pfqvojzche,-0.4285,dOg,246,dOg,0.2595
-0.093,ciwvezowqv,CAt,fmdmislnlf,-0.134,235
dOg,hwwtcaizdh,cAT,iliamavhaq,vdskvsqchf,jabdeinezx
0.35,-0.0485,762,0.082,dOG,0.385
-358,hvdwwucmsr,-0.278,-49,-0.3615,mylihorobl
688,0.13,iplcbnhwuw,0.346,cAT,qfycqfczes
-0.171,0.2345,CAt,iierztkqxd,0.0535,-0.4215
-0.1045,dOg,dog,cAt,0.17,caT
-893,hdaahyhwnb,-681,0.4225,-0.2865,cAT
-602,ubfqzcrioj,odjlugxdko,cat,ensaqschgq,0.257
-696,ewbvgqdsfl,filzrtubqf,-413,grzeqcddrx,0.2285
cAT,0.4095,squlopcfqe,710,-65,CaT
-0.1045,doG,0.2275,-727,cAt,Dog
818,-157,0.34,0.32,-42,rwtgyqbjkk
-978,640,0.396,-940,cAT,364
cAt,teoqlkwcup,476,mrzlvnwwun,vwngzzuqwg,-534
622,xhynhtlvac,fzjycvjkkt,cAt,dOG,-16
-0.31,0.466,656,wbdvdqkden,-0.1515,DoG
-266,787,cAt,-55,doG,pifskjdlam
-384,caT,cAt,-0.245,Cat,anrkkkclzk
bwcojgffsc,CAt,CAT,0.446,xijvavgzkm,0.3735
-44,-0.411,0.198,irmnicywzp,DOg,0.3535
CAT,dmkvysvlbk,eszhmcsipo,stxnwhsgfr,-0.256,ldspmrstvx
-0.106,Cat,0.2315,0.144,0.449,-769
jioazhjjbt,ujuhjjrydo,0.2565,977,Dog,zmlofjlflj
0.107,0.477,xwjtebmubp,Dog,ernntmnlud,DoG
olrpgrcomv,14,676,0.1825,0.301,758
gaqgkmqjzq,idjdsjwull,pkixnhfkyn,-0.251,rnermsczzf,0.1755
oaloewwlzh,0.3345,854,-0.3155,doG,-979
doG,gfsnzxqxxj,-1,920,-0.184,iikswuvntm
134,-0.2745,DOg,-0.312,ktpqufunat,-240
Cat,qsqzbbaabu,dxpuahhdns,rzgaityhmq,0.311,-5
-0.283,bpzzbgjaia,kwtfipzimo,nsuvwhtrju,nlnixgnyto,357
ogqyvijeht,0.4045,jdzwibfebl,ofantmihmg,364,dOG
656,-666,omygsedvit,-0.3455,cAt,urmywembyd
yqfjnsqqze,-0.3125,dOg,lxxmowilcy,-0.498,doG
uvobwzyzaz,lkeluwofly,-0.0125,-0.186,-585,CAt
DOG,334,-0.073,0.137,-0.42,-660
799,-0.273,dog,-49,Dog,nmwpziflik
qvepvlqsya,955,nstqlvkhtt,153,xahaurusob,-0.104
Cat,0.1965,dOG,myxpfjlkse,-0.2865,-0.088
