alefrcjpba,PeT,naiyrsoccc
-872,caT,-655
86,dOg,-0.0085
DOG,dOG,bbbrzcsyfy
-0.246,dOg,zdfkvtedrv
CaT,CAT,wapfhoeegg
501,iwyvxfsqfq,ozfklepvej
670,dog,-0.4005
CaT,ryxxgldnrq,vxzuxvxeia
-303,CaT,pabpjogzof
0.276,dOg,leperqwspr
iyvlwwwuxs,CaT,-491
DOg,Cat,-0.154
0.2745,539,506
DoG,diwyivsnmt,506
pmpdvdgxic,dOG,0.1735
zjnvseiibo,laobttkbww,fgdcghmpvc
CAt,DOG,ewktagjzox
-0.0325,dOg,0.4195
0.429,CAt,20
yegmjirhnk,Cat,zlliwycgrq
0.08,dOG,183
-0.2015,DOG,-0.011
yfcbykyqhe,ztndaehfvq,ouosopwmtw
811,dOg,-0.3035
-0.139,CAt,erkjfqikpk
gynxydwflu,cAt,-237
-0.2025,dOg,gfvmpnowwh
-496,CAT,yvonmelfjo
ixaqwfresa,0.4635,-310
-993,-0.0165,-0.4775
-677,Cat,yndfsdnucz
708,Dog,55
-0.003,CAT,438
-553,-231,Dog
94,dOG,kcveyyanbz
-77,doG,-145
138,DOg,mycauukfes
CAT,DOg,yhpjlhxojz
0.464,cAT,xitmggrmki
-900,doG,cat
DOG,jedojokmyd,hpewpfpklp
DOg,lffbamjdqr,doG
cat,caT,-0.3065
-0.0425,caT,0.462
-0.261,dog,-506
601,DoG,0.231
757,CAt,-739
422,cAt,Dog
owypxrfeey,dog,0.0625
-70,162,omgdshesvv
-0.011,CAt,doG
-0.439,hqkjbwiret,-694
CAt,0.164,nzfaghhptg
CAt,-0.2965,gahhoeytxt
-0.164,-0.121,0.06
ceyaicakwp,caT,0.0785
0.0025,doG,yqsjnooxye
tozxyitojh,CAT,Cat
0.486,caT,Dog
-0.2365,998,dOg
-0.065,0.038,-396
0.0065,doG,0.15
0.2,CAT,0.187
