xfuwavvbug,zridrjrrue,ckhnjmjqga,dnptnebgti,xxifmqrrjb,kdjvscdpcy
134,dog,uqjxilxilh,-0.1945,brsufkhwwk,dOG
852,cAT,jdpjfxrwvx,lhtqdyepkz,-0.0345,CAt
0.165,398,xxhchiembr,urokzgtmkg,wxmfeoidfh,-0.428
Cat,0.332,ggqlqewbmv,upsbccpejw,0.321,durxjmatuz
DOG,0.196,popfiqaykf,0.164,cAT,hdhgzbqxtf
106,nmvpxlrufb,frssqywrxi,zifhujdpdh,-0.3085,-0.492
0.4345,dhfscxwiyf,-0.4025,-0.4095,dhbvdnpoff,ynmblqvopf
oasayytslg,lyirllefiq,-179,pnxyvgantz,332,0.084
DOG,DoG,3,dOg,mtxjclwwdb,snmzkstlrz
0.2235,0.169,751,0.479,esukmeubcj,0.226
senhuqnxkx,-51,mjletelpuw,839,-306,hdugskyxsq
uvgrzylpve,0.1225,587,-0.437,muhflamanz,jumfayexbg
