mrmvrqdnuh,hzvbkocayh,Pet,coajurdvey,wwvrbpcoop,ptbbmjlgnw
0.3725,-528,DoG,ftwgrlcunq,946,-0.3445
dOg,-0.2545,CAT,577,cat,-0.0585
CaT,onkhogoubj,CaT,37,lnadklkujd,rhxtidrbon
jwjbcknvmt,495,dog,nhgztqmnmz,cat,wapprtgexl
-81,kcwbslesuh,DoG,cat,zkeygbttzl,-0.342
cejbkahsyy,nwjzizeszg,hnomgyxnbs,0.315,mwvttitvkj,smezkiutqd
-416,axeywiwazu,DOG,jncnxpuqyv,846,646
-0.199,925,-152,qzclphiano,-689,-154
0.4615,Cat,-0.229,0.4355,-0.1195,-712
-0.269,cecreiytae,dOG,569,DOG,-750
-0.338,-908,cat,wilnhkrqpn,akbkhhwlnv,118
211,0.088,848,0.093,365,-741
zmjyvcrovj,519,DOg,whwxriuoly,mbyvjluois,bveekflhet
-302,thlxlxvlky,dOg,692,cat,CaT
-147,CAT,Dog,achqxigdah,0.352,nrchulocbn
-0.3965,-0.409,DOg,-147,-215,680
910,DoG,doG,-510,357,688
378,lqynqpmrkd,CAT,0.2655,-0.118,0.2635
0.1535,-0.4295,-0.0085,ajtacgkawj,hdfozfehbp,374
-0.461,618,-0.3085,tyqunuoabo,ewbivqknkl,0.217
643,CAT,cAt,0.1035,0.256,jilrnswgnf
478,-0.4305,cAT,113,646,imqihzivrh
-0.0975,pcwmjcisxx,dhjhfyxugf,dog,106,xywektpipg
pfgepnpxkb,-0.394,cAT,cAt,0.323,dog
dOG,lpvlchndft,CAT,-0.176,-995,zkhjppjxwc
