pbmzbkaphw,wfwbyotmyx,jtwfiprkwp,pet,qyqalnpxex
ikjcrkmbeg,DOG,10,CAT,-0.4745
0.3515,CAT,pgwukzvvda,hwoindwjuk,-0.4195
rhcjaelbok,yleasqndvu,pkplbmqrtp,CaT,-0.166
-0.213,287,-756,cAT,-0.478
0.5,rltcmkmosf,-0.3655,DOg,0.221
CaT,110,-0.048,cAT,cat
0.1605,745,hpjynrdyji,DOg,fwfocoeewe
0.3335,tiprgrfjez,-283,cat,-688
-135,cnmdywteft,-66,CaT,ajtkqptudj
tvkbrftkgb,-0.2075,cAt,cAt,0.118
-0.361,owqteggjji,cAT,-0.124,423
vnenuqpadm,Dog,cyrinnlpfs,dog,gzifteeqzv
-880,cnvgcyerwc,0.4845,0.3045,CAt
479,0.4665,cAt,-0.412,tgrxrjobep
pseritljgw,506,CAt,doG,Cat
-0.4785,doG,ekemlxwwzn,CAT,-276
-13,jhddvciljx,0.0735,cAT,-0.4465
rfneyyqwsi,CAT,656,dOG,981
-0.4595,soltfxmwtj,CAT,cAT,zoposxvkhr
0.0145,doG,0.342,DoG,xltiohphzw
cAT,-33,Dog,zehjkswhxu,nhxxfqjroz
297,-0.3815,257,CAT,702
dog,-0.287,117,Cat,CAt
zggdsneuhu,150,-151,CaT,Dog
zrwtxjhoce,vocjgtmyxt,-0.344,-966,978
