okxpmpapay,lmsrxmlpbz,kqrxpvwljw,hkdaacxdrb,qyqjinyhdp
-0.415,Cat,0.46,cAt,dOG
rmzmnqwyvo,-0.396,541,nqaoieohmv,DOg
dog,bjnqjevpgc,-0.2245,jpcfvntjnb,DOg
cAt,0.2065,-824,kvrdpglckl,dOG
erohbsfymj,ulbwknpxaw,-0.45,cAT,Dog
cAt,dOg,cat,-141,tsquluuxso
-0.152,-584,-0.334,0.011,267
0.414,0.202,doG,tqjuruszpn,0.1485
encqcnmeto,awdoeitdqz,-0.3525,egftuvhynz,0.3475
-0.373,cat,834,doG,-421
0.367,0.255,0.0375,hlthsrdmpd,-156
qyifaqfuma,fmouvbpwkk,489,DOG,cAt
391,507,pruysqahxm,-0.332,-425
-680,-578,obrcqkdkqh,0.3805,-894
-172,kvlngompkm,0.485,rgravofoiy,zvsmbdijue
rnioizglzj,CAt,-13,0.2625,-593
-251,234,cncqtmgzkq,utngqrrysq,caT
sahrhijcsw,dog,kboecdpogy,-0.402,0.1175
371,-0.4835,-0.482,padwdpqimb,-0.2535
ifxyjyguqz,phpktuqrzc,qregzodqcf,966,-1
-263,-584,-635,aqcldfpzql,294
-536,brhdqizoef,-213,ltoaxkoqbh,caT
wkiylsgzpv,412,-0.1875,-82,-0.152
mtgelgmmme,ynrkovcznn,zziyedsvqv,grekojkdrk,DOG
Dog,817,0.363,DOG,lejybxlcar
