chmrsaojqn,pet,euhcyvbrky,uuhganqbbv,obbghxjkrn,qsfroqomhu
-406,CAt,gfpjxppext,95,-0.4415,-0.0905
jcchnoquws,CaT,gmgqykbzvv,0.18,750,gtqvlkeprh
dzwzujxcxr,cAt,0.234,jjfdaanzxj,-609,-0.311
-744,dOG,267,Cat,-0.0465,-0.436
0.1115,709,0.272,-0.1685,-607,CAt
gxwxuqukgn,DOG,-0.4395,0.406,-0.1155,-546
441,cAT,0.3015,-112,DOg,-0.4495
zggtsqxntr,dog,DOG,DOG,gbsbkrejwc,-797
Cat,cAt,bleetcaqnm,-683,-291,-69
0.265,iyrnwljcxu,0.4645,vyxgkwiafm,-383,-736
0.096,dOG,902,859,dOG,-619
skjgsezzpn,Cat,yafpsnfkvs,-947,-0.168,0.1235
CAt,dOg,554,0.482,nxntrxcbls,DoG
-404,cAT,tcgkgyiugx,85,drwrdffijg,370
221,CaT,-0.328,-20,qztzxlnrjs,cat
Dog,DoG,-0.1545,-0.023,vbczwbezrt,jtcpvedzde
zdvctogbom,-577,nnugpocncn,dOg,lbyziekuko,-0.463
jxbimygslt,CAT,kpxosvnpai,-0.0265,mhqybrtafo,-0.45
890,dog,DoG,539,-0.3565,jtnpsixzuj
345,idodlgrexe,CAt,DoG,-95,0.4975
