efqmzxwrgw,mgzbafglfz,svrwmyyuyl,ubdizssqsi,mehajnlohr,bywvxmiaho
lwkudgmink,0.3295,cat,-0.0875,0.462,964
eimbrtrqra,qzhjmjptds,0.4855,DOG,feetxxogfg,ecwpdkzmyv
cxywdmzzdq,dog,DOg,CaT,839,0.188
eetyvegphe,-45,doG,-0.442,-0.112,0.3435
-0.1335,765,DOg,0.2595,991,doG
460,dOG,-0.112,ypapqsiget,tvwnacrnqz,0.141
dog,caT,-0.237,-0.2805,lfrrqgqxfs,tnhgawwhoc
733,0.1155,rasrgopwhx,-519,cAT,lkdmlllcnf
-0.2895,caT,0.0705,-23,kfpbdfosvp,-922
-0.103,-491,-0.3215,revzbfvkdz,xlrxvkgauh,dOG
617,757,verorrtayp,-0.364,-352,dOg
dOG,-661,-0.093,ecmxhxurvu,456,0.3625
-0.4045,lfhqzxmgqd,845,DOG,hxbmrdlaes,DOG
0.302,Dog,-0.4425,yosciudlab,knfgnxpdxd,975
789,-0.001,dog,cat,0.181,-0.165
0.1805,gfwshhfsku,cqarbpjinq,503,-370,caT
0.239,86,pvhmgzycde,-0.2695,qvlomoywno,474
wprutwhnuv,-0.087,dOG,-430,-785,774
-0.0335,0.436,odubtsmfiw,xzohnjksbn,0.105,dog
-333,cAt,vklfsxczdo,fpuxrdlqlk,-0.286,0.167
ijuzbrwuoy,jlxswjdzzu,-518,0.323,qltkigmsbu,359
-0.3975,-0.496,-0.4705,cAt,450,-0.098
-0.231,nutryubktp,809,679,0.1095,-0.3735
CaT,dOG,-0.464,njuvqptkal,rhrqpbfrod,490
lynpyvwzwb,-839,wymaxgdygo,-0.057,exmsqzhliz,bonpkbbazm
-674,460,962,-672,flvufijtzj,cAT
qnblfowgqg,-721,nsircntflk,ynoknqyulc,-0.048,100
207,0.247,ingswckdgj,cat,264,-0.3765
521,qisvwaklqv,-0.111,DOg,wiftwnokhi,ecnopyweoq
-349,hszhdmlhty,geingmqkex,-245,-0.062,-9
rlqgzjbicy,caT,utgnjfrmyt,-453,917,-962
-825,0.4855,xzkdlciavu,ypxdamaioz,0.211,loapjktwub
-0.173,0.0895,vcinorhpjt,-0.4385,-0.1395,451
-718,-147,0.1625,-184,-624,-0.416
CAT,-790,729,372,tfzdcwwpsk,-709
0.4245,ptbfktwxnw,0.113,971,Dog,415
0.45,CAt,0.116,xeznnenhlh,cAt,raynlpnuua
Cat,mgdlfkzqjq,iszsvffhkw,eaahftmqng,-895,-417
0.1045,-951,czooabixts,357,0.076,-639
0.3675,bkrlfndqcp,-0.388,-0.226,-0.1635,-830
