lmravwxwlx,jxvihaytyk,qymzwkktoy
lfyemuhkvo,0.206,doG
DOg,jcvqnzbtew,0.3145
-0.3935,dOG,ugznnfoxvr
nsufbzkruc,-161,DOG
dOG,dog,qtxncpevql
-0.3525,0.098,-0.4565
0.2685,CaT,613
65,0.2805,caT
198,-0.1575,gdxqzxnjfz
-223,-168,vmrbfykkkf
-0.1235,-218,cAT
kjbudqttum,dOG,34
0.0815,-146,0.1695
0.3605,ihkwycorck,16
ngbvwlkajs,ysyidrifps,466
0.4285,-200,0.367
dOg,-762,0.2605
zwasnuvxyq,0.092,-0.279
CAt,0.363,blwuymufon
iuakmrdpwm,-315,ejdhlidqtj
0.144,mzfqyxrlnt,ahxpqqmbor
-0.02,dog,0.3215
-0.354,pytljgrixz,-285
yoxklkuzmb,chosccmbvm,DoG
-0.421,chwkpyrgjl,itbukchgoo
saiaqteryq,ohtvqgoxki,365
305,cujlzwhevj,wsgvdwxzsv
922,-0.2965,okzmrudbsm
cAt,-0.022,dOG
169,lbnjnwfdys,-65
caT,dgevkvmvnf,0.383
caT,767,DoG
jqyaykkfbl,211,-0.2555
rwzdmyrmhj,itxfuqkzyn,DOG
doG,992,0.3935
-0.0635,-725,-276
tdgvuwfsyh,908,-0.122
67,-92,-0.2995
