ebgjjofwde,vnasqwprak,skxxadkdzv,sbmzbtgwsu
-0.1205,0.2115,jjllucfpwl,-617
-0.2595,596,ikchhzzaec,435
307,958,-0.1975,klpcczlqvt
-0.0905,0.424,-525,byiwwlhthh
-784,Cat,cAt,-0.2925
DOG,cAt,-954,0.052
obzfwvosqc,tqmhgsrwzp,xjwsfrqbko,osoguvqqsc
cat,992,dOg,-0.073
-37,670,-0.4485,ndotumgwvf
egjkahxfwq,-38,lfiukqjyvc,jdeiamldcx
dOG,-819,-399,Cat
ifzdujddzs,0.3655,hwwavckpib,qosdyhlwbq
hidcoqmbzl,0.1835,goaxvpekxl,zipdjznvyc
0.0525,0.0045,jgdynqjzwa,0.4635
-0.205,cAT,Cat,0.0435
966,0.384,-835,0.3265
jkihbmwsym,tyeitmqyec,Dog,sbczlfoosa
yifpsxmbxp,actqhyhswp,kfjndiyktk,0.3295
Dog,zfdooeaxhj,CaT,0.129
xyqvvpfrva,DOG,-0.065,-131
973,ocvnpadxmh,doG,0.3935
-0.3235,0.405,0.498,599
yvwcztmiwl,caT,mhxmstfnrh,-8
0.169,180,xggwdicgob,-0.231
mnegneembf,442,-0.4445,vxuiforptr
0.4905,caT,-0.362,dOG
0.311,dosifnlnry,CaT,dog
-0.0585,822,CaT,523
191,uizybziilb,CaT,doG
-888,CAt,apxchvweji,-17
-959,ufmlklzxll,-0.3215,uzjichjgzt
-0.362,DoG,dxgmrfvuvv,drgybllote
60,ciskaduvji,-744,0.3325
-0.173,pmxhhtmvca,-659,dOG
-827,doG,cAt,npdwlqrqmd
umaxyifjhz,irfuyedaip,CaT,wqiliwncvq
chglecbyzw,753,bxwfbxgxwm,64
xwtlcgppod,lovtpeowzs,zwypritqbd,osqkouixib
0.243,-1,-762,195
-855,-0.3855,-626,wzbgbauofh
nmwjrygqpl,0.1175,-0.32,hosinilury
dog,481,-0.2955,-996
722,caT,-318,-688
cxomhlnfhk,0.036,amqnvyxlvs,DoG
-909,qpfysglkbf,0.2515,-0.385
gpnaafeifw,tsdanddbpi,0.4705,-0.188
ootfrfvyzr,eluwfnpkvw,-67,ttbwgxavlv
-219,0.0015,778,CAT
suuvdkjuld,227,xiorpywrxz,dOg
710,-935,ucymeptpir,-0.4385
-0.0535,osqoxmybcv,gocpkwttju,-0.319
-0.2275,aotdjfgurg,636,0.2415
cvriwgvhzq,CaT,dOG,0.378
wuwawecuzd,Cat,DOg,-602
