ejnrkncqvz,dyvbkapqwe,qchugbpgpc,pproosfaiz,dtohefxpdc,peT
fkvazaynyq,-0.382,0.3155,Dog,-8,dOg
CAT,859,doG,DOg,dcxkxqcfya,DOg
-303,0.2455,kmpmnqarzo,-568,0.281,0.459
herkbahyfu,tnfufkvdnz,mlpfrtqekf,dOG,-202,cat
0.4215,huklmrkjmf,ckbioatxbn,0.486,-763,0.015
-457,cryphvnukr,bfksayjkcm,doG,0.341,Cat
jmdclhmcle,-583,fxevznxali,ecqlnuiiie,CAT,dOG
-0.3845,cvacurppxj,0.477,bsdsxxcszl,ptbxhpxqku,-0.127
0.0675,fmazfktfol,ywgfdlpovy,splfqqkowo,-0.006,-498
kprxwemnxp,826,clndbbslhz,-436,-558,cAt
-0.1715,hdugfsmjkk,791,fzufhgdhbs,gtuephgnos,Dog
24,0.004,doG,bwozxppkxe,-0.1095,dog
zomczaffoa,okbswgfivc,uocicvcwmm,599,ahqokfrcge,dog
0.283,-0.016,-259,gpjzendiwu,xxmzbeydzr,Cat
997,0.111,-447,-0.0755,dOg,cat
281,hkmyquxfmd,isrudredqu,0.3255,-405,rfcbmgrldu
595,-607,576,315,0.414,CaT
0.136,kypsavsonw,858,451,0.2665,Dog
cAt,cAT,0.0805,DOg,oibmensgfl,doG
wezxtpakad,klvqfvkcyo,553,eizlgrwtmi,0.335,-404
0.123,-0.114,xavrsywbbj,0.2025,0.368,Dog
ttqlnhczcf,DOG,ctwjfcwiex,-936,Cat,0.2715
-0.2065,0.174,0.457,0.204,488,cat
-342,DoG,udlrrdcjlx,DOg,-0.0075,Dog
besugffgja,0.3905,oqkqblfphq,86,549,whulfikmhx
jrwutukvwr,ylcdyktjic,0.303,632,410,cat
xgckouvdwa,-0.095,zjdsngmdbg,nwrumyvbrm,-0.317,dog
-0.1085,cat,-0.482,-501,-794,cat
ktyccomurr,719,0.094,-400,Cat,doG
-0.3705,0.175,bvoxdqhcvc,-887,yeopezcjvw,DoG
mzoutrokup,xaqzgwbzst,0.423,wswcdpufek,qwjqbfcdvl,gdakaonxjm
0.3875,356,0.0005,fmhneclkin,700,caT
CAt,yuvcjsczqy,-377,-373,0.285,Cat
743,cat,-519,rlcshdjbnx,doG,dOg
brnpljopnr,-755,0.2495,higutxbkys,rrrrdghddh,Dog
CAt,cAt,-0.062,-0.4985,-430,dOg
-0.021,234,-939,ndtqkmxrzi,wplwmxvbux,DoG
-0.4465,206,-931,fybnhdyeev,-608,lrobtgxlfj
0.128,239,CAT,161,DOG,Dog
-616,0.228,ksalkeejyn,hhoqpsvpcn,dOg,-717
0.0005,0.0775,0.4385,0.32,dibhdtxhdf,dOg
0.2545,bgqjizzkfd,0.2275,0.075,0.4655,dOg
-0.235,thsqhwvdqz,-6,-478,-0.0285,-0.128
qsxnawxots,-158,gbhpgojlbq,-0.441,0.046,988
-147,uefodxbinv,0.014,0.253,-0.4475,cAt
0.3875,0.3335,twrfkuhttk,0.0405,-0.0445,caT
piremwjhvm,-0.379,-733,970,0.3595,0.1315
-0.0335,-0.0395,wmbrlncjoz,-619,-664,cAT
316,vaxfropemi,-0.06,yygjyhlglv,cycwtqozzn,CAt
kpmbwyqlqv,jgeksfntie,CAt,dog,doG,CaT
DoG,ndoqgyfyex,0.1165,ebuzxgxwrw,-0.2945,Dog
247,0.187,sezcoauwwv,cbvmfaxlhv,henqwfztwz,DOG
gygszkcbqx,-0.155,-0.414,0.095,0.2295,DOG
0.08,jgqowykczz,sdkxaigfnd,794,zgjgdqqbeg,cat
pnfiwvkqjz,cat,aloyxwojoh,avcuwwiylq,-307,cAt
ugucsicvqi,-0.4795,-0.428,DoG,DoG,CaT
877,655,prsbsatzsz,caT,doG,-0.307
0.1545,cat,-0.16,-0.003,Dog,DOg
-0.182,0.115,-0.184,0.2145,-478,cAT
swrktgvwpf,-663,0.189,-637,CAt,DOG
caT,372,480,Dog,-0.301,CAT
812,-376,-916,CAt,Cat,-891
-0.1365,fzuihambix,caT,0.193,160,koyxqrxmoy
522,xetrzgjwoo,0.408,982,rwncqwnzxp,Dog
689,-259,caT,592,0.3945,0.217
343,-0.479,-690,408,Dog,dog
-799,0.3395,DOg,688,0.5,-230
figbgfuwjh,qivvgasjmt,hepkudlhsz,-0.0795,dog,0.2795
-0.079,-74,-593,pnlckwtqjo,-134,dOg
wwmfopzfoy,-6,0.4045,0.163,bpzehytmcs,cAT
875,0.371,eeghrbpopl,DoG,-894,Cat
mjmgzwlgai,ztcnvcsznf,939,-0.23,wlfyknvbpv,DOg
caT,-0.1195,-213,912,cAT,gfvynlsxos
cmtguyhuvg,bclbzsqisa,773,-0.334,qprwgqcrom,DoG
hqsgeihmsm,0.365,0.3715,-0.451,-903,dOg
287,0.1725,qathqqrilp,DOG,-0.3845,CAt
jhvqpqoezi,CAT,171,cccldxsjlg,fwvadndpmw,dOG
cat,uckmxkexhb,314,-0.4835,-0.1825,-874
ielgnpkmwm,259,gywrsvekdr,lhbotvcqsz,-244,-0.201
ayikcykatm,vwihloiqao,685,-0.2515,213,DOG
186,DOG,sgzieuavbl,DoG,gmqrhtthio,dOG
yunapfzwlb,DOG,315,-125,-320,CaT
