wlncxftjax,pdlzmatsrc,esdpcxgclb
-0.1105,0.0955,876
-0.1335,icixpxrqkf,0.0805
0.3765,-0.0685,DOG
-0.0615,mgnzjclwnx,-655
-0.267,nuhvunqxva,0.1145
74,31,0.0135
dog,105,567
CaT,dog,caT
-0.2265,761,doG
-616,mqjwxpdzim,570
eqvghutnks,0.023,-315
-0.16,626,0.3775
0.484,630,ulqxzzjbqq
DOg,DoG,255
cat,-445,-0.248
0.04,0.07,DOG
574,lwsntlnwun,yqaeryiuoo
dsfeomgdjq,yvmeedlqho,525
flfzdkifgg,0.313,CAT
grntinjtyd,ynkljsvwzn,tfxgpicgda
Dog,txuzivbezg,-954
doG,DOG,cAT
0.2765,-922,150
cAT,cAT,386
-756,-0.489,206
hkgcwiwutj,0.0485,CAT
edpodqwbol,CAt,efrksvpfyz
yrmaqaefyx,mkznlzddgp,-0.016
0.363,0.426,0.062
CaT,hsvsrrewzl,DOg
0.3675,0.1525,-0.3345
DOG,662,epmhqjsxbn
-0.2385,rivzaudpyx,vhsjighsoy
dOg,cAt,-627
ogtgmcrlsr,-0.0275,DOG
-201,-0.237,0.37
425,fbcrzyeytx,-0.0125
552,-197,sderqysncw
0.059,DOG,gqmwgdygao
reytuqzekk,0.091,-0.3615
-891,vlmehlwbei,-0.3245
cat,0.349,DOG
-0.2535,ixwyqxdpod,ixdpsglwlc
