zvfniodgbq,yzszlxvmtq,pnujbcragx,ecaynymaun,taeyxjunxp,atbpflskuz,inouhajkss
0.4015,-506,cAT,615,14,0.2305,-553
CaT,-0.3645,-243,-0.3,vgvoeeicdj,-0.35,0.081
jpncrovlcd,0.4825,-946,-0.279,-0.2825,0.4245,xlgmezrylo
0.0475,fievycqvlb,vjwyijhqqg,-324,cAT,dOg,112
0.251,Cat,dOG,0.245,lfdqymsvto,njiiwapwej,-0.4875
-668,Cat,-0.262,176,Cat,0.3875,-394
DoG,dOG,-0.3385,-0.142,-0.1955,-0.2905,CaT
-0.323,750,tbmzeaomxd,-0.3025,277,dOg,nsmoqczgyg
-0.084,-825,820,-775,cgggdidmxr,-757,873
0.416,qtldzevugi,doG,0.351,-0.057,-659,ubgwncbtox
-12,zsngdymlpx,-808,-618,-0.085,Dog,405
0.2225,-0.4545,-0.29,vflrydczrx,0.0125,qzdaubhngg,486
673,jjldslxdkw,dOG,181,-620,xohthfyomq,880
wyqztiozyf,-376,-48,0.1255,-268,-0.3425,0.4755
vegfkorpoq,-0.2525,0.0915,CaT,-27,0.346,wghzjzqfem
0.3155,210,445,CAT,caT,bqgdoxxpfl,0.348
0.1325,fvperpxwel,-360,krbokcbrqs,0.006,-991,spevjvpjws
-0.207,-2,-0.0305,947,odwcwerpkq,etdzondujw,0.2995
622,-0.1925,wcreqvegyf,-0.2315,iauuklfbys,945,-175
cAT,525,-0.216,-594,0.027,-273,755
doG,0.0975,DoG,rptvslxsnz,-0.387,pvoowswdgu,353
-0.055,eznvuivozv,-0.3095,0.3725,-566,-0.3305,dOG
rgytjpyhqg,yvqcrdcxqt,-781,qfkfrfufrl,doG,txjjtqdipe,717
857,923,401,qvdmsqvihu,0.347,Dog,0.3035
35,pqvphwogyh,-974,lqnqqsvnfl,-95,DOg,iewrjdhico
ayhvyglqlx,-0.13,0.2115,txpsyrdjml,799,0.3655,cgknxpmxmb
-869,0.383,ptlwungbpt,0.365,861,76,-0.1715
nlrwbcnxoi,0.311,uzzzwzgysy,ydmhufcjpw,dog,0.366,435
-9,156,0.197,-758,0.3755,-0.411,Dog
tcrkodbkaf,-642,udeaciihtw,jmgkjcicgc,491,tweysczved,Dog
jvqffvkpei,khwhcnayra,90,0.0775,hzfzmarejt,gejqqhzbrt,fojnusgbcm
belfpzqaqd,0.449,764,-772,-586,-28,-0.201
ltpslgygpz,dOg,23,Dog,-0.017,0.318,203
371,-0.1215,-694,DOg,nofeknstpb,caT,CaT
-0.246,xgpsoommhz,0.138,-566,83,dmsmffzdfx,caT
439,-162,-0.323,fytenzdfjs,-0.098,CaT,407
-648,-0.4975,0.3295,-0.4855,mzncuicjym,yqxqygautd,-0.09
-0.179,nfmmbgugzn,121,wjrgqnvdxi,0.1415,-0.1885,-0.406
iaofxjrkad,595,DoG,-0.3715,0.0235,DOg,-229
-0.01,hjclovlirr,gzltfknlvq,-0.0995,ssngllxbvh,vwurwrzzsg,cmcjtazrfk
-0.2785,206,338,0.06,upkzobmvps,465,-580
caT,449,wkdqmqtgvq,0.2725,-956,-0.4595,mvshdjhbjs
-454,-82,uxbwiswqey,-569,-506,485,0.4555
scfbiapjsz,lzhmxjgdci,-0.2435,-628,cAt,-931,spyspqalvs
0.4935,trtzpnzetx,0.01,0.231,-259,0.3295,-0.032
mvvpletmlf,0.0405,-0.3885,caT,-0.475,revnlbhcve,888
analqmmbce,doG,dog,-0.177,-769,401,-0.311
0.3745,-870,litwxamofo,0.485,xrswtmwcpv,-0.2465,cat
DOg,mrkrwxlshj,-0.314,cat,cAT,0.1195,-0.287
-0.3415,15,0.316,65,-142,-70,ywpudznqrm
0.4875,0.361,449,615,0.416,0.362,-0.375
-0.3075,-847,126,0.3885,-0.495,0.113,0.285
dOG,750,uzomdwcjnm,-0.4465,dOg,-0.4665,fllfwptlwr
4,712,-672,cAT,zokaomygsi,0.1465,-0.375
-0.321,714,-0.17,-369,566,wkgyofxlsm,-0.1735
kcjwcpduji,dOg,625,-0.45,211,-157,lmydxmsqmw
-744,vxaxxcdcns,-919,0.214,-617,0.24,-0.2315
kyfeyssnuh,ewmexxhszj,479,558,sudhpqtwax,-0.2835,CAT
nmjsbwxxfr,nlspgvvouv,CaT,gwcpbdbfrn,dog,ifettcrxfk,cjgdpjxbvm
ysbljogepu,zeytkhbghs,-188,0.1735,xbzzuhgrhf,-797,0.349
-0.2945,hojjiudree,-0.495,-348,-761,-0.397,249
dwchawrnlm,0.286,DOg,-751,0.461,lqewbieqmu,0.093
bjycndptfu,edfajqncog,ogjnlqqwbl,496,182,146,0.2875
0.0825,cat,exrlddscan,qrseitdaos,-0.345,-0.144,DoG
tmnlsayxbb,0.214,CAt,dog,0.351,caT,eboewfhkjz
gxznlslizi,-687,-0.4105,dOg,dcgcaonocj,-354,-830
-265,-105,CAt,CAT,luwjjxukhb,689,faczhyskto
341,608,furzzlztjh,-653,gxjachnqet,-175,cAt
Dog,0.116,-0.3795,qsciimfggz,-28,435,lqtjqxrwal
-0.281,gjckhpzjab,896,0.3015,-521,-222,564
cAt,dOg,41,-360,108,DoG,lbjselemai
-0.185,946,0.35,125,-0.357,-120,299
