bxugmkdzdp,kusadnuhke,uokrmyhsbe,eermpuimqm
0.412,zsuqxtrxti,Dog,bkiowtszgu
oxdtysrsng,kaoylxxdef,0.189,-959
nkfonseyru,-347,-0.0245,dbydfkqaac
-0.312,skvmsxcznj,0.177,kfpmfaxxhy
-0.4055,doG,0.1595,-410
ysjgtgvcwi,-0.1735,-580,dog
0.3205,184,-505,-392
doG,CAT,caT,DOg
djuurdqdtu,763,CAt,0.427
-0.062,0.041,0.11,0.47
-0.312,-66,fkivranrkg,caT
nlmqtjqkuu,-0.497,DoG,caT
CaT,855,kkhzxvizwu,-0.0185
0.1835,CaT,0.097,oxagovlydm
hisqjwgfyw,kleucevamf,-0.4955,0.3285
gcqovdnwrt,dnywjxkrjw,jocdhgpfje,0.491
-591,fllmardkib,-798,fwoqbqcwqd
ekfkkefwta,0.0155,zahlgymspp,dOg
32,-55,rzzuucccth,dznankmkwd
gaactzmsoe,-0.24,-0.2715,1000
hquhuqnhzj,usiuiqbrbn,-474,-0.3025
cat,cat,wqptqsgxaw,vsrpdchmfr
0.1675,760,ftzbblyvtv,-0.3635
DOg,0.261,dog,-0.2555
cAt,rxfrknrojn,-282,dlnrehlxtg
-881,urjiofemdp,0.4145,wfyaxbcavm
-148,0.208,DOg,wibqttqcdt
Dog,cat,jznufvizhc,caT
483,-0.32,0.2505,ksvmobewjn
-616,22,-0.433,487
115,uqnqcscyvb,-416,-733
DOG,frgdwlkpoc,txhovmffil,-0.295
tzigcbaxgl,0.321,-0.1905,cAT
-256,DOg,twdmafdpak,fvsjyvldrv
0.352,ojxiiknqza,-0.1725,-395
mvdtogtraq,-0.4935,553,-0.0035
ovdnmnxnia,-0.3625,cAT,0.1085
-0.0435,qclqtqneda,-0.1425,-0.4915
btzjsxumtp,618,CAT,165
krvdheenrq,-0.3605,0.3715,-0.3855
-546,0.3065,0.103,877
cAt,kjccvtjvgj,Cat,-0.4945
-0.0395,144,532,DOg
cat,ootqkusnzi,-707,nprcgrkgui
854,-0.307,-180,dog
jqosyfvojh,hmvzppfzno,0.0985,rqshcvevpj
DOG,-0.2945,-672,54
-703,DoG,-894,lclliarlfj
0.1365,-0.092,dOg,cAt
Cat,163,271,0.3815
CAt,0.0585,-0.2425,CAT
-973,923,0.4905,-667
-0.3955,-0.027,cAt,-652
0.4285,-0.019,uuiqiijaqo,-661
mefjbnrieb,0.4085,0.071,0.31
858,-0.413,699,281
971,bifsvbgkhu,tpgtgdnrrb,14
-939,585,zmfkgidqmq,sdlyswshxr
cAT,exflzqvxnc,-0.2565,0.1285
-0.28,630,0.177,0.4585
xrhpmlrlou,836,434,czqhosmalf
yxrddjzlnj,wkxkuojrlq,otjkuuyycd,-25
zxjnnpagio,-0.358,0.1765,foxxfnmhfj
83,cfaayuvojl,-0.102,ooewnmrjeu
0.334,CAt,0.043,0.0115
xviahjnsci,0.076,-0.2665,213
0.2925,cat,-58,clgbraqmle
