coirpuhcmg,lgwtlizfgh,qtmgsdnrym,uyikbvpugm,nkexcvkaby,ruugqixiqb
kanjybgtlh,0.3045,0.3105,kuupoudvng,CAt,-642
-445,pdbcwrgaaa,-772,eredydcaly,-313,nessvwowck
411,yemtsqrgvb,doG,-0.23,112,DOG
-778,453,tqdhpcmfqc,0.066,168,jpybfvhmet
xizvflhrvu,dOg,CAt,-771,vrqkgvdfqg,-0.002
rhqaggmbco,0.124,509,0.076,0.0365,caT
qvoickwovb,dOG,sltophenru,828,979,0.197
-0.031,ktiaugvekm,0.137,sogwxhmppc,dOG,-854
caT,nmzabslzsa,-0.475,cat,DoG,-0.3205
572,CAT,-306,-0.123,zjkbaaikqf,0.2975
0.354,707,0.4785,lwrmeeibum,kcxkztdktc,-0.281
0.166,iicclbrmwp,uxpcvetibx,0.2775,CaT,-184
ntupvpdbrq,356,-815,-525,0.41,0.3085
-0.026,fntttizjau,999,wtdmvjejhq,-0.144,yyvpwkqosf
wtsvdkooaq,cAt,tsskylcabo,250,291,-0.0615
roogywoqal,vtxlxapgqu,Dog,hvaobukdjq,403,reyhitatza
qndigsuars,0.266,ekicwjbwua,847,-0.329,134
0.317,DOg,0.3365,lfkoyajcbs,791,-0.4075
-913,-358,0.137,gdajdjczfl,-0.4225,saimxjysil
dog,0.223,-0.214,0.142,jyqqjukvkm,-0.3885
-523,doxaeykyhd,21,wmlzojtbty,487,716
573,130,dOg,-0.441,doG,44
-0.2435,cAt,kuhuxnrtdd,-0.1405,Dog,-89
-164,-633,CaT,0.479,0.433,438
