qzuoctfuqs,mpzuqwtdzu,atajbwwqho,ccyeklkhsw,tsntaroluw,Pet
2,jsrznvxhjd,cAt,-0.2695,-0.257,cAt
DoG,0.341,0.4645,0.269,-0.275,caT
-831,rswhqkivnf,DOG,unltkqxhmd,qkzgfgdqpb,dOg
-900,0.149,-140,axcrfhhtoa,419,caT
yilxzvvldq,136,368,Dog,-837,0.097
302,-0.13,-0.2115,-505,CAt,DoG
caT,fsxmhlivub,452,-0.0185,-0.0815,CAT
788,0.171,452,-0.0115,-0.468,695
0.0595,0.378,-938,ckqsjohsdd,0.0365,CAt
cntmtsxcbp,ebhqekerur,CaT,0.373,-528,DOg
237,cat,0.27,26,cAt,CaT
lvmibqjhje,-0.342,0.067,caT,200,-829
675,322,pwnvytynsh,vribxmadrh,-0.0715,CAt
DOG,0.1295,hxcjivqoey,wfqhzotfhl,Cat,caT
kakuvqcnyc,0.1355,Cat,0.069,khpqpqhqbr,0.4125
294,CAT,hwbmwuofua,941,-0.1985,dOG
-0.451,Cat,-0.0345,-0.1645,-0.014,dOG
-0.3435,cAT,-521,zodazavsnj,-0.373,dOG
-0.348,923,ieixcmfurq,389,DOg,CaT
-0.0715,fzmnzqrevc,gyhbsimmvl,771,swwbcocjzb,doG
cAt,Cat,835,xaolnwkamw,784,DOG
405,Cat,-467,0.16,dog,-407
-278,-0.437,hhnvjoshaj,0.1935,-370,0.389
CAt,pgisyybkyu,vflpbumpse,bpndybnhin,sxwoticodj,0.1745
cnrgwhunys,0.414,-316,0.435,-110,0.307
CaT,0.2265,DoG,uxwcnnetsc,-898,DoG
731,-242,hwkbhqztfa,CAT,CaT,-954
DOg,ziadgrzigm,Cat,-0.4245,Cat,CaT
Dog,64,925,-0.173,0.294,0.265
0.117,tocabblbhw,-560,-0.455,cAT,cAT
0.1035,tgtxajkwrl,838,-660,0.0755,CAt
-221,lcvwmbipee,0.427,179,sytvozfesc,cAT
0.0825,0.2985,681,-678,-0.3115,CAt
Cat,-0.314,emsjljwwil,yceurmpszg,0.2525,dOg
-471,-0.415,pvlzqhzadh,fctluwroiy,taeapopnqh,dog
0.093,-316,-0.4205,930,783,Dog
0.442,0.379,-0.016,cvdfccgmaw,xcsfudzznf,doG
0.096,-0.088,-0.251,jwhbkgtoqz,izumcqfgos,Cat
-9,CaT,-0.472,501,dog,qogdfizvxc
0.347,CAt,-0.015,Dog,591,dOG
vmccotnnfv,-0.0865,DOG,-145,uglbkztukw,3
Dog,sfmdmzivdz,eyscdexwdd,cat,CAT,-76
dOg,DoG,ajqctbkctd,xdgdboavmq,DoG,-553
hvtdmacuyt,0.107,-225,hhtdaxbelp,-0.0145,Dog
-454,413,-742,hxzirtqony,0.0935,-0.1165
0.2285,-0.0705,825,ufaijyqlug,regfcgdisq,DoG
0.36,0.4855,-709,0.145,0.175,0.0345
710,Cat,0.21,CAt,505,DOg
bhiedsruaz,-317,-52,ifnjqmuszq,caT,CAt
382,DOg,0.1815,xhakopxmur,0.2275,DOg
gqyungpchv,-0.12,0.048,0.3345,-502,DOG
cqgdyqkacg,lmidamyudt,-852,jpaphdunni,220,dOg
-265,-489,DoG,-0.3965,nipmudboyf,bchligmkmm
caT,-0.286,eanbgasgcp,CAT,0.0795,dOG
