kpgfpcsona,pET,uyszedkwan,xpufebcopp,gbjkvawfzf
usvescmprz,CaT,nrzogssfzp,dog,-815
anpwnhgvch,cAt,cat,-0.144,doG
0.1205,792,ubocbklhdi,cat,0.426
aivtwgdpfr,-281,0.4155,cjahoqckil,-880
hzbqbsnqvx,caT,-0.126,-0.458,-716
rshbywdpey,caT,-0.045,-0.008,336
-0.328,doG,pgwgtbnwqi,0.139,-0.4635
740,doG,-941,dtynggenol,-991
0.378,doG,erkrkjkxfe,cctywtfxon,0.059
DOG,CAT,-423,DOG,zxvjllpmfh
0.363,CAt,179,-204,fxmpcmroji
dOg,0.1635,987,pmpdpggllb,DOG
0.423,567,jgcawaiqlv,vsaqwwwvzr,-0.344
0.204,-409,-864,-0.227,vrrtpbfaem
hxwvdcqsra,dOg,-0.1335,CAT,fezjtuhjsx
dhvkwafxyz,Dog,0.003,bdpmazmymp,-0.32
-0.4615,-0.316,-603,-583,mcedwzfpls
cAt,DoG,dog,-0.129,556
-625,dOG,0.3845,mjzzfiyetn,klypamhvsu
eewiesdeaa,DOg,-0.0955,0.02,rwroholgio
140,cat,icflponbll,llhuivutnp,btaazvtvqd
camxcccowt,qcuxjhycyi,DOg,0.081,blekzftmre
dOG,cAT,stdqtkurkb,0.1755,34
cat,dOG,DOG,-0.075,cat
0.3915,-377,800,lhlocsxyya,-148
-931,925,ncecqpdtfe,vssrmvrhav,-0.3205
-832,dOG,175,kotkaclots,CaT
0.171,-0.425,CaT,-0.0655,-0.455
850,dOG,129,0.0205,406
-334,0.147,dOG,dOG,-0.2495
-0.278,CAT,-0.066,cat,-0.0945
uvakocfmff,Cat,Dog,CaT,-812
0.4285,cAt,lhqvaqbdpc,0.1275,CAT
pjlmehjqkd,-0.0525,fqlexxtuiu,602,-349
-484,Cat,cat,672,muhynuxiuz
449,0.4945,0.3715,568,0.226
vhvmumskbk,0.2095,0.391,0.246,-8
-454,Cat,0.4675,0.1095,-816
dqysdyvrdm,cAT,-568,blnnmmetws,cat
kqyjscwoaq,cat,-140,64,-95
919,isnjzqauqo,zydtkaoffj,Dog,0.1045
0.2625,DOg,0.2475,DOG,cAt
vwdcubfdrl,CaT,onheruxube,0,-814
dOg,DOG,-0.3765,0.163,-557
-0.2205,dog,-0.115,0.307,0.14
wwdtmndhpx,doG,-0.354,doG,jotnfqdqiz
cat,cAt,-608,tyutaryiwj,rdselhjcmk
cAT,cat,-497,dog,DoG
178,DoG,-32,0.417,0.1175
Dog,pkmhgzinea,pngrymrdyx,nssdekdyfb,DOg
czdqlckyht,caT,-0.4355,dOG,DOG
