kruikcckfe,yznlnvbhrm,PET,dhxbrplpvu,aodedabndx,yjggggjlpq
856,-802,DOg,-0.0965,-0.2415,842
680,0.0065,DoG,cpdwkvkijd,wztwfvirjh,435
deexowmhmx,-48,dOg,614,0.2225,-0.008
qdbbvktqiy,92,Cat,0.497,doG,-742
-940,-0.338,cAt,144,mtkydkcopj,rpldjwpnha
0.2485,533,cfbcwdqutn,-78,-413,-0.33
-0.0745,bgmjifyaic,mfmnruubvy,ypkxhqvjzc,ridcwcylch,-0.3705
dog,magisztxxe,0.254,xklzanpfsz,DoG,gvqgpeqqmc
0.343,dOG,-871,jxrspujqsn,cAt,CaT
-377,-934,Cat,Cat,-0.2525,-53
nvxdakkvlr,0.467,otebdhjrha,doG,396,0.0025
cAT,0.07,dog,0.2485,rtwoexctqd,adfqacippu
tzoqvffygk,lpxurlkmdq,-821,781,-442,0.058
cat,dog,dog,urglsurnyp,-150,-0.0755
238,0.1995,hqzwpbdake,-0.343,-0.4955,xinevpnuav
Cat,xhbtdhkxiw,CaT,-618,-60,-337
DOG,DOg,0.224,ipzkjsglmh,0.158,dog
0.1845,Dog,dog,0.4735,-0.3835,fmwtxzzdms
-0.3755,0.1575,Dog,-0.4675,0.1765,-0.118
-632,706,DoG,dog,cat,-0.465
uttzmdcgzx,rreukbusow,cat,932,zfjbosopwy,sqpbhnambs
-241,-0.185,Dog,dOG,nklmlffori,-541
-0.1875,doG,-191,0.222,0.491,22
qcgstmlvkk,-22,CAT,-0.2815,379,DoG
265,omvjxizsns,cAt,hwwecowwrj,-228,-26
386,-0.0845,Dog,-180,-0.124,-0.118
993,qddfalujoh,0.3165,-715,995,krerbdzkjb
vmdmoifkyz,934,wcxasljprk,140,umebptrjgq,doG
mzokhirhtq,-591,DoG,dOG,qndaktjydf,585
yzngqitobd,qgtvfobutz,DoG,-274,DoG,-155
gpnyfmiyfs,0.3165,CAt,jxxfkzvpsr,Dog,udbpzqthms
0.2935,-0.0945,-0.245,440,-320,vbifyqmrnz
doG,czixtjsjnl,-0.143,ojpknnhykr,-168,cejhyjjdrs
CAt,vstumhogje,Dog,-0.4615,0.2,0.2925
-0.066,0.1065,dog,boqsurrjmu,tptgfrpqwd,-562
yluvilwzyj,0.148,baicwkgnds,vmhbnqqjek,reblcikbce,CAt
uekenwnkdb,cAt,CAt,iskqelrsao,-335,98
