zzaelegxta,jhvqypmret,kzkgotlawd,vtuifriffw,osesggrswd,peT
aezoaafoab,ynmorukewz,-0.2375,-0.2695,-0.0285,dOG
hcrktiupek,-0.456,-711,0.2805,nyidvwnudw,CAt
-0.369,-0.393,DoG,jbsxaqmeqp,-0.042,cat
Cat,0.126,-322,doG,rzvmbsgwxt,DOg
-946,xldwbvnppi,0.139,-0.067,DoG,CAt
909,0.0615,cat,kbmgdhjjyu,mkoyznkdtc,DOG
-481,-0.356,-0.2655,ulwhuzmled,209,dOg
cAt,0.104,doG,0.278,dog,caT
idwrdlcdbj,-0.2485,0.286,amxamvzuwl,-123,DOG
0.2955,njvwfdlhyn,955,nzdsogxinh,-0.311,cAt
fbxilfaqsa,sztzjkfeui,tpluwxrykq,-294,604,Cat
dOG,gskemkhwzi,CAT,-971,-0.4215,dog
dOg,cwsupksyds,-890,syhwtymlmv,jfcsunqwcj,dOG
bwpltkkhmu,-0.1505,134,DOG,cxnkfnmdlm,DoG
750,dog,783,fhuwbfdhvk,dog,doG
0.463,0.3315,0.3235,dog,0.076,DoG
juilsrkzpv,-754,-0.281,-0.1595,-0.3445,Dog
-135,cAt,bponiocdjc,-0.106,zbcbntgvgj,DoG
yjkrhwngpz,qpsvorqidu,lyrysrxrxj,0.2245,-323,gwaynckkrg
702,-0.1205,CaT,88,0.1615,CaT
-0.4125,-142,-0.143,mvyiifijpd,807,cAT
-0.156,tabpcrizzz,thymrgytjw,dog,553,536
zbtzjlsjwa,cpqxneqxsk,lkgyvgiwfc,0.259,ehmmdthzxq,caT
cat,yzzverxbns,158,-787,wgwafdtisj,-806
-776,0.0505,-0.098,0.0465,-0.0555,CAT
mettneqatq,313,xjnfscwdzq,-731,doG,DOG
CAt,sgjbuqmqye,-0.0095,-0.4775,Dog,-0.369
0.167,0.491,-0.2765,0.3505,ochmbcysry,-0.309
-0.3905,-984,0.061,dxxolabfwd,0.287,DOG
CAt,CAT,-0.4035,0.3395,0.2285,0.095
0.2015,fqqhjkxfwh,cqhmczeupi,-242,dog,caT
doG,0.172,-0.3895,dOg,doG,CaT
DOG,-0.3455,19,lkyzxulguq,fvnijimleg,DOg
dOg,-0.2845,-595,0.245,DoG,-916
0.2995,dspwrtbdwy,-0.364,DoG,wnvkcaexly,cAT
myaqnndcxw,-103,250,wcmtmpbbii,0.1835,Cat
-737,0.019,Cat,0.143,-826,DoG
0.3545,CAT,vujyovfjvj,0.214,-190,caT
913,dyhqavqhcs,-0.123,-858,cciebgmsaz,DOg
cugdziayma,cat,-915,DOG,-0.3935,DoG
-0.0115,-0.074,-0.307,rcnvkeykec,cawyiyrokh,34
-0.089,0.374,-0.076,0.143,-0.0305,-0.0685
503,qukzbslqkt,-706,-0.204,199,DOg
-900,yfapcugiox,994,CaT,500,caT
0.009,-807,0.4035,-0.3355,0.2265,apcvnvyloj
0.3295,0.0595,-148,yznzsxpfju,677,dllbrwmget
zptpcahbya,khusejbjgo,-170,0.226,ewmtusruvz,cat
-177,cAt,wkxkeekwjk,676,Cat,0.3255
dOg,ksxrhnlevw,337,ljevctktrx,vzdktbbvby,rthdshjwbu
DOG,-0.2825,gpzbrvvsnp,dqtwnowzfn,0.007,cAT
16,-579,jimcecmtof,dOG,-0.3425,CaT
rnkorephmk,0.3725,0.0455,-799,476,CaT
vqfhbfyzwk,-0.339,tdrdiuunqc,-0.2165,37,DoG
wcwrnuqtjq,-633,doG,616,climkxgdar,dog
0.208,0.2375,Dog,278,dOG,-0.344
Cat,722,-0.2205,275,0.287,-0.3245
0.069,dOG,0.0385,0.3575,CAT,cat
DOg,CAt,-0.2815,0.4915,29,DOg
Cat,DoG,131,-757,-831,-602
dOg,mvkejzabhk,DOg,795,-772,CaT
-912,vpynhynsmd,jidbhakvox,-0.4375,jafgufqnvo,CAT
0.1595,856,654,koxuaebmqi,yifiwfiqii,cAt
0.4605,-0.124,-50,-0.1595,DoG,caT
-0.4745,ywltdthwxp,448,45,uoxgdkbgrf,caT
hwyjzkwmkn,dOg,xwseikeayf,0.292,-0.102,dOG
-0.1575,0.3965,0.4055,lzzfrmqolt,olmbzwmbih,cAt
