nqsinlytle,bmiwnpvjnr,jnouxwoqiy,kenhcyumse
-0.463,CAt,hxlqtdezwk,DOg
-498,-0.1885,caT,ymbfnxcmjc
905,-0.3145,0.42,brzrruuyds
-19,0.21,aybihvkrvc,0.273
zavapnlnwz,89,knwipqozcx,ltdllgvdmp
-127,-997,-119,0.1635
-0.208,-770,DOg,-0.2745
dOG,-0.0985,hdplecvblp,cbucxnnhzz
975,-0.119,579,hnrsejgbek
459,-102,932,dbdntunmkz
pepcqeneat,qxxdgtbejo,tkusxwfiwr,cAT
-176,0.174,-0.308,873
-0.133,0.448,Dog,gxeelgnitl
cat,0.287,999,-0.477
Cat,0.1875,-0.463,-984
-0.134,smekcxrqxy,iigslfkppe,-0.1655
dOg,wxxupwozsy,gahlhnqlct,qwdhvgcymo
mrsuufwvhc,ylytuvkeua,ioqzlppogc,CAt
208,-568,ghddtbszlj,0.317
-593,-969,-0.289,caT
yspncmvqpl,-0.4655,rmxudijbdd,-30
-394,-0.491,-0.3125,hpjoxxbsvb
DoG,dOg,-867,CaT
fjfposwbts,0.3875,Cat,jeozxdybac
cat,-144,gqbgzngqdx,aufacnaafl
-0.399,960,cAt,-0.2005
0.075,695,-6,0.1595
0.424,blyxjxsysb,vzfynpxtau,0.0375
602,290,0.108,dOg
645,doG,993,328
-0.4505,343,-0.095,vecbbseenm
