yeskquuapq,vaaeyjuwdp,yzmxyifrjt,wdksvolait,idsabgladf,nfwwhkbpwy
-0.389,tqiyoxfvbv,-0.272,-0.017,pobrbujnny,684
542,-0.3695,978,-0.093,DoG,-605
dog,vkoypahtmm,dtgkcbybfp,jsurtftrwb,lkdqgftkvh,-763
0.115,-0.006,-514,DOg,0.2605,0.4355
-497,-444,-349,dslmumveon,0.2595,ayrqpzsxnu
caT,0.219,-0.4185,zkbidemtsp,-33,cat
gzowvipaoa,dOG,0.2155,cAt,0.039,DoG
Cat,dog,-0.07,ujnudqadux,0.096,974
ydfvnybwin,fszopzbhdc,0.029,zazzolqvzk,-836,663
-942,hiscpaofuy,-0.2795,Dog,Dog,flmcpuxzhi
dOG,nhqafmdric,vsnvtjupgt,0.352,-272,-0.121
DOg,cat,8,-994,0.367,ujczpeiuug
muqxgsoizz,Dog,itzaiwpzmx,CAt,0.1425,0.1535
DOG,-0.157,0.206,lhaazujquy,-0.116,-968
224,cAT,CAt,-0.084,cAT,-115
nmzxpzgrlo,cAT,-0.267,deeotkmdxz,502,641
471,-837,npfraaoqds,-0.361,226,0.2645
-742,DoG,0.4935,0.3685,-0.3695,cat
sktmkrxcai,-0.364,DOG,-0.3745,dOg,dOg
0.1185,isnwblmeau,qztrpuyrmv,cAT,-0.216,-0.0535
-654,0.3235,925,-0.0585,DOG,366
0.4325,489,0.08,cAt,doG,wchkmzwcwi
-96,-0.1035,DoG,948,0.478,doG
0.065,wwfbtsdnoc,bfaqaoqlpn,dog,acvylhpjdo,CAt
0.468,-40,-0.34,plpwtwxjhv,929,426
0.458,0.3485,903,bvceyzrmcz,0.3835,sjdiykeurc
-0.2865,0.484,0.3905,0.355,bkncrbutve,yygvhwovft
DOg,onlqsywgsu,518,hnxuaauiqw,caT,441
-53,ltqnphafbj,0.3315,-285,646,-0.0295
cAT,dktqkofvxn,-244,-0.0065,cqtjjugjsh,wsrmnaeptv
0.474,-713,0.441,-190,-0.2195,625
-0.463,doG,0.2455,DOg,cAt,134
-861,822,rlqmcctfon,ezhbzcxcwf,CAT,CAT
0.2475,hkzmsuatfg,904,0.018,-767,cAt
qndrsiszfc,cvjzccbidh,viihijwjno,-75,jglvyxhpjo,441
0.3505,cat,qjxcclyyuy,akguhybzbn,0.4635,pvgprtanmm
-363,Cat,-847,-0.4465,dxbdyjztbo,-0.093
795,214,omtgavouun,CAt,dzwmtkhxus,0.1365
DOG,0.382,0.059,sgarfqwftc,woxlwkkjvw,dOG
-524,kcqqjfykpn,ydsprbmuoy,789,-139,129
CaT,-0.498,-889,iaoxdcknwb,awjssaznwr,vrkqganjgj
-0.4995,egdffbkflv,-0.483,0.156,hiulywdqqd,cAT
cAT,0.0835,jknsggapjl,iawthqjaip,0.12,zgmvfkbusg
mofiogkmkq,byifvlsjkl,270,CAt,69,0.211
-0.4445,-619,0.019,CAT,-1,brvdgbgqus
