xmxcfpewdh,PEt,cmaotsptgz,fqcdimcoca,zhblobtfhr,pmsbczvxyd
hvmdwnwouc,DoG,rwvuomlnjn,-0.173,-0.429,dOG
ysxhpgrdbo,DOG,-171,458,0.005,bwuhzbywjl
462,699,-644,-962,-472,750
-252,-0.217,-336,doG,cAT,xpkyvdbpik
CAt,0.3565,0.1905,sqcnzbpdld,doG,0.1325
298,cat,-885,266,111,-0.4895
982,cAT,267,585,kxoaoqysez,ppoowtewua
0.277,DOg,CaT,-0.3195,-850,-930
-0.039,dOg,0.2595,-0.0815,ucoransliq,CaT
0.479,DoG,0.2975,-47,399,nipphsbqky
167,-538,meehgzvyab,-88,cAt,-0.029
538,dog,dog,jqyvtpvzzl,tmknwdrzjd,0.376
dOg,CAT,xhjeymkkuq,DOG,bhlwpoyqzl,0.392
cat,221,859,-16,adhverwwee,775
454,dkhpfhyfvu,-0.1735,bmxbhneymw,-0.268,DOg
qqvqzeiqki,caT,dOG,-0.361,ykmksedefr,705
juxtdumgph,cAt,512,994,zyrgtlnkod,-0.0525
0.3245,dOG,25,544,cAt,DOG
-0.2715,mwcyawkqya,attlhclzjt,704,-0.3365,110
ctfnshjgig,dOG,-0.1365,35,doG,epermpyvic
qlywykslko,DoG,dOg,-55,-0.3015,494
-868,upjvqhfwtt,mrehosgwbc,dOG,-0.3835,0.177
-0.322,cAt,Cat,dog,-0.4145,0.3205
-255,0.335,-0.111,-0.193,irzrsbvhlb,wycajjurab
-892,cAT,0.1725,0.0995,-0.2185,263
dog,312,gphlshcmnk,-127,-0.2505,CAt
-932,-0.3585,-36,Cat,guhpludqwn,0.2605
-891,DOg,488,DoG,dwaozpjaeu,0.3935
CAT,0.275,-0.086,0.1155,1,dOg
-347,517,0.383,-802,-281,wqiydjcphn
-0.353,dOG,0.466,-121,zvgehxpxox,-850
-725,cAT,CaT,dmoqpnngzr,0.254,-979
cfmmmrcfjw,Dog,skrnvapsfv,298,-0.455,jlsopwclhk
xwgahaltoq,doG,mhggomzjje,0.2555,azjehnwwle,rhjtmrrizl
0.2005,caT,-854,-0.4045,zluaviljha,-579
doG,CAt,DOG,390,-846,0.2565
-829,0.2545,tpcfupppdx,-654,ldeopskosd,0.3685
hruggvtjbi,0.473,0.27,molxxvnxfe,0.0655,-0.01
clcmykdhjk,dOg,-0.089,-56,867,dsyozjeprl
doG,CaT,0.143,vzdoubgdkb,-825,0.48
fslvcnklkr,cAt,cAt,-609,-726,-706
-470,qzpkhyjwjx,nhfgcoefcz,0.2065,0.2295,0.3845
-186,lvwmzydfck,CAt,-0.188,cAT,-174
caT,DOg,dOg,DOG,zpmyhhwtst,dOg
mggiwkbina,maobgopyct,0.321,rqzlmypajy,931,wxffqdibhv
bjapxvfqcm,cAT,fgtwwcovug,DOg,cat,-787
bfgldkjhth,CAt,DOG,whtqjuplnb,79,piwtvmdmth
0.112,DOg,-0.4685,doG,wvveunxylc,grzngetlhr
0.0905,-138,-723,uodppfeaua,-924,bcloaklwlm
0.13,DoG,374,-0.205,whcndrxrpq,177
-542,474,0.153,-0.396,-563,0.403
-0.064,cAt,0.178,-102,-72,0.1765
0.0805,CAt,762,0.4845,bfqgcxqkjj,-0.4605
-705,dog,-0.3155,grryztnlfy,fyncoqyrbn,-0.303
DOG,-767,cxhzcsairl,0.05,zxghkdwoml,804
800,-217,joktqihczq,vynekkxcku,CaT,DOG
758,CAT,-0.454,-787,Cat,-801
204,aypdirgyli,-0.338,611,-0.0225,-0.065
835,cAT,-0.104,0.0425,-0.214,-993
Dog,Cat,-866,-731,ulvzchzmub,xcyturvlmi
etqevddcbo,cAt,-0.259,-0.271,cat,dOG
847,DoG,-0.349,-818,oxwpgnpbmr,-72
ruumymrfzn,CAT,deobclvevz,588,150,-0.009
dnawgktdrn,cAt,-241,-0.3455,-0.4995,-385
-786,Cat,pzglkbsbid,doG,ghuaetzzlj,utkyvbriho
wyowbvcqqj,dOG,0.042,wswqqxipih,-0.4435,aehezwdifo
CaT,CaT,beyxhryknp,chdyqdfdui,yrvoqyicdb,910
DoG,DOg,295,-0.4195,pfqlbnjyya,216
115,dOg,dog,yipgoxwgqf,vtzcuiahmo,-961
0.301,0.1505,-0.0425,0.447,cat,enupxosgef
0.056,dog,590,agdpoxfdbw,mtjdoyxguw,-0.222
dOG,DoG,0.3955,utykzpftvg,-0.2295,-69
dOg,-627,cfwrjleiya,0.1735,984,CAt
0.2825,Dog,-469,152,-0.45,-0.4585
zcriqlppor,-920,Dog,-503,920,lshmbtizli
ploligkhct,caT,-257,825,-0.317,doG
0.4175,CaT,sbwevohgbw,cAT,sggphfwpkv,-0.378
kjaogdyrev,guwfafemdw,-0.237,enjdwackwf,0.1745,dhuqotdouh
jvylgnuloa,Dog,-135,-188,-0.3515,0.279
-0.479,0.0895,wkiczehzmo,343,dtbtbvidcx,0.197
lygshxhzve,DOg,405,-280,0.3435,0.1755
doG,caT,Dog,-0.002,0.498,cddwbmylkd
Cat,caT,0.2215,-357,277,-0.155
-656,wqsgxiiwzx,-0.33,gkssfvahcu,-0.308,wvjubkohkp
cobybaxzfu,-0.2815,-745,-425,-0.451,wkiedzonwk
