nbwfkerulw,ctbabtyvpe,ngamyiftga,rgqndxrhcw,imjonhspla,xckglpbpvu
-0.189,etmnievphz,lrwyggphxe,dOG,cAt,dOg
0.2545,ykfhidiwqp,bthxzucxqf,CaT,-903,-0.161
-0.16,rktnipvrlb,isboiiaimc,-0.077,938,0.2625
pwtoyaxcxx,rvnopeydxk,0.44,puufaffxxi,-208,-0.115
cat,-81,CaT,tijdhoyfkt,dOG,-184
551,cat,-0.386,CAT,204,0.0795
zywuegmmto,doG,0.1085,-181,hqfxqiqhcd,671
dogddeqylt,0.1295,194,ylqjqgluvf,-578,Cat
vuibafugzc,dzqnuokedu,dog,CaT,CAT,gkuswceosj
oudljmcssr,zajshokqqz,llhsnroubv,869,-0.2385,spklqerwir
-0.418,hmfrakmuoo,rkvzjanhet,buahkzkily,-921,ltrhyllfxu
-0.0665,hscrbfmrui,bhlcvpnuow,0.304,-646,210
bbjkfoomkk,qonkyseilq,pswjvdwxch,-306,157,-540
rfedlmloxi,CaT,-587,-483,dOg,608
-324,213,-0.218,-893,zojgkuzhve,vwvycvkisu
ireactlwmy,0.2385,583,0.394,lnjrseltie,DoG
-0.457,0.148,CaT,cAT,-0.346,jzasycrxee
dog,lloqkrccye,utlltvtked,0.2605,imhkwagsda,glxcmewapy
925,0.02,dog,0.1165,Cat,jykrtigepb
zejlxfqthf,-944,yrdeksazvj,ihsuqqozvz,dOG,-0.0535
-14,-0.1545,-92,-0.077,DoG,-0.3515
-0.3565,-0.4885,euwlicpbkf,-0.254,byxfznrixc,0.16
xvyjuhcxzb,0.113,627,vgqijdnxft,rsxusjemls,anrawirttt
-537,-0.2235,-293,perpoqwsqb,0.281,goldifcwez
vdpcguycpn,-15,0.046,cat,-0.0615,igzhioyuco
-545,dwzowcefbq,-0.142,-167,bccrickuxh,556
-973,-874,eoeiwbrpkf,-0.169,-722,jwkdpecihx
-0.155,768,zjtvmtshfx,-809,DOg,-801
0.2935,hrlqvfvsld,661,-142,-344,915
klcmcwynvl,685,-545,486,-0.4285,CAt
dOG,qypbyfupze,-213,85,0.0035,-0.0065
0.145,pxnthdjupn,-0.311,egeuzzzqun,0.4585,dOG
-896,0.3405,DOG,kwbvcmmoaa,iltaajtpep,dungwtafbx
638,651,lpijfzaplm,0.1485,-0.292,pwtikbatpv
121,pbtoiohfsp,-0.4905,0.0225,-786,cAT
-0.4235,-454,dOg,srviphpsux,0.485,0.3105
391,dtfbyynrib,557,859,gsmadprnoj,0.118
pipjvcxokd,-0.364,69,DoG,-276,Dog
ymnqozptvc,-569,kqfcjddbab,0.0965,0.0405,0.115
136,-593,-0.383,doG,0.259,otnrupettx
-0.4685,0.291,Cat,401,nselydyyfh,-653
-0.028,Cat,CAt,caT,-0.207,tvjmzqfwyi
0.3425,-0.4865,-0.2655,993,0.1495,dOG
