krqvcestrk,yssddgnzfj,hizqflpzdi,oawsqicdng,zhrkznxdzs,fcsaojzdkr,txylnxkzgd
hhimoxnqix,-0.0645,-0.2695,-0.285,-572,-0.1265,0.3325
-0.2235,cAt,jmieziytvh,0.367,vqvzgibgbn,0.0865,-955
-0.4115,lkdbaipfbm,-860,hjgwslsqin,138,0.232,939
0.1235,591,0.301,-0.369,859,-0.3465,cAT
doG,0.2805,837,DOg,CAt,-0.358,729
Cat,rnswagfnyi,nayguqdwza,0.286,dpanaacpmp,doG,-3
vokugrwsep,cAt,atzbtkqzdp,izeaffsafj,355,erqagmirlp,0.352
DoG,0.068,-825,242,ommwxochfv,ofwrdrsjyt,169
-865,671,caT,CAt,34,dOg,cAT
-0.1845,941,-839,-0.014,-127,865,fkdvgytkbn
hnofughfpu,0.082,DoG,142,luuilweakn,dOg,-997
-751,agrcfvgixp,DOG,foinqwlqtj,431,0.151,0.352
bqzpysymcx,fugrauwojf,0.487,CAT,-0.2295,dog,938
dOG,933,-0.3765,-577,-0.0385,0.003,-476
Dog,982,-0.3545,0.326,zeppsdgtqo,cAT,0.175
0.2905,rrrbvyrlnl,-524,-0.329,-0.3335,dOg,-0.166
-325,753,-0.167,570,576,-508,cnheduqmho
CAt,lrbkyqazlr,-0.382,kfjlqzhjvw,CAt,-973,uvrvkpgnbp
-999,0.4965,dog,425,0.4035,bynxvwfett,996
-0.1305,-0.146,dOG,dOG,-843,dOg,647
-795,dOG,19,-0.353,-0.1005,-0.2835,doG
818,-35,383,-0.289,-812,cAT,-0.035
CAT,-0.078,vjmgvtixyw,0.0535,CAT,-0.3155,0.265
-883,icabvwybin,caT,-0.4185,-0.1625,-0.025,DOG
kfuzgjahzk,420,kipzbwsjmm,qlhrdtkhrd,0.1015,mxpvhhuqzp,cAT
86,-924,-0.169,kpuurgwkvg,fhkpqsxlxx,-0.3375,-0.455
-0.0065,yvdavvolic,18,axrfrnpbev,uepdltgoas,-284,dog
211,-0.3925,smfppmwgps,-411,dOG,-200,hrhgouiqnq
nyqumhfkrw,-0.497,7,0.154,kyfyqukpdp,dOg,47
0.0705,0.3925,0.308,dOG,yhqvotzken,doG,0.1405
qshpmkgfnk,DoG,-447,cAT,sallmleyxm,oowlndmgfq,wstksbmhrf
DOg,-0.2195,0.0535,kfnelkmliw,-401,wpgburovmw,0.0575
yflmoaictt,751,yjpfslwmgc,kidqlqloor,-939,0.0755,Cat
-0.3055,462,-0.345,0.4335,ivrmlyuaeh,0.285,ewpthspbmu
89,gdfsguvcvg,674,hjxfaucflp,-0.037,0.164,-0.18
yhxzketbpz,sbrtwoaaay,dgbhcyfjrl,0.272,pegkboffpg,cuaxrtzntp,820
temvasjlip,842,492,0.113,-0.386,Cat,0.4835
-196,DoG,mimvihubin,-0.075,xtvldpdqel,pmmdrbdkqk,CaT
346,dOg,ufjvgjeeni,dOg,doG,0.195,imhdbwuiqt
pacbqzcnly,wxzexddhmz,0.3745,-0.1285,0.255,-0.0715,-0.463
