vbgrrdlnqw,ynbpniusoj,njnimfbdsk,uawhfdqxea,sjtzdqtdmm
259,halworttwh,ydvphgodhh,nqpfpzoaba,CAt
0.2085,-332,wsqrfhppqy,qnljpteire,gmjjxiqrkt
cfwiahpahg,-558,0.039,517,qvntnalshr
0.4565,0.0225,dnzifgdftc,0.0015,-147
DOg,0.255,-152,-0.0245,hkhlaoxexk
0.328,doG,809,cAt,Cat
-526,-0.128,-264,CAt,qqqyfcjwlv
672,-0.2845,0.456,-0.4445,bucmjywltn
-0.03,0.2185,DOg,CAt,535
0.171,DoG,0.306,0.496,-0.0265
ljgzpuzgqo,-0.3325,865,jdbdagbxdi,0.061
-0.455,xhkuympmwd,cat,699,0.426
-853,goazxeuzwm,79,ckcakfwgfr,lvrapyzzhd
ykwbcpsqub,-0.025,DOg,0.3435,ferwxthegh
auqcwvsmwf,ailckuufde,oekfrbgkia,msrkmgxaax,0.0795
727,qwbggzrnoa,-143,492,-203
-259,-0.3965,whzmfhcowe,cAT,67
beziutxvoa,0.34,qbktbjpbhu,0.338,852
eniiiknzlx,cat,dOg,0.446,ttxhqquaef
ztttbdlnoj,-0.101,DOG,dog,kfjvvvhdgg
krasrbazgz,0.2635,cfgpngtoxk,doG,Dog
DoG,831,xabtffwatl,plhqikcjpy,0.2495
zvlvijjuxr,ovexkiwnzy,0.295,-25,CAt
bprulqmfgy,mjwnxondzt,hshxwblblp,808,-343
cdinuozame,-0.179,0.228,0.1895,jdioxwrxol
0.136,kydviunefu,-0.4265,itewmyoqdi,-577
vipxibeufz,-0.459,852,plbstwxdqb,CaT
0.2125,zkzvbprklr,dOG,-0.2215,-0.228
DOg,kipgghbine,qchwxbqivy,0.4215,dOG
zkgduhryou,zuiwbnprqe,dOG,-0.332,omfujdebxy
113,djismbqgcf,-26,0.0175,0.3585
-0.118,-0.266,-0.3045,0.057,-468
cat,fvgpzrqbck,0.293,CAT,-0.44
lysaudqztw,-0.243,-802,2,cAt
0.125,-0.189,cvtcxiagkv,xlalyztmjz,0.0485
-926,DOG,CAt,-0.1345,jezbwjfwel
owozyrgsnp,cat,-873,Cat,mwmiuokgdk
-655,-0.497,cAt,0.1875,ppprkflgjm
-0.107,0.3615,-566,0.0795,uobwrqshpk
-0.339,-0.477,-0.0985,-622,ufgkvusgum
csaonansei,-60,0.414,-457,ncidiwluwz
-581,ulxestzlkg,Cat,-0.034,cat
-916,jfzufkvnhl,rexabpfhui,-0.3855,aaiaytzdag
dog,-0.3575,287,0.4125,xlmzumcdbv
-0.477,-728,290,-0.089,205
-0.281,DOG,0.073,dog,0.411
-2,0.3435,ilarhzpzbf,Cat,CaT
jaszmuvvpk,-0.1085,wcsilqtvrq,Dog,-0.1705
jsbhjxlsrp,dog,nfowuabgpx,CAT,-0.458
ctrvukexpo,-0.1565,-586,-0.119,-0.4725
355,0.0005,govxiipnbt,-610,-0.1605
ytqnpfpako,-444,0.13,fjpzssvgtk,zdyfmghvof
dbvzsoudye,-0.003,Dog,31,hmpsndfjus
zaxlicktsx,644,cat,-191,dOG
446,848,-0.211,dog,dOg
-452,cAT,caT,145,312
gjhjzrhdqq,-356,hxifaujqmz,69,dog
DoG,532,cat,DOG,Dog
wcfylqqpmn,cat,-287,-844,CAT
