pet,jvcvcfpdhv,evzpekjuom
caT,okgwnoszdm,-0.4985
dog,dOG,juuipwufgi
tzdfynjpqj,395,-0.222
CAt,caT,ubsbkwhfpq
DOg,ispckpahdu,ubkgcifijv
-0.278,qqmwqduojg,382
Dog,-0.141,utcurvqzdz
uorkuoryku,ywoywlobmy,ivqrbdzeih
cAT,-0.163,0.481
bzbcdnfocn,-61,-70
DOG,0.476,99
ziuhcwqcwa,cAT,DOG
DOG,pmdprtrmca,fjmquenodb
-985,-195,-825
cAt,ayfdvzasrk,caT
dOg,Dog,-0.063
-838,-0.243,-0.494
caT,431,915
doG,-0.0575,0.392
mrqffswjnv,CaT,-0.2775
Dog,0.108,-485
0.1785,648,761
doG,pgawleuoal,Cat
-0.2665,caT,doG
CaT,xgsoqukyzn,udisjtfdgy
CAt,794,luarxxyenw
doG,648,0.478
cat,-775,-299
dOG,oyfdusujjy,oqinqtopel
CaT,0.217,xqrlxkikzg
dOg,772,0.3875
dog,cAt,641
taoomypkxf,Dog,179
CAt,-0.161,kpptzkjbrp
dOg,-150,0.2505
DOG,759,-0.3425
caT,cAt,CAt
dOG,0.232,373
CAT,0.4025,0.44
lqamxcmbjj,124,589
rvuqwffcex,-0.3365,rvcqjsegsk
CAt,nnpxnmnbfe,-550
oxeeskxshl,-0.4905,0.2195
CAt,Dog,CaT
-303,-760,kljpydazun
cAT,btzgfbdvwm,0.079
cAt,0.3115,fqyjtpstkw
pztwytnzme,502,304
xgxtxmmonn,-0.393,kfxcraekxi
DOG,cAt,-510
cat,0.001,499
Cat,269,-0.089
dog,-303,doG
cat,-919,yoijvnkeae
cAt,-0.3435,-428
hlzvuzrokp,-631,xpukxsjjvk
DOG,CAt,-365
dog,DOG,DOG
dOG,-830,405
dOG,0.1785,snadvxsten
DOg,-0.0335,umrzoqagho
dOG,zppczgyweg,wqtqpqtbpx
DoG,-0.2815,cAT
bydzzujfvo,895,dOG
ryuomxlrll,-0.2195,880
Cat,DOG,-0.355
CAT,rsmecuzfod,cwsfxnzqjz
559,415,qmystmjkpy
Cat,dOg,djqvdjbhgr
cAT,CAt,wokfjykoza
dOg,906,-0.4825
0.317,-0.4295,xfyoedmope
dOG,qbntezciot,0.244
DoG,-522,DOg
caT,gmpblvbrio,-0.1515
cat,-0.222,-349
CAT,-0.3385,icraafkrwf
Dog,0.3715,1000
cAT,546,0.232
Cat,-377,0.2595
Cat,-0.363,-0.3415
CAt,dOg,CaT
pkwvcnsmwj,-129,-418
