lllcyenunv,hrvisdshyt,esmhamjzcp,nigekpmzen,cphtymwkbj
cbyjamhosw,bewtiqrjov,dcpwaslydr,yfgekrepcc,dOG
CAT,528,cAt,-0.4285,heotnhbyja
50,tompukoymq,-0.19,0.4555,CaT
-0.207,-438,-0.273,647,-0.25
35,cAT,832,CAT,0.3425
-0.192,xwtdgnfxae,dog,385,eswcvrlxgd
5,-732,cAT,-0.065,doG
ivupkxeoqh,qobebgifvg,lomzqblewx,0.1675,620
zbcshpjfhr,0.064,cat,aouohgmdvp,586
558,fospxqasep,Dog,0.341,541
0.265,0.42,DOG,-240,0.417
CaT,cwedxtawky,glljdcbfie,mixjrjqxyp,htglusmqfz
-161,630,hqfpslxdax,0.3915,-840
-546,0.1235,pcoxxeunim,caT,-0.0865
-0.4175,-0.3755,ajafqnaboj,538,-0.0365
148,0.016,jipqoqnnie,nelegotqhv,-0.0185
dggifrlblm,-73,617,albuynmpld,846
949,wvhyahynbp,rnynhqqegu,0.2375,ademcoqkya
798,-544,cAT,-303,jbyqafswlp
-709,caT,pzejfaafru,caT,-820
recrpkuqgt,eciduezbox,-106,CAT,aiozdbydlp
0.3545,CaT,-556,gfzjataddy,0.245
-913,-0.392,gofvozomrx,-765,0.1685
-171,-472,mreomtyujr,-0.1285,msfpuyscrp
582,652,Cat,0.1025,417
fsuapancqd,CaT,308,451,bnzqbbnivl
-450,xrdlbvamyf,464,0.248,640
0.114,0.451,-0.134,-0.081,-470
212,976,-0.198,ojfnxfnuop,giahejiweq
-0.289,-0.294,622,0.256,qdhukylogp
980,CAt,-0.4265,672,0.221
elizxsaihb,kvnvvqghef,DoG,ptgmxrpgfs,CAt
rpmhrkdkuh,ivdmzuqfbb,139,989,163
kpdcarwicj,723,iaoqjswrhk,-9,janwztkyva
0.0325,jcnvifkvyv,-298,597,-0.3495
fxcjdpgumb,0.0305,cat,nqhjwqpkak,-0.186
0.0185,-0.256,-595,-0.0555,-0.0135
mhlzpnippa,-0.298,958,0.4775,buhohsehgt
-599,0.488,iokhevuvaq,840,204
0.122,ayfgczango,982,-0.113,-730
dOG,0.382,Dog,faudkoeuvt,-775
-0.0335,-0.0365,CaT,-0.007,zdmvprumfm
CaT,0.0465,-163,CaT,-940
-911,-242,-0.3645,505,bldewlfeaz
dog,-401,0.333,46,ogbygkhxxf
cpmqlyzxqn,nbjghcnybp,0.0755,457,0.1795
901,dog,-858,0.027,ppvlokgkqm
dOg,DoG,dOg,0.346,0.315
0.14,-0.122,popuallvnl,nezhaiifrs,gfcobluvfr
632,405,Dog,dog,ftlssvcbea
