gvbnwroamb,hsphtopuyg,vtvbxessla,pET,mnozcfsqxd,oxigucfxpr,ergsyghbej
-471,rwkdxitdyd,0.333,-334,dgntwcgifh,zolmcqkhxz,159
gnxrtyeiij,0.388,sbyhytttbc,CaT,vthlkssnbu,-699,-0.395
0.2735,xslyjbpafl,348,DOG,-0.171,-860,-570
-0.1875,qukgfrqrkh,644,caT,DoG,caT,kvozntmxlx
pnyeyishck,793,cat,Dog,CaT,-0.411,CAT
0.413,-285,0.166,Cat,mcnycwujbb,dOg,DOg
cAT,pyylhpipiy,0.433,CAT,-266,cpgojsbgzs,-229
qxocapvann,beouwpfnjb,cAT,Cat,-0.1855,kptwttdelv,mnggtvavfb
-637,18,-0.477,Dog,-251,411,rteixbqktl
330,CaT,eyyypcxakx,cAT,0.492,mejntnfdob,779
-80,933,urjsidaile,DOg,-0.025,jynqczqqmq,jcfhvapcif
dOG,CAT,-884,cat,508,0.1635,0.0735
392,vkjkkuksfr,wkrxqmkgrr,mkhbskdasc,-0.3895,0.485,-0.3625
0.3145,-534,-0.417,trjzbfzkxz,lautwbqcoy,uidwtzcnvv,459
-0.4545,-0.2375,mzuzrlvcbi,CaT,Cat,-0.3055,-0.3865
987,zvrpecvqsk,Dog,dog,-55,-0.307,nelhhohryb
DoG,Cat,940,DoG,401,-366,xrrtjhrniz
-887,gzxemfeehx,ntuubnlegv,dOg,cat,-867,-911
cat,15,CAT,CAT,CAt,-0.4595,hzaqqqotwe
CAt,0.271,cat,dog,-0.033,-314,doG
CaT,CaT,jyorsqviqr,DOg,pqyqjytgyj,115,glpinpznxh
elvjqolvxg,813,0.035,cAT,0.1575,cAt,-455
-932,0.091,Cat,-0.133,DoG,szdwugvrgd,-0.2275
0.1925,-0.0615,0.319,doG,kznncmjmst,cAt,winxuhutmy
pmqubmswso,wjqdhauiox,-0.2955,ulwtyoniuk,aryneujmzx,nxomyktgvk,-0.227
59,omffoskepi,tqgynrgdve,Dog,-818,-372,dOg
0.133,doG,joeahpfdkx,sumerbtvml,0.068,-191,DOG
doG,dOG,-0.1335,tunrgfylqs,-180,0.3545,-591
0.0035,-0.044,970,dOG,doG,920,-546
0.342,-0.0895,0.2125,DoG,cAt,292,CAT
-698,-0.15,221,caT,-0.4485,0.0445,0.244
695,-983,773,Cat,-0.269,0.266,-0.0375
770,0.1315,260,-291,zkdedflcil,631,-0.4655
cAt,mdfhkaiysy,caT,Dog,-541,0.251,-0.228
rnwzkozycb,cat,-0.3825,doG,lsmnnsrket,-572,-519
Cat,icaionibvi,936,snzkeeesyz,-568,ogjhrzazsi,cAT
ywroqwypgt,giosezsler,doG,Dog,ncngpexdgf,cat,dOg
-867,cAt,CAt,-423,-0.002,-787,dOG
dOg,-59,rfubccnhin,-355,4,lecxttpuyg,CaT
-898,bhbsmrjqga,522,dOG,-594,0.3665,solimajcol
-0.4225,hwbehhwvmz,caT,Cat,caT,-535,-493
-0.398,-0.4345,0.209,CaT,doG,ptcvartdgd,vhlutdufek
-927,0.4745,266,caT,dOG,485,Cat
medvvoabtq,614,-0.037,yzeebowqfs,720,cAT,0.2495
0.128,737,0.369,dog,-169,kzqmunuluv,819
dOg,-260,cat,dOg,DoG,0.3025,caT
dOG,cAT,0.209,383,diwlmurkju,-200,0.3515
fnwqlnsatu,-0.231,cat,DoG,CAt,caT,134
botuaxdtul,ocnpcdeyin,DoG,doG,qfisrmfysx,-133,-0.395
0.3105,0.4245,-0.0655,DOg,-0.2075,0.08,mojyksoeux
-0.0045,-0.026,cbplhckwhv,-424,722,739,dog
0.178,oxyklnthky,0.204,Dog,ywpjuiiqwm,0.4415,ppbxdmpxno
752,risqdhokwy,304,DOG,fnnfqcaeyw,0.3475,0.048
-322,DoG,-976,-0.26,CAT,gvqjqiqxmf,338
0.3315,caT,DOg,CAT,-547,0.443,emomnvfczi
0.2405,qmezrxrbst,-162,Dog,-901,-166,dpyrfiqqls
-0.4955,909,189,-0.2095,uecugobfeg,-0.4345,kjtlblpvrp
cydzeycruv,347,-679,DoG,-0.3855,gdqqqahpxl,cAT
-0.0815,smgqtrmwjv,dOg,CAT,tvxkdibnnq,-0.171,bupyjpwrhi
tdnxfiletd,-26,659,dOg,969,-0.4565,juponlbunz
cqrjdyomfx,jybgvwlcrt,DOG,0.1635,0.44,0.134,-436
-0.1135,zmtbnkmdkg,0.425,CAt,awxciowxwb,-792,ujmtdntdxv
0.227,-706,-0.239,DOg,0.082,nkqdpopjgj,0.4625
CAt,-0.009,mkmezqkfqc,cAt,-620,cAT,CaT
395,-0.091,eeeiljfqgx,Cat,32,zurpnqlmhg,0.1745
495,cAt,-488,dOG,739,-0.496,DOg
0.2035,szrgfdtoqi,-928,doG,-537,0.468,muyhokgepf
-743,-0.3425,-0.2995,bfcwogbukg,legkptfsax,173,-0.3035
obsafglfgk,0.1825,885,287,487,doG,-0.4775
0.118,-537,0.3015,Dog,fzymmmyodo,xxqmfxokyk,lmodutjhgw
-0.3595,100,cbhcrswyuu,530,wbqnrvofcb,doG,436
-528,884,-0.3685,DOg,jszmefxxcb,0.3055,0.065
-0.124,-0.0345,CAt,dog,nvpffoiswt,447,rmdrvrfkmh
