iqryrtqzkv,PEt,emiwnqdfex
-0.0795,dOg,nnkkzxvnnr
-673,DOg,aobjnrqpxn
75,caT,Dog
zmdncocwfj,cAT,rbbpycjnzn
574,CAt,enhnhwscel
0.302,CAt,DOg
-13,mmhhkxzmlw,-0.2985
-0.196,DOG,89
-0.4975,CAT,198
-0.2475,dog,258
137,CAT,0.492
0.1105,eobtnuyvan,-270
DOg,13,yhlnlkmonq
-0.213,cat,dog
imnztilrbo,CAT,-0.354
-0.1835,Cat,284
cwcwccdwsk,dOG,-0.458
-0.0805,cAT,srmocidotq
0.1235,-0.249,gunflfyaqb
285,DOg,geoqpirhfw
206,-610,juycrayigj
DOg,cat,0.245
Cat,caT,ogjipizuoh
giyiqmvqpg,-0.301,-0.3445
0.2355,CaT,Cat
Cat,CAt,ikqzyoxsfp
-343,DOG,kbexnxezip
-259,dOG,cat
-0.1655,cAT,doG
wfxjkvgvvu,cAt,-761
0.129,mpagqlremg,-0.4975
Dog,Dog,-0.45
tlzazuwapq,Dog,-0.0075
auieiszckw,dOG,qnlbueofwd
cAt,DOg,opyvjfcuch
hajmdctbqx,dOg,849
-0.4075,DOG,abjchpsrgw
Cat,409,btwaoluxpe
DOg,dOG,-0.3425
760,dog,rzhutwnyew
151,Cat,vzjydywxoe
119,caT,knesjdrnxm
-862,CAT,-926
tfcgsfshbq,dOg,0.003
cAt,Cat,cAt
CaT,dog,xhyqpulkey
0.2355,CAt,mransmlped
-798,DOg,829
wqokorwytv,dOg,-346
fifpqekwnx,938,cAT
-864,dOg,dOg
921,dog,rqogyguati
211,DOg,xddkfakefd
-394,caT,-334
cpsvfggflf,qgaunifhqr,580
0.0305,-0.1635,708
903,caT,0.4305
0.473,Dog,974
qhszbhwvfw,doG,-451
