bjjrzhwrpp,hzlalrqkqg,olxkpxdxnv
rfagjmihbl,nxijrdmgnz,-398
-333,-0.098,195
0.1285,CAT,0.1815
339,0.3675,evxfsbrubh
-0.047,560,gjmdsvozlk
0.065,0.1255,190
-514,vixmkqgzvr,doG
DOg,-290,ujowshewmu
sshxxwkxgi,jxubisuetp,965
-0.203,DOg,rmyljzrogu
dddmsfwqvj,ydvpojnhnf,egmpznkquu
-911,cat,mwlpzlaxnh
-0.483,oswbejtdzm,dog
cat,vmrkgmjakh,flnsagfffp
cnvyzbtysv,jjszfnnprv,0.4565
-160,DOg,gcnpxhqboy
hmaufptwbv,sffumosbny,0.095
mnwpbcwmbo,fxkrfvatjy,yuqadjdwyf
89,fqyybsgchs,doG
533,-0.182,oyztlleqpk
879,-0.3745,dog
-234,-888,kfkzerodej
