vxpzbfanst,szckuojpho,vegygifywl,psixpxsvvh,hgcxevfusv,PeT
-358,0.2945,-485,iqfcfpjnkf,0.446,-0.2645
480,-957,-0.498,dOG,0.1275,dOG
doG,fgweppeatm,395,qalivnesaw,pmbcrkjfku,-413
0.4985,aqloozvzew,DoG,fwipiztkcr,vqceyzjqvo,Dog
iornpaaxyv,-0.1025,cAt,caT,Cat,doG
uhgsxrsbrv,dOg,-0.483,0.0845,caT,cAt
792,eqqcrldwhk,DoG,-861,adnzyffyiw,CAT
qglxpkdygl,hprdnwdfvt,dog,575,-0.1515,DOG
cAT,ctnqdykpoo,324,-0.1255,mzqwwqbzml,Dog
xzkcfgwtgj,caT,0.426,-0.02,700,cAt
Cat,414,caT,cAt,-854,CaT
cspcoqhdth,97,-584,-0.114,0.421,cAt
0.002,0.0175,pqtyrpepnj,dOG,-0.241,Cat
0.1725,0.382,-777,tmbzhueaqx,0.4185,doG
0.1355,547,CAt,758,-0.07,Cat
0.1385,-0.0385,262,0.3405,Cat,CAt
-228,zhvdaytjsp,prhyibtczy,-905,fhtmidivdd,-0.3125
xkborqevpa,280,773,jvydibkzvf,xxxmoasxzr,cAT
0.071,-0.1885,-0.061,286,-651,640
35,-0.23,ossckblwzk,798,gnbcckfvrd,DOg
DOg,bvvwuswkhr,811,-0.491,shxsppwcsf,dOg
DoG,59,bfgibaegeo,-0.31,dog,DOg
khdcpfgmib,-377,CAt,-0.4,cryvrosgsr,0.2915
0.478,dOG,-781,71,yramgxwptt,0.464
swhmagbhug,-714,-893,-0.4495,-809,dOg
-0.392,0.0835,0.244,197,CaT,cAT
Cat,xmjunsilpv,-0.403,abipsypiei,-138,-0.347
-79,zclhrpxtrw,ngkfjivecn,-0.115,CAT,DoG
DOG,Cat,Dog,341,-315,dog
347,hdcklawbdb,cAt,0.183,-0.3085,892
nouujtmqpo,0.309,rixifyokoi,0.0735,mlxaxipyiy,caT
caT,wqzqclfjqr,-813,-207,0.3285,Cat
-0.0405,doG,Cat,wbnkgxccax,693,dOg
doG,-479,0.3855,-0.14,-373,CAT
dOG,-0.363,wrmvvhxhev,336,xhuysfbnpj,Cat
-0.0275,kxcsrnuztx,296,qemxxookqf,-0.1315,DOg
oznxcbntfy,-0.286,-0.005,-310,yzzyswcqvg,DOG
-0.059,-836,dog,554,0.357,doG
-0.3725,148,401,0.063,DoG,caT
cat,-622,pcusuawntr,sbxnfnefsf,Cat,cvjeziopgb
-572,rrjyfrochj,904,-868,-369,-886
hnlcraiyeb,0.035,grmnyjqkit,457,0.0305,CAT
CAt,826,-0.0015,995,caT,0.264
wfsxxotfkm,261,tpipkoyzkj,-372,-539,caT
CAT,0.458,svttpmqzrr,cAT,0.323,CAt
-232,vhtgnxqthk,-0.4495,0.023,-0.364,Cat
drnfbphhzh,-509,294,wjtzpobqgz,xizntusgxv,cat
-0.0765,cAT,patzdjlxxe,-510,dOG,-0.252
-0.058,0.1055,DOG,-922,cAt,DOg
529,fzwmycpwyg,0.1765,ttknnbxfpx,fjgycekvwe,-744
caT,-298,0.019,-842,cat,Cat
0.0945,-28,cAt,bonlxowkgr,-423,tcjoahwqda
-0.0545,-186,dOg,-694,Cat,ctyhaurskp
gdqsdyaaeh,-0.2215,-820,-0.2465,0.489,caT
116,674,-877,coqurdjmdw,amnkpzzxdw,cAt
0.19,ttzuubtsaz,vqzbbjnevq,0.064,-0.4225,CAT
206,loxvqfbkjo,0.419,DOG,-0.094,doG
iqkhfpbuqw,cAT,pyraqbgahj,526,cjcwrcbcbk,CAT
-250,845,edfbitfwsi,rdrnkndhcp,etqgdsbvef,cAt
-86,542,mwewktmwma,492,-0.452,DoG
aohwpkvtck,dOG,-890,-965,CAT,cat
vqerzirphf,371,-0.22,404,-0.4645,cat
122,pzjknurtpx,doG,htudajdxfu,Cat,-0.413
-668,-652,962,0.191,-0.161,yawlitoxbi
984,gwhzclfnpz,Cat,vuqmhxoggf,-0.2345,jxyvusiivl
-0.415,ksorpbbojc,321,0.0215,DOg,Cat
-0.202,763,991,hyhtwpkijx,718,DOg
lparoqspnn,uccicdjjak,-0.293,-493,0.2325,dog
-730,886,dOG,DOg,binchejwum,sxxnkvtavk
dpciouzqdu,-0.365,DOG,pzpdvqpjmq,yqdseofqvg,dog
dOg,jcyewmwgum,0.164,0.1415,-0.4425,DoG
-0.412,0.171,-351,baugroazqt,209,biftoniuag
870,agtrplrthd,-0.0695,dOg,-629,CAt
0.4015,0.2455,msrejvsfcx,978,sikfiyzkzx,CAt
cat,DOG,-0.0595,gdxwqpjzid,0.4275,cAt
kjusqhftee,-83,0.0945,dOg,dog,cat
qaxsabuadz,ywibpmzaxq,yeggvqqfxd,-0.3145,cat,dog
-617,-0.2675,-0.462,pessxbeumc,yfbvaxsmgh,-656
doG,-607,Dog,DOG,DoG,0.2725
lojylsmiey,doG,tdawpaduan,paqoofuzhf,-0.2055,dog
-0.079,-0.3725,0.1695,quppstwlao,-0.199,-83
emtjverbmm,0.0785,pqdoqwnnqu,whezufibiz,CAt,CAT
193,380,caT,0.496,xmisawxbys,CAT
0.2575,bqjpiwfbch,-0.2175,ekwtrcpgal,qmomgrcwlp,DOg
-110,399,672,-989,agzqbwjipw,cAT
ewxmlwezxf,cAt,axojrwrxhu,dOG,tvogrxnbow,-970
-724,459,ubuaifymnl,osgxlfcbnr,0.2205,dOG
gdcnbpykkh,jvqilhafie,wggbpuldae,dOg,tiodcmaetn,DOG
0.106,kpsampnbby,ehwrelrnjv,-676,rvswfxbrpp,uxsjlmukaz
srjiitgvsh,nreescgoqi,dog,280,0.271,DOG
-680,ewiovmmnqc,DoG,135,yioejutrwn,-0.251
CAT,iyowbvdgia,jkkcbghrnq,-406,wsiocwedqz,dOG
-598,uippnqenfs,kqdgqpdxwh,-795,DoG,DoG
gjpcznjaob,cAt,0.132,-896,-0.0725,dOg
cat,-0.1335,CaT,-0.2155,533,wqjijwjvig
