ilhjxlferb,yqdviieiro,qmoigzindf,yjbpnfurgw,zluiskbaut,fjaovhuovq,PEt
ondxzqpbsh,0.337,-0.452,-136,DoG,Cat,CaT
-0.327,812,0.419,oavxaoaeee,srrputupua,117,-0.489
jpisrkfaya,-0.329,cat,zfzurmhohu,qygwhqpork,doG,DOg
xijyackerd,746,-0.0205,-0.143,caT,dOg,dog
mdgwsjfbbd,486,-722,-933,rkfnqdjutf,DOg,cAt
caT,0.1695,cAT,540,249,fhjutwmxft,Dog
111,dog,DOg,554,-0.296,DOg,DoG
mazccfjwiz,doG,0.1375,0.354,0.32,ynculjoavb,wrvjskffpu
-566,-1,CaT,80,CaT,hekclcxngq,DOG
dOg,-0.071,0.373,0.166,doG,fjbzkqlcdh,CAT
zqmzoesvta,Cat,-78,mqfvypazeu,CaT,CAT,DOg
624,-0.3265,iijpvjftdj,178,-0.375,Dog,0.0085
134,doG,794,nkxhizvtja,122,-835,-439
-260,0.1745,gaoxhphyxd,-686,-0.0115,DoG,dOg
-0.167,axuchehqus,-0.085,-0.416,-222,930,dOg
CaT,-46,0.3325,Dog,-0.282,-317,cAt
aeunaokdai,-447,myrxjlvmgv,-0.4915,519,bwshdupded,dOg
-601,853,-924,icqafdchxn,127,63,CaT
ffcwlmsyja,cat,0.283,327,CAT,-527,tekpuiywai
CaT,551,DOG,-611,cybucleiwr,vsnxrlhpnh,doG
-0.214,-283,-354,DOg,yqjkrkqeja,-304,CAt
-998,0.2705,metmkexmrl,zzkglfosjm,0.002,dwnsjsnlfa,705
-0.0565,0.436,476,962,cAT,wlfshhpcvf,dog
0.288,skotsmicii,-0.283,CAT,dog,153,0.0725
-517,tecouewtcb,-0.089,dOg,846,CAT,cAt
jvmqmxdwwu,awhzdcixdt,0.1055,0.364,yopnjgemcm,-257,doG
-0.3425,-831,lcotbxfjtg,824,-18,xarswihjvw,-755
iomngdnxbi,-559,CaT,doG,0.1865,DoG,-293
164,-19,cAt,403,-956,0.2965,0.0475
cat,836,dpnihcnpdi,39,-0.1715,ugvvypziuy,dOG
-450,295,caT,bqvaumxcvs,484,-0.495,dOg
0.478,-0.112,-0.2055,0.3385,-252,500,0.342
dOG,0.066,Cat,qwudjtkzcp,0.2455,0.079,wivtipbzoa
yjhucxdqqn,mpzxyqsuez,-0.03,0.0395,525,-810,193
ohaieojuhj,628,-501,CAt,gitbijjflk,0.4015,tehdjkczbl
bkrzsfyaav,-0.2725,0.4375,0.421,zihujmjpqs,wgtocwqbhz,cat
cat,-0.1625,nqcjwzsodp,927,712,0.413,cat
-352,jzjvktvrpz,cat,fskmilemnu,CaT,636,doG
hzxhxxscni,0.3035,-0.221,-31,0.204,-383,-52
0.148,pryvpehckg,0.248,DOg,-0.345,-0.4225,CAt
cpvksmenle,-0.166,CaT,-403,DoG,-0.1875,dOg
0.2415,0.2165,0.095,-0.457,jhfwxpddxl,441,cAT
477,244,-396,79,-0.3825,-940,caT
-0.2755,svjzuvldfb,918,CAT,-299,cAT,doG
-741,ykowqhofgh,maswoioolc,eiwzsnlcez,565,CaT,Dog
-0.2345,0.15,0.4145,475,dOg,-0.19,DoG
146,Dog,0.468,sgwbixaeob,994,0.0725,Cat
-54,0.3055,760,499,sekdbltvrk,uyroqfsstt,CAT
0.069,-0.4645,-377,-359,23,-0.278,480
0.0895,0.463,wzllgwkxwb,ylyxillkvc,-472,bjvzbjvolb,dOg
