yzkqnovnfj,euzzcbqtwj,clmfgteagp,pEt
-0.288,fdbyyhkfsz,0.304,CAT
-528,0.0925,0.115,DoG
597,0.228,irucujuupw,Dog
oghqwooyva,777,-0.1775,-182
133,154,Cat,dOg
262,-63,0.423,doG
caT,-526,cAT,caT
ypffepfwik,sxmgrvkyis,124,gyxdxlzgoa
juvkxwwwgw,kahbcugqch,gvynsbmbzj,DoG
0.0615,-0.369,796,CAt
cqpjphrwog,623,dhhppjgnmp,caT
77,-0.478,-0.3945,DOG
rbaswcbfjb,-821,-0.356,caT
901,-0.3725,616,DOG
-0.1565,dOG,-0.325,CAT
sfqfjfhcbq,-143,598,cAT
-904,ygknojthmo,53,DoG
-627,CAt,-0.0955,DOg
-871,791,368,caT
rgmfhunadi,werbneneui,-450,cat
0.165,cgxtnkgdxe,ihwdamwsmz,cAT
