yupdhsgayc,evqyltbaiv,PET,ibdbakpwna,feudjcipzi,audpxrgqef,jcenqnxdke
-276,ficqqaeikl,CAT,-860,393,upvpqhvyeq,0.191
-0.4765,0.373,-692,cnegiuhgpk,iajtnlptyt,-0.176,244
hnslonntrm,hhavosxdvz,DOG,-0.174,0.057,-0.4745,doG
caT,760,CAT,-574,DOg,0.047,-0.196
vvqyvymcdk,irfdxijofv,0.123,-682,-197,517,grxkogvdqb
DoG,-0.1885,Cat,0.253,bafsivomce,0.0535,vngeewjyaw
-0.4165,159,DOG,-526,-229,814,0.117
doG,0.015,cAT,DOG,-634,barggjomvb,caT
0.381,45,DoG,-0.244,261,Dog,DOG
598,0.5,Cat,qowdpcledg,acqxxydjej,0.4955,-884
854,268,DOG,0.4205,-514,0.1975,-404
xlekimknlx,deivstufwr,caT,DOG,vziinscqhc,-0.0785,687
-0.419,-0.2365,Cat,0.2855,0.0385,Cat,thvikmgdeg
258,-0.2685,289,ibqltfmuns,0.2585,0.494,cAT
igwxfiucgd,88,cAT,0.4725,cAT,0.254,caT
zysoddzwfg,mxoecuenlr,atwyvfzotn,-0.285,-768,-0.495,-0.163
-115,cAt,cAt,DoG,0.386,vazmglozvw,646
swuqzpoejj,Dog,CAt,0.1345,266,470,702
cqmjegokch,-626,CaT,cAt,hqtgpkrtrp,-117,cAt
-0.308,75,0.4575,-0.108,0.053,nrpvxdpyuu,xhpqgkagqy
-0.134,CAT,pbnfwzsyzq,0.4905,0.445,671,tcnfujxnpi
doG,-441,DOG,416,169,0.4675,-518
vwhxjoifvf,caT,cAT,xehqcqrkbb,-22,-0.344,-111
tfxsdvdesj,906,-970,-46,275,0.046,CaT
DoG,0.4105,cat,DOG,0.254,-0.1155,iogimubnbb
cuiizatfry,qvzxzqujjb,caT,-572,-0.434,DoG,doG
-493,oooizrexzi,-0.0835,emtwmzrufr,fwdljysxih,0.1255,0.2965
pizfraajzm,ljrpjirxbd,cat,xtpdlydgyn,-467,yxbkxehpbf,vspxxlwxak
qmbszwgmqy,0.317,cAT,-0.249,Cat,cAT,0.4305
jnromdeuai,qfijapwerv,dog,dog,DOG,-0.314,149
-938,dOG,dOg,slisgnaamf,wrbcchhneo,-744,-662
jpkurnqrip,cat,cAt,740,dog,-157,CaT
0.348,71,Dog,933,987,qzlgoavpwz,vvqidlozue
-434,-0.1075,DoG,-765,733,qcmxvmmkte,-0.11
0.0775,0.4195,doG,-0.443,nzxuofzmcu,0.1485,-826
caT,-0.081,cAt,cAt,949,qozclfjrqg,-0.402
sclwutcuou,-16,CAt,112,kuppffraox,xocjzyexnm,vmygbfrpkm
-270,Cat,dOg,0.29,470,aetmqjhfpx,0.3695
-0.3645,0.233,268,0.277,CaT,-0.316,zhemogmajh
cAt,885,caT,900,727,wpkkgiwwmr,qyanrvlbif
zftxdgtpnq,dog,595,cat,-487,oaqbocvhur,-0.469
142,Cat,DoG,cvqhinufbe,0.1555,0.0655,bezlbmhixc
vkgdrukvxq,evpudtkmgf,cAt,howfdwwwqs,-343,719,0.2655
ttvkocztli,bibkgtpabi,0.371,0.078,1000,CAT,zwydxrzxsu
0.229,nmernhguwv,CaT,-86,CAt,0.2055,589
-812,caT,0.346,-0.101,0.2785,497,0.341
0.482,357,CAT,oiturqpeqz,-352,-0.4845,108
-308,iiawornoss,Cat,htjdinztnt,ovqsnxzcdt,caT,0.3725
rueddcqfds,ufpyfvfxgu,-0.2785,DOg,doG,-148,kpcrthmedv
rqsuucdwhq,sgnrngyujg,CaT,vmsemnwvqk,0.1255,0.188,CaT
-0.1195,-419,-0.1895,Cat,0.4475,qkrozhqyvx,-512
qhdtxevcli,CAt,CaT,195,cAT,0.0085,325
131,cAT,DOG,cat,0.4795,-0.4985,cat
-0.128,xgewnkyaax,ljcsowzush,phusgtlpwx,cAT,-122,CaT
295,864,-0.317,-0.22,579,CaT,-0.385
-0.4925,-814,0.4875,zbmivnwqni,dOG,0.412,-0.406
cat,caT,cAT,0.1795,950,qrihgdmphp,0.4535
sujgtkspax,0.3345,cAt,bxbwdsyzyd,dfvgjqisyn,xmnbyjeybn,-335
-0.417,-648,Cat,0.4295,-0.2095,445,0.367
0.07,266,dOg,-0.2565,-0.294,938,vljwznclsl
613,0.435,cAt,-482,CaT,-0.051,cpytwlzkbx
Dog,-277,gxlmidmemh,CAt,-930,0.3045,-0.04
yqavplrpjz,-0.2975,dog,-396,aeeuqnkiqm,ojzkixcrmx,0.2235
bjlyrgromk,-0.144,cAt,cAt,3,-0.319,doG
DOg,cAt,doG,cAt,670,428,iwmsqpcplw
0.3505,0.359,-0.077,capocsldmg,0.386,-0.49,-648
DoG,-0.1875,DOg,gquuxdwolf,ltwhtvsrzg,brlioyikuu,ndfcwrguhi
-0.341,ommkuwslce,DOG,-812,durasadyco,novmczqyrp,plcvmkkzon
0.0875,-156,CaT,Dog,dbhglcuqsu,ghyaavzcla,261
0.0075,419,Dog,0.0665,-766,CAT,0.0815
sgvrlwjkea,hisrntsymn,esnxodzcev,qsdzeickba,caT,CAT,477
ojmxrwjgvg,-596,CAt,-0.178,-166,-633,DOG
274,-0.199,0.27,0.0425,Cat,enbcllgvse,899
450,-0.4485,dOG,ivuoqmfmhi,gdyjaxlvae,-751,CAT
