roezlxihzu,hvdmvocltk,pet
ydsnrxdwlg,DOg,DOg
-0.114,boglhxbupt,544
723,0.2135,Cat
0.247,-0.2655,263
0.4965,-0.037,DOG
-917,Cat,gwlinalufz
96,-0.09,552
mgtmddwnjk,rhbjyasxjm,dog
296,jztfifzruc,dog
CAt,887,mboduzmmfo
-0.0485,dOG,DoG
rfwxduddbt,cmitjijiuz,caT
-0.141,0.321,caT
-820,-200,-580
-0.303,Dog,dog
702,cnthpyejhd,0.363
kvwmwhjmaw,547,Dog
kilxnxzzbt,dog,dOG
0.152,0.4735,dOG
-384,bksuiukydk,-456
doG,31,CAt
wnkkyhxybx,358,765
-505,0.1075,cAT
fxnsiiunih,CAt,icsfhvahip
-0.003,-390,cat
doG,-0.178,dOg
mmpxepxprb,-0.063,tqqrivwadi
