PeT,zfdfonkgva,iegdrzjiyv,ssorxaopex,vusrbpyeip,czspikxxxc,hohlcdxesw
doG,dOG,btnscwxvas,tvdvbiakjs,jqqepppeie,242,ekpicaagfk
dog,0.1365,uxizphjhla,zgeqrsflgn,cAT,114,gxzvhrcgcb
-0.3705,-0.131,daikhjeoqm,0.101,kiuqusqgjs,-0.011,cat
0.403,0.0835,0.2225,dxlnoshhsi,tvlwwytjzj,-0.2045,CaT
-696,0.328,-0.336,-0.2725,snrnsevtio,heiupnwpob,ilrawxkqtz
CAT,bvkbnsccdt,0.4825,-888,CAT,940,cat
-157,-473,dOG,-347,0.1545,cesodnvgtr,tqbtafesix
6,doG,195,-0.426,-291,nnrwzlszgt,CaT
DOg,btttyzsjxy,-902,ykgvfpfypr,dOG,-770,fzdedapevf
0.2225,-0.148,0.048,sbzztlemlu,571,xfkwwnlway,883
CaT,CaT,0.4935,dOG,277,0.3305,Cat
caT,Cat,455,-607,0.3085,pjublzxetf,-0.325
cAt,0.4845,-362,-0.414,mpkkubpnnk,DoG,0.1325
CAT,msutzlevfa,-890,0.1945,CaT,kmqjiihoky,-0.0845
Cat,657,445,igczbrixqd,-130,-0.1,cAt
yajvpqdjkj,-0.385,CAt,737,wtbitgtami,-740,cuauvwthbp
dog,-0.484,Cat,-0.2305,cat,359,dcvurzjdcq
589,ubbfthipch,CaT,-145,tyvocfuphw,680,899
cat,-612,cat,-569,0.325,wadwpujzca,gcygyrmjoo
DOg,0.166,cAt,-0.4595,CAT,0.45,caT
DOG,0.322,0.01,378,943,saeeplmhcc,607
0.272,Dog,0.082,dOg,-0.3205,-911,CAT
dOG,caT,-0.499,ksaykxttzr,bhqinhzbau,rjasqaohvu,712
DoG,DOG,0.066,cAt,CaT,gpuklyeobc,-0.362
dog,jxijdtwoau,-418,166,-266,-228,0.1605
Cat,CAT,210,-0.094,bqqinkwiiu,-0.0945,dOG
-0.4815,dOg,196,Dog,363,zzrlwgyhyk,xgqatykulq
DOG,jrzwnnbcfr,935,454,-436,-0.079,-0.4695
DOg,0.132,-0.2735,qrbhagkeiw,nkutjhtiic,0.3635,hceektbgmh
cAt,-0.254,dOg,-0.3955,guvpekmcdv,dOG,-0.36
cAt,uzzeffrfqz,82,bmbzlqkivx,-785,-0.03,-213
doG,547,khwaoodplg,scszyarlaq,376,0.1965,0.4055
DOG,362,cAT,0.154,zemxdpgvct,-0.4715,-0.005
CAT,lhzwxessmx,cat,Dog,dog,DOG,491
cAT,hjoxlchgoe,-449,0.4015,cat,hnlishjczs,-0.01
DOG,0.483,iovoobfipu,-0.176,-0.447,sfpbgbkkyi,-0.2935
DOg,iihonsxccu,-307,-0.22,265,cAT,gchalkpgtw
0.4115,lvoiswfyfv,caT,-0.431,-713,896,-663
cAT,oqdcqxcazl,yxshrcqlww,-0.1235,lxchoqfenb,-0.067,-0.386
DOG,CaT,-0.4825,902,dOG,0.131,-0.2115
cvtchwmbgs,-625,0.324,ffysvhdroq,-0.272,0.1945,0.1735
doG,91,gkfdxalqnc,965,ksuomhwcyz,-0.416,-645
660,913,-951,uderpecsxq,-0.3745,-777,-643
dOG,-0.048,250,lpbzlzunak,CAt,-977,pzgtttplvf
DoG,kgapzcyvaa,DOg,782,-0.242,949,hgnwxqzwmp
dOG,937,383,zxbdxojgcm,-0.159,0.146,cat
Cat,fndpwhyxus,opicohtxqb,-0.3235,jcfucmqzff,cddtszmftn,0.09
-0.3425,DOG,-917,ozlxdpltnf,cat,iqqdzxhtrc,xpjscwjmpk
dog,vnylwulqiz,sgzuvrakac,-772,-230,mmyiprvxws,-0.1905
Dog,0.215,0.3705,fgpijktdlm,fqxpbxtmgl,-934,eagkmsxumr
Cat,cddaeskhcj,671,527,Dog,vejjhskmko,sucpsxualb
zhakdldeyx,ihzlazgxle,otqngaujyz,0.063,-0.115,aadqyyiqub,-614
frxboqarni,752,-990,pvowjgkzmf,-0.3485,-498,cat
