wkostvneta,rfgdfduomm,gjpurhqetk,soifafdhzw,zacencofjl
cAT,0.028,686,Cat,663
802,0.128,0.386,fxruvowvte,-0.3565
rzjiolutix,-0.107,cat,0.3165,xuovotpyie
rncizkdrnk,0.198,bckdsnqiue,0.2125,0.2085
fjklsgqdlp,-15,492,0.3105,ickcqxvbzg
0.142,403,0.312,DoG,933
488,cAt,-0.4675,-713,858
-88,638,925,0.057,-843
Dog,-0.0195,mnmarswmqc,-0.353,0.2285
boaotvdywg,egyjrsnyvn,DoG,kucuthseyi,-0.488
-0.4775,-0.1245,mbyuckinfc,0.231,-0.496
62,xxdsfgamir,ytyfbuohsn,DOG,-0.3465
853,0.4075,ehauqmyhgf,iqpbkvmxtu,-543
944,-0.0775,pxozivusdb,-765,-0.279
fpxkbpsfhp,-0.1645,-853,-298,0.251
-0.306,cAT,dog,-0.072,-0.4635
-344,dOG,-309,0.2975,-941
0.1425,-0.0595,DOg,jymnpyzttz,988
0.183,muebivrajk,bxylmjcrnf,-0.474,0.2425
CAT,rbkugbzypm,sybqqhpbnz,-266,745
nudnchqyvj,wncqyrxfcy,-0.1005,fikglkfnfz,daeqmptzsd
-0.101,-0.3015,-0.3355,-741,-0.143
0.168,cAT,0.2875,uqyxvxvkgb,fxwywdxhix
-325,-0.453,-350,oxumkgpuag,dOG
0.4145,-0.233,muiqxbmtbu,DoG,-0.367
mcteigoelv,0.37,0.02,vxvxemkggr,-0.242
-197,0.354,0.154,468,tzltghhzcq
DOG,-0.3985,eroazblzyd,0.444,-0.3075
mimdngogui,-51,702,-688,DoG
DOG,vbiuyzohdl,dtsmavmmkl,dOG,-0.045
ruvqusogwy,-11,0.255,671,0.011
-815,kizlkftdxv,CAt,CaT,231
doG,478,0.034,0.4565,-257
-0.2835,27,hsbhiprjlb,-899,-0.2955
-0.1605,-929,10,-0.2815,caT
-158,libjzqgqsc,762,acojgeureq,syjpbojtfi
dOg,hnfamyyedb,-0.1795,873,-0.2745
DOg,jkhakbryll,jxxwmxxmap,544,-59
Cat,-434,0.1775,-954,-731
cAt,0.278,564,0.08,0.46
0.2415,cAT,-424,hjwghvewcc,-482
-0.3035,-0.115,798,cat,qtgmcsphzw
-0.065,0.188,351,bfiilhtzme,-436
caT,uffdqiwlua,-196,-0.4025,-794
-0.095,extbrduuni,uavwugkzgp,dog,-0.071
781,-147,0.1195,zhniwewnha,0.1725
-0.213,-522,867,Dog,462
tyityjfcxs,dOG,-51,Cat,dog
0.376,asipjvzubj,0.128,0.3715,Cat
dOG,0.1985,-627,xbzbqpgkuj,-380
-0.1375,wykkpwsann,-90,0.143,-844
fdvwzkuawb,gxkwadpltv,-561,zegyjazbja,-223
0.2045,cat,-214,CAT,-119
vvxvrajbhg,-241,eraxarqxim,lfzsbthftt,0.0655
rkcqtrsddj,-816,-0.2535,-614,-734
0.4815,0.298,xjqiknjjkq,fzbvwlxeqv,-0.214
-427,guqbflgjrq,gkbcgamhnz,-0.443,-850
928,luxxegpblb,iomhibwifs,0.2995,240
awojjotdpd,-678,ixfmnrhgvt,yylepxdwkw,354
pwbhttqqnr,vhuqhkarfq,caT,DOG,xypvlbskgn
DOg,eassuduzai,ykraujimwd,CAT,qdzeigjsgw
tcchwsjdoz,DoG,0.1075,-795,0.493
-0.252,-0.244,-0.4985,-0.2045,241
oecxpukrii,0.0115,0.3595,wlmaaqdntl,-932
lgacjqlbsl,zyzougfuep,zbfxmqiirs,42,-564
