peT,wpuyzbriay,rufuqklgpr,xchahforjl
Cat,dhtjdoafka,0.2275,xnhtpmasxp
oifkzrfkms,-682,-0.1255,dOg
CAt,-0.395,ftptevlxqz,-598
dOg,qpqkxkbkgh,cfxevipvch,0.2755
dOG,pwcnjmdbdk,atfgnjdwir,-0.012
cAt,CAt,-477,CaT
828,-0.1885,xejbrncmyn,0.0265
dOg,-0.026,Cat,-926
CaT,fwvergjhhp,Cat,-0.029
CAt,217,iligkclkpi,DOg
Dog,-0.013,sjwlumevtc,-0.341
doG,hkjnvegrts,dog,-0.494
Dog,xynogcfknt,0.3205,-728
tcbnngweju,-0.0465,doG,dOg
CaT,0.2775,cAt,vtifmuyplr
dog,-0.0905,781,0.4305
cAt,Dog,ihzdqonwfm,143
Cat,531,75,dgyvfzixon
dOG,bwicyladxo,gzqbxcargo,caT
Dog,-0.0595,Dog,841
CAt,bzwwpulrlk,-299,CAt
Cat,ahfwctvvku,-0.064,fiynisdizm
DOG,0.0565,-0.394,953
dOG,fwttmppsro,0.245,femqdhtcsh
caT,-0.409,yxkvjkayki,esngvgnsfe
452,-0.2095,-0.086,hzsikfjxmx
dOG,310,DOg,lfemolktwo
-874,exrdtabwtc,-0.022,-738
phprzeaqwb,cat,wvvwhoqxap,320
cAt,-782,-0.3295,-295
doG,-141,sljqxynppy,-338
DOG,-872,-211,-253
-0.065,cAT,959,ibuirbplgh
DoG,80,aqdoqqauwp,-0.143
hhcswjsmiz,dOg,Dog,0.2485
doG,-0.158,0.427,dog
CaT,caT,362,DOg
dOg,qeimsixwfz,0.0135,486
762,142,-729,0.0315
dOG,-0.176,0.4315,xqfzgvizrx
cAT,xuwrvdlxdk,DoG,caT
dog,DOG,yqeetizabf,-688
doG,-318,-77,0.3665
cat,ymsncpykwt,-604,cat
CaT,lokjpzfmgs,dOg,efgqtolatc
cAt,doG,cAt,vwbgwlnjtz
cat,tajaaiuipe,caT,459
dOG,tkrskbjbpn,saxrxdkzlo,0.249
cAT,kbdyfbblme,440,0.449
cAT,-259,680,svleemzkbd
cAt,0.316,CaT,tmwgrbudrr
dog,0.449,ysisybszmb,299
Dog,652,-0.119,yupwmicfig
caT,tepadjfmfc,slpfuxeebv,-0.3825
-0.455,kgfpuwwhuw,-79,782
DOG,khagsqfdym,lpdzpfiefw,Dog
CAt,ylczgdhacd,60,-559
dOg,-0.4555,0.2365,dog
DoG,824,-0.2195,goeaptbnhc
DOg,-997,cwakflgxrk,124
oydaznnogp,dog,0.4295,-237
CaT,-0.4135,-303,zbysoapfwe
12,0.0075,doG,-909
-644,-132,inmrzfmlvp,rethvosnig
-266,nizyixzcdl,715,0.001
Dog,gkdhjcufwk,0.247,700
DOG,DOG,caT,xjgijevqsn
CAt,8,-0.0235,-0.452
-0.104,dorumphbzw,462,mpxxwqysph
xbpczcnbmw,0.0565,762,0.3685
0.2845,ewstajoxyx,vdqpketfji,fwmqzxzknz
CaT,ftcywvtvsk,cAT,-0.0165
doG,-221,CAt,laozjssvst
cAT,kdmmppjxnd,fyujryvhdo,0.3985
bdgvczeosc,Dog,0.429,-0.337
cAT,591,-696,954
kgbuekegfn,CAT,0.3755,-486
