yextjxryez,jcrkowupzi,szoimsgmyi,ndrkbeceth,wqgqojwqpi
pjbcwjoces,-0.353,cAT,ioeebxbhli,phseswkzzx
DOG,142,388,caT,-34
frdrkuombi,0.083,-0.439,-0.2055,fvdlbfwuse
0.069,Cat,dOG,-0.474,Cat
0.1425,110,-54,johmlkvgjn,-0.2475
ilzkjqzgss,DoG,-0.5,chpxzikqhu,dOg
-0.01,yvjrulljco,0.174,jnwyhwehbm,-11
214,-0.05,tutlqpdjzs,DoG,ickrpnexcf
CAT,qmgayilaxm,-0.4085,-751,-0.315
409,wglypbzmke,hycnihiuon,diqfvcfppx,dog
972,-0.45,-0.252,cdrsmdulan,0.1945
43,DoG,-0.164,lylymadfvx,udyctofwau
910,dOg,CAT,nopehfulyp,367
-526,29,-0.289,-0.1925,zxogutsxav
0.259,0.2425,0.27,CAt,caT
746,-194,686,hgaxmiknvk,0.1815
acpcnlrybz,-6,-85,Dog,cAt
kljbgtytlo,0.3545,894,0.2315,arpfnwkkac
-221,0.336,kbebpomfaf,-105,DOG
0.074,fopmalchpt,mqmhfrdswp,cAt,cat
295,wjovazhjmg,exujvbvynu,CAT,vbobucdexy
0.266,-0.067,-0.2685,lmjfdxtqpr,0.327
xyixmmhacy,cat,-0.318,-481,0.202
-177,362,0.166,910,Dog
-0.1775,cat,-11,89,cat
-48,0.453,CAt,424,-0.37
767,-0.0455,-0.0705,0.193,anoubekrsc
cAt,0.2165,-515,0.3225,ydcacsiifg
CaT,spzrsssryo,928,ctpzdzxifb,-0.385
0.146,1000,-0.279,xeaydfsxxu,0.153
782,DOg,-633,cAT,dlbrovrela
jrzxecstfg,0.382,dOg,-0.3595,118
-844,794,DOg,CAT,-797
-938,-0.206,-0.4165,-0.4485,-0.449
pyipvxztpq,ierlmltdvy,dog,-0.2785,-710
DoG,19,miwugyomap,-674,-510
572,971,eigagquede,-867,-501
kffywxvcxp,cwzojimeyx,wqjqswdpkr,-677,-0.2245
-885,0.0305,0.122,-770,khvrtifwop
909,dOg,CaT,-668,dog
Cat,mrvispavnh,ollezyhclh,670,dOg
6,0.2275,-0.36,496,229
dwzvbjgkxd,-506,pxdcmgllfr,-0.289,yuzggxtpsr
0.28,636,0.1385,atfsbpxxqz,0.2405
0.1315,-79,revsfisufl,vhiewnxphb,sjxxfivvgn
-950,0.4095,-285,reuamvpiif,-444
caT,sygbaaoroo,-0.2885,gxxckgizsz,-633
CAt,612,dog,eteqeqqcns,dOg
aqwatywesl,175,818,Cat,DOg
-0.0765,-0.1525,0.4325,Cat,DOg
306,0.497,dqxockdczz,0.0405,-299
382,cAt,793,gilcckinny,uyhbinfbam
skygpwcsxx,322,-930,189,62
Dog,0.032,DOg,pkwtqbymir,paddyijmno
uxatznrfxd,-0.0765,bbmfferxpn,doG,-357
112,dOg,hufmhbyyxm,vftsyrrfyg,536
wtdrhbower,dOg,qcnrtqumdh,-629,CaT
