vxrrcgvhnz,pet,pwaxfrdpjb
0.126,oielkfavep,-822
0.408,Cat,-0.119
doG,cAt,itxilhvuup
eviqfmbfzc,dOg,612
eljsucvzqt,cat,-187
-211,caT,caT
upoqtkqnor,-0.07,xusvzvygtl
totcdwtlcn,dOg,-938
0.284,iwmtcljebr,ymsuhmguhr
992,DOG,675
zqbpmbfugr,cAt,zcihpbtwje
-842,-508,CAT
umykjffjca,DOG,-0.249
dnqhhqqfyp,-988,bucdbsugtk
-482,fwvlwpymxf,CaT
692,CAT,syfzrhphmo
-93,DOG,440
CAT,DoG,-659
-0.046,dOg,442
-0.2135,654,ymabivznoh
354,yblyugxlde,cfwizzxeeu
caT,835,dog
873,dOg,-768
-799,ggdfomaaac,0.332
0.041,743,caT
0.1055,CaT,308
obpdivkqbm,DoG,tucnslydny
xzinkjnbhl,DOg,0.0445
felkxtkwyg,DoG,qfmqafegaq
flmmxpyruh,dOG,bzwzvqidia
bhfldendta,cat,0.4905
llufrjdhpl,CAT,0.4285
573,CaT,lswahkzjzz
sxexugbvex,cAT,20
817,dOg,dog
dog,dog,-884
hfhulbsvjy,CAt,dOg
-891,dOg,tebwhrnevd
-0.2115,0.4465,tspjyhdsfz
jiuqblvjwp,CaT,tsqpmoubgj
CAt,bwxguyxork,481
Dog,cat,731
dog,CaT,-0.12
183,dzjmkkfhti,exopvqdblq
zjwgbcklgx,DOG,-15
-25,dog,-856
dOg,caT,DoG
CAt,DOG,CaT
ozaimdalla,DoG,-102
doG,dog,DOg
doG,doG,CaT
-0.3865,doG,cat
gaxymtqxxn,677,vavhjpqqjj
-997,0.1995,-701
opiqbstngu,198,xbyaiuziiy
fdhyiuluhi,-567,yzzgzsjgbu
-15,DoG,-0.146
dwksmecvdn,DOg,lskhznoyng
571,DOG,Cat
0.4115,CAt,953
834,cat,19
0.0535,cAt,doG
wpsehebrqc,DoG,0.0795
vsgjijqxev,Cat,0.1375
-0.1845,dog,-0.1385
swksrulrqs,doG,0.39
fthigfsisa,cAt,amegtyqqsl
powujrbpjv,Dog,-0.393
0.376,hrwjbkinbz,844
qqfkqvndao,dOg,fdzznxwgxb
dOg,DOg,0.0035
-0.034,CAt,doG
ikiwbmkvss,CAt,0.2015
-682,cat,Dog
134,DOG,-518
844,doG,648
mastfqadbk,DoG,315
854,CAt,399
