gvycezovun,peT,izuparisln,bucakrvabj,ldqppggzib,iypshijiat,xrjmojlbcz
-565,dOG,0.1305,nlznfhcxtn,-434,-52,661
791,DOG,mseyaxrcjh,-0.4555,269,-0.0065,jkeaxhapmn
nfpezjlpcg,DOG,-249,iywcncofou,CaT,0.242,-0.143
0.4065,cAt,fyseoziphf,stxgolyguy,-0.448,Dog,CAT
DOg,DoG,0.4215,816,lytgcthmtv,-0.3285,-0.218
-795,cAT,0.276,cat,-0.158,0.386,cat
0.329,-200,cAT,-853,wtdckiprsl,adlvactepo,46
0.46,977,DOg,0.115,ynltcwogqy,xaocrwetsj,CAT
zvbvombqkj,cat,CAt,zrpiiwfmww,707,-0.4135,-784
itdnazmfbs,DoG,doG,DoG,0.4045,Dog,zcfrefuetr
hijuncwevj,dOG,271,gdzduvkvll,hexbtgvvup,-0.2655,0.127
xtqvuuzzhl,CAT,0.3625,sjzscupmck,857,973,0.2765
0.3925,CaT,-0.312,cat,-463,nfelhbxisk,-233
sweyfjjhrg,DoG,0.0955,-0.299,-229,-79,-0.4435
-0.0905,CAT,0.232,Dog,khjcggmhel,cbljzprsed,dxrgmzlpkd
-436,Cat,cAt,cAt,0.025,vsokbzikcq,-512
mbeotwjlcb,DoG,ylsnxksuwk,-875,DoG,-0.305,Cat
637,DOG,DOG,pdizhhlukj,-718,0.0965,-603
-486,DoG,caT,0.3955,-0.404,-742,-524
qgxlzobhpf,-204,977,0.2285,DOg,-0.203,CaT
0.124,caT,whlvtxpvms,kironzzklg,110,xmskjnvtjk,-165
doG,CAT,xxodanvedx,otvadpbtgm,doG,571,DOg
