sklwecvviy,rgurmvshuu,limbbktykt,kytkolxmyf,gozhgbppof
0.416,vyazicjikb,dOG,-725,cdjdnkokff
-0.1375,487,sdmeprbtkk,paohfdhxti,mqatsbrzoy
0.397,-0.1755,tffnslvljg,492,dOG
dog,761,angpwbcpvf,okegpjyoqz,741
-0.417,dchmnaheah,hcsekxgvpl,10,-0.0155
Cat,CAt,xafefweusk,0.414,741
-449,938,0.306,0.2395,Cat
dog,438,312,-661,agwcphvklj
-947,pomffuorjk,dog,brhandspyv,Cat
dzluostsnd,buwayfxhtq,0.1545,489,nnahftokma
640,CAT,lothwnygpm,-0.418,0.3075
kgfvhdvsrw,cAt,0.355,770,doG
-0.0625,-445,0.0325,-0.1615,776
pofhouitkm,-197,xozgytosyf,rjbtclcnom,aajpasemyk
cimwfpvyth,0.0505,cAT,jxvmxcbvoo,lcrhdhorif
bafrljfzap,DOG,0.1575,-0.4125,omyhbrncss
-611,eegqqmdlnf,gotnwjfozi,DoG,271
162,doG,-152,-0.22,-965
tnssehxgzx,-41,0.306,mjcbhrntgz,-455
159,Cat,0.411,-496,0.191
cAt,-142,dOG,0.2535,0.021
843,0.14,fnlzjjnrse,caT,279
-0.263,-682,rxlmsuzqgt,-201,-426
-26,zbtpjxixbc,ygyfyxntft,-0.3925,-65
-0.2165,-308,-332,238,ejlcabnyfs
445,0.4565,rcarpeamli,865,prprgzygzy
DoG,DoG,681,dxznqvndij,wtfadzqvyu
-0.449,zrwzcfvlaj,80,dOg,-0.1735
-0.1395,487,ihonlqqloz,btyxfnvqci,gedalquucj
fildlhvlxm,0.376,hfuobtwudf,0.263,0.3325
fystegfwau,-334,-573,cAt,uvvacdkwpo
515,0.1845,0.498,-891,-576
-90,-0.406,312,jvbwarnvfi,0.4945
89,rcgkwrrntz,460,dijtjtxvvb,0.379
vikhkuqszr,xxflndexcz,64,632,cat
0.32,pzcbpggstm,0.276,bmcbgeqbrd,-34
xcgbkhfluh,cmfkplcoce,doG,235,dlnqqppprk
-250,-192,wxmoxqrudb,-236,694
-0.42,308,485,cat,-0.2865
-0.487,DoG,znpnhpdojo,-60,cat
425,-0.1235,wbguxiziyb,ieesnuezow,gigogvtcpr
0.2245,326,-829,qntcdqaaxl,-219
-0.2335,0.3865,DoG,Cat,CaT
0.0715,sfwwzhtexw,-0.4455,-0.2125,0.443
-588,fluocxovwr,-0.2005,dOG,-0.0585
0.405,fuyrqwgbfr,-535,aiyyohxfkj,216
Dog,0.26,0.3835,88,ltbiwvckcx
864,657,Dog,eapkyjuhzs,0.2865
-0.431,0.084,ykdndkndnf,0.2305,0.0935
DOG,dOg,cAt,0.0545,0.4035
-690,caT,qmtrwzhjxy,zxiykdiscw,CAt
-761,xzyqarihoq,-0.4215,-0.105,487
0.318,9,-425,xcmipbagbe,hvemzufbsl
