nsxmwgtmpg,rhowmlghak,xkvblefwlm
CaT,986,652
-0.375,972,behczzvqeo
DOg,0.155,qywxlxovbe
-720,oeqlemqzkt,697
-951,lklutilugw,13
182,-0.4945,mpbtisanvn
602,82,54
mesodltgwc,cat,472
nxtcrhibzp,-0.107,wrxcbgccxi
360,-0.215,DoG
-309,0.462,dydegafyol
ajaslqtnjs,bijdxgqpfp,971
doG,0.426,doG
-0.356,xqavtobpjg,0.0095
wqczzbvicg,0.1075,CAt
0.4915,tmqsigsxgv,abgstfywuk
-0.24,-0.0195,-488
0.3665,172,0.2055
-0.4185,CaT,350
dog,-708,afndtfqxna
DoG,jpejmbtcha,cbrrkvrioi
DOG,qbogfxsidf,eplkikleyb
pjqjnlbshr,-0.0335,CAT
612,-0.4805,-0.1755
536,0.0305,0.258
798,-0.0805,qrolqmsscm
204,863,-728
wzdsungcwu,-0.1235,-0.477
DOG,-879,oxljcwvkqa
dnoisczfij,880,kqpwawkeje
-796,cAT,CaT
DOg,-497,210
DOG,-680,CAt
-944,0.145,-996
ufigsszfir,0.0665,-0.2005
cAT,lchmdbsjad,805
-0.4065,CAt,-0.115
-0.394,-981,cat
-379,0.2325,doG
-107,caT,wchzefcvag
jzlgbzjyeg,0.2505,-0.2425
-322,dog,-888
-0.083,-571,CaT
zelbulmkld,354,121
nhlhkznmtu,jluxnyzavt,spipajewrt
Dog,CAt,0.1415
cuyctohivt,953,153
298,-312,DOG
