vcbyknlxcu,wnelwjagcx,pEt,sozmcdugmr,dbzbeqnola,lbyfwlrylw
-902,0.4405,dOg,cat,935,-0.421
socsaordao,ytatzesunp,DOg,698,-0.159,-0.4485
0.086,-420,-896,dog,upmyeajkcw,349
0.0705,527,CaT,0.356,-0.435,-0.0225
-0.0725,dhrvnnacyd,Cat,-320,axluqqyfex,0.0305
0.3315,0.3885,CAt,dog,-341,caT
-0.126,0.2855,CAt,-537,0.169,-0.1385
-0.1455,mkuilzxfhc,Dog,upvitlbhsv,zuaustkbwi,-369
0.0185,Dog,CAt,bwxrmysfal,yirenhfzvt,dqrkofvzkm
-318,-0.1005,cAT,lhvrgdolia,-0.3415,-0.4985
Cat,ftiwclfure,npoofstbsi,dtmzjkhsbc,CAt,-722
736,zcxzuhaccg,dOG,-0.403,0.2385,-748
gwbjeugocs,0.1865,0.2675,0.1935,0.23,doG
ceoooedkti,395,cAT,-968,0.321,0.21
elqvkwyhre,0.1735,-95,dtivpxnmhi,878,0.0035
727,Cat,DOG,CaT,iuvcrwptot,0.4975
-719,-0.3635,cat,-0.2915,0.1205,-0.4525
0.375,0.227,CAT,doG,0.2275,224
twtfllbrto,vbaljieslt,dog,dwofsuocdc,620,546
-879,377,CAt,Cat,-131,0.222
DoG,sdylwpqyou,CAt,-74,yxlaabqfld,vrfehhmqmn
-426,-0.3075,nbchiijure,ejkrhwymbs,CAt,0.431
dOg,0.0815,dOG,ywkjiouuoa,0.33,doG
-0.2685,CAT,dOG,-0.114,CaT,rvgzisxzee
aikcaqakud,hghrrtkvao,0.1785,ugzxvhmspi,-950,dOg
840,-0.083,0.2385,-148,-592,-0.1485
cat,khlltbaigo,-0.0655,-57,lqxiqpnqmd,0.285
caT,-0.125,Cat,doG,-660,yudboyxcbd
dodqntewlr,doG,dOG,-0.075,-0.024,-604
khamujhgrk,unznawdkeu,DoG,nyjcobcxkt,zqyumvtuwj,-0.2195
-0.126,cAt,altgomkewl,Dog,doG,hzbzfxtgod
-0.291,-0.4495,CaT,-759,0.4245,-366
DoG,0.223,cat,koslospngs,-411,0.36
cAT,-0.443,icbdabnxez,mjewzxhllt,0.3745,0.025
0.0235,bjnadozldq,caT,-690,832,yigowyrazw
cAt,DOg,CAT,-299,552,-338
ozwtovvsjf,81,961,0.0595,cat,-658
0.4575,-0.0965,cAt,-0.2945,0.0135,kazaqlzezx
xrlhpzebvx,DOG,0.4845,0.162,0.3545,-0.064
0.2965,-28,242,wrqeexvdbt,bixjuzmyjl,-478
0.1955,-0.229,CaT,jvfumfgpwt,-405,124
logayzjdmp,tnzjdmvznk,DOG,-0.3675,-648,ieewcmmucy
-279,sjnpksikdf,cAt,CAT,0.4085,0.02
cAt,juahxhbksc,CAt,xonujtlina,ehcghyubvq,DOG
-319,-0.0315,cat,nhkjrjqjji,DOG,Dog
qylltwklmv,-0.2745,DoG,-0.0575,-934,-0.247
-242,969,dog,373,Cat,717
CaT,-214,DOG,0.12,xnrlhiioie,-506
0.026,330,0.193,-0.3,kqiesiuouj,cAT
0.24,359,dOG,rjokurpiuf,-491,-0.447
cat,klijyxoork,DoG,kkcqeasnoc,wubmqsfkhr,DOG
sfyrwdmtpt,bcpsvgvyee,cat,DoG,dkbyaxbabw,0.276
-0.44,cddoqptoqk,caT,qeczoajjpi,646,-626
-767,-0.3575,Cat,-401,435,0.0645
0.3515,-0.445,DoG,-172,-705,pwcpthnwpf
caT,832,-0.427,cAt,287,bithjoymlj
689,0.4295,cAT,-0.114,CaT,0.2175
0.265,0.4975,-0.0615,-605,wgnylqpbuv,0.4565
mttkwxxmam,-695,CaT,DOg,-203,-337
-986,496,cAt,-649,ubchjtwjzl,685
-32,134,Cat,239,-0.3465,0.4755
-22,miaurwfhrl,Cat,122,-569,0.203
DoG,-0.0135,CAT,612,apylbkemyi,-857
tzbpbonagn,0.111,dog,0.29,140,mkjbmkfqbv
Dog,51,bonxhgqdfj,310,qjbwkwzwzb,0.025
