jrxquecvsm,peT,oecesllbeo
DOg,Dog,180
-296,Cat,oezmvevufy
0.016,Dog,cat
396,Dog,cbjdeipmai
cAT,278,641
833,DOg,caT
qrkkhmynbh,dog,-347
CAt,doG,Dog
93,DoG,ejclnfuhiq
-0.312,cAT,0.4245
0.3025,cAt,0.1785
pjhebbfaza,dOg,-0.093
0.154,Dog,0.431
785,CAT,0.413
-0.046,cAT,ojfajsgnhr
dOg,doG,-0.1595
-577,xnaosduazs,sgidcsbnag
0.118,ohiwxhashj,-0.194
-0.048,CAT,uindodnpwk
0.091,cAT,-0.3285
-0.331,-392,romdvtjuhx
Dog,cAt,0.262
0.342,Dog,gvbxzyleii
izpfjclacw,locknddmqr,flgdrjfaax
DOG,CaT,dOG
0.268,CaT,-0.236
qxqdrzevlo,cAt,jsovzisinu
176,CAt,pyjgtuxsyq
-0.2765,DOG,uwakxbawuf
-487,dOg,DoG
ajfydhcici,CAT,-0.151
-0.2535,DoG,249
294,CAt,gomdxdtmie
vzcdrtupug,dog,hciaqqfdvu
-0.177,DOG,-749
421,izziwcdozu,DoG
dOG,cat,yzolthphfk
-670,cat,qfwzwwtrpf
Dog,0.1315,261
543,CaT,364
-570,dOG,tpafcrgwsf
-0.3505,CaT,0.113
0.194,doG,848
CAT,577,0.0185
273,cAT,apowsrqnbe
vsujuqbnlk,Dog,Cat
yteeipqniy,ywsvwoqplx,388
myxeqmztjd,dOG,-0.468
vhzfgyccfz,DoG,znmnsypmej
-31,cAT,dOg
-230,dOG,-402
-317,sccmhxivrs,ajcaxldxvu
-118,dOG,-509
-0.2265,Dog,-0.3465
-926,Dog,-318
cAt,dOg,rxhweuqcax
DOg,eebsrbaoqd,-0.0235
pqoefxajgf,-947,DoG
-0.47,-0.3775,-0.2235
rornatquol,CaT,ojywgmwrot
hscelnrsso,dog,dOG
yuqznespby,558,hftremuqmw
cAt,722,yszkypdsed
533,dOG,-851
DOG,Dog,-869
ptoqljoglt,-0.428,163
-0.2835,dOg,knzjbyhqwc
wdqaygdalu,caT,455
903,DoG,DOG
kbwhyihwwc,CaT,-0.4155
cat,cAT,0.3015
DOg,cAT,-0.226
Dog,DOG,DoG
DOg,cAt,kkwhpaxkgk
0.171,Dog,-982
