zvuocyguuw,fjldatawuk,vqrvpluydd,pjrsyufoxt,vrayapwllw,ngiecguzoe,jqxcybdpua
ektpygznsa,DOg,-575,CAt,cAt,-0.079,kaqtrbgncg
pmcmlkxcli,khtspqdxtx,zdtakmvyhl,fmdgzdezkg,0.32,-158,rpgeabyxqx
275,-492,mpfswojnma,-0.2095,0.3885,igzevsksua,-0.0955
xgyykhanqu,434,-0.23,xmdfpmxusd,igqfsyicpt,cAT,-0.053
DOG,gwkrdjmqzx,-478,vqjlspxala,168,gkljdpyrem,0.4255
wabgnxdgdk,-0.428,-0.2905,dOG,107,-0.084,0.149
-438,-0.36,tdrwbfpslx,98,788,caT,Dog
-0.4955,26,agdneiuwnt,binffpsuou,0.3555,-0.4175,273
0.3065,dOg,enrmggdeln,usvcjtluyy,0.124,707,0.3265
-0.078,-144,913,cat,-647,0.279,DOg
637,0.08,628,-336,xoqmaorciz,dog,0.4515
unonmkqsri,723,0.09,385,DOG,sldwydlumh,spucwaxbfl
-0.0445,dOg,ygnasbqkza,gusxvylyjj,-958,-0.1725,0.0995
-778,opxlwpwjda,Dog,-434,cAT,269,570
0.3015,-0.094,qzqfmputes,276,iwhskhlkxk,-312,-0.4015
666,-224,0.483,0.033,-0.449,dOG,kdlwsusquo
0.3955,0.1435,znyhmkmwqw,wnnavxyfgq,doG,-0.4665,0.269
-359,wgtiedqhrc,-0.3215,bvvtsoyymt,0.342,uavbdionko,-0.2525
-683,dog,DOg,CAt,cAt,0.259,himorupzxl
0.2285,368,CaT,qdsssahzaq,dog,bqdgshblgu,CaT
sxqaqkowhc,wuvvvckmue,zunwwypmpk,408,dOG,honeuwtzpq,-703
0.405,caT,wavavwluco,0.479,cdotjfuatp,-187,caT
0.252,0.204,hkknaxafjl,yjrgeiwebv,-0.269,-530,-301
cAt,atucryygoi,DOG,490,793,619,0.2925
0.107,-0.1605,oxbdhhgnhj,0.417,-646,qaygfdvrff,favfwwykrr
fxpvvztjan,-0.321,356,kxozpapovn,isfjoozdlf,-207,0.486
153,-107,cAT,-748,-12,582,-44
-29,cyjccvrhuj,-704,bujwvasubi,jtxykwaqiz,922,-0.4775
-253,lnhkdtqqkk,0.4305,-0.287,xixwxsmgpj,oqnyqhdauf,-724
-0.478,43,0.4735,667,529,Cat,-294
0.2935,0.3115,0.115,0.25,kwnyoenfau,-101,0
-884,CAt,zfjnuubmcy,0.167,-0.0965,-344,vsikqksits
jywgklftlq,DOg,cat,-319,-0.374,-40,-611
peqnrjgmbl,309,-535,-0.487,0.102,doG,Cat
-193,0.373,747,0.307,flkxhcqexa,caT,gtxhxcfycw
600,ywcjqwmnal,caT,0.08,bfimfpjccb,546,cAT
zpkbhqjahm,wiiwpqvjyw,CAT,sgjgatftth,vglrejmqpp,kcwiljzdgx,mfpfjdgqtf
-0.3065,454,0.4415,hyyxfvgqjw,-657,cAt,0.3505
-718,0.148,-0.0505,xsgaacnvzv,-0.2855,890,trehsugicl
-153,zgjseswgjn,627,0.3145,tfxqgransm,943,sosqvclubr
cAt,-595,Dog,-270,iudnbphjlx,gbksodxelh,-154
hqapslbtas,-531,-847,jraleqqwdz,CAt,Cat,aajlgyqzjv
giwhrjablf,dOG,0.29,wgwlondiqj,oraghmixpt,jqgmoamkti,126
dog,caT,ftypmdoocx,cAT,ooixatxxom,zainakdysd,904
cAt,849,321,-0.4315,844,ojtypedzbc,oqdrgqfwwd
-0.152,doG,ycqrfncdng,rpenlkfrjr,-214,htacbtllkj,cAt
-0.2555,ymsyhcpslt,0.455,rrnxcklmwy,0.3585,-0.1815,523
911,-805,fpuxjgowxi,DoG,0.077,0.061,0.3045
Cat,-0.1755,qqtmxbnyfq,lilqmzkzso,0.048,vbgcboibuw,692
-932,qwctlpqrds,qqdidwlqpf,0.201,0.254,-0.034,-0.413
926,dsvtlrbbqo,CaT,0.1585,bhwkvshawz,-496,dog
fvpalhoeeo,svmiiacptk,0.356,356,hwpgbowups,314,860
CAT,kxsbzivkde,830,CAT,DOg,qwhlqolhwk,esohcjnfop
325,DoG,0.044,ftpbkakcqc,doG,-395,-0.2275
xcdmirdlzi,0.2895,-0.4985,caT,cphlujcgdi,0.427,cAt
nlzhevrcpw,546,uuqrbpuisk,zdxqjqlbwu,doG,kbxynsokaz,qcgqfzqrnj
kxjgxrstll,crxasvuiwu,-589,0.001,ftbwitpftq,0.186,-479
gnueevfnbs,-0.013,424,-865,-0.023,Cat,-0.3935
0.093,-0.1915,-0.133,xgtzwwqxxk,zztjqrjyoy,cAT,-640
0.433,626,918,Cat,768,Dog,jeuaxdvtaw
959,rbhubqxkjq,bhcaxjgtpe,-958,-583,0.4875,CAT
967,-0.237,rthtfaoihr,-380,42,0.007,-179
816,0.4685,-0.0935,dOG,cAt,bhmswgzsql,618
aibfwkzrun,rxvpnflkij,0.1765,uswvnkteea,626,hjzjvlzvnq,-0.2345
810,buxauuqqqp,-0.155,554,-397,-51,-0.241
wrrrxcpuhc,0.2995,164,dog,-0.3475,doG,ubqtntburx
