wcfleotkmv,gasvawfvgu,yiuqiwvhfo
ddgublkbok,-0.445,dOG
tmuhwvqwiy,-457,0.4315
-621,Cat,-0.418
wkpkzuomhc,rddbqekaxk,tpwquixfah
748,543,0.3815
CAT,467,wfwunixcwd
yhoqgqopgt,0.2725,cAT
qicvspxftq,261,12
cAT,gomjecmloo,-0.4505
nysswaxvpt,549,0.421
0.214,-0.018,CAt
kidpyplryb,cat,Cat
77,ktnriipwbf,uoverypctg
-0.3155,gtipzjogve,-314
-567,264,-150
dOG,-931,jwbpkfwocv
dOg,-0.3135,0.1505
dOg,0.041,Cat
DoG,0.4265,980
Cat,CAT,wjufczdcih
ygpdjxcphv,fzyqmkvhbm,qmhhfoayad
370,-386,tyhfuuelih
36,dOg,demtpdosue
cAt,631,iqeqjlttci
814,0.451,-0.021
788,sxeylwkgjy,cAt
cAt,807,0.467
245,-0.2995,-0.2805
cat,-753,0.0725
0.2925,lkzbnvneej,0.4715
0.2045,bjxzckdlok,nvojjsqgbe
0.437,0.495,0.385
