cecwrrevxv,jedyhtohla,rkxeyqcyyw,idckanfekz
86,-0.346,-535,lrsotagdzk
DOg,-0.399,339,-0.264
30,ieqcorzntj,-0.4365,-620
rztfrlgqap,dog,0.075,464
cAt,0.124,Cat,318
-562,0.4345,-180,-0.061
-945,kwdbikdqae,-661,onlgbupsyu
-0.398,-0.4805,-570,fazgoslvcq
caT,-899,-106,965
35,-0.4165,0.094,-283
DOg,tzxpvknvth,unlqqwcjyu,-0.416
0.48,-190,Dog,0.018
-350,-92,842,pimkwubrpa
0.298,-0.4935,-68,0.2825
-485,0.414,-0.076,-492
ctjzgvtlpm,243,591,bhkfuqmwtx
0.304,vohvpeisvk,gleoknzqjk,475
862,cckazyqlnk,621,614
nekbwlfuwi,0.168,suaaadfavv,-0.025
CaT,tyrvytnvyl,zgdtgoylai,-441
dofolnximz,0.492,-547,yaganebjme
dbflwquzpj,CAT,DOg,caT
DOg,892,CAt,-939
692,Dog,vvdvojrppl,dnpaituakn
575,eiasqsotiy,-0.457,528
