ifgxwzbima,lfhmobcjfz,lfbfvbaloi,herbumqerc
zxtsdsgzvs,-0.265,-0.163,553
DOG,433,0.4725,odunennctg
cqoyrqtccf,-0.223,cjzzyfdhfj,Cat
oxwnwirxpd,0.3375,0.0985,-0.2065
DoG,-0.1865,-550,cat
911,-308,jgvmguiwxx,dOG
0.16,-0.4225,wmmtobfdkm,fbmvmbigeh
-0.0095,xxpudruqjg,-0.228,0.0135
-914,0.327,642,-866
ejzqfohnff,-0.0895,DoG,avmzclnllu
CAt,-0.303,0.488,cAT
nlkyoovvat,rouvrgvnml,-768,DoG
cat,-0.288,iiecighfko,CaT
dog,zdqctzybit,yawzbuurba,440
0.028,skuvurxoxy,424,dOG
drskkrlmfn,0.05,0.08,doG
CAt,-140,doG,doG
0.375,DoG,thycqlvyjs,0.265
-467,0.4485,scmsnxkdfu,doG
-0.3315,-0.077,-0.15,106
-0.415,-421,295,-0.1405
mldchxerpp,dOG,17,pvhjviywko
-650,619,449,-104
0.329,-0.408,-662,-913
-0.041,-0.04,777,208
caT,751,qkecqkoufj,-879
Cat,vuohfvbhgz,0.327,panpjsiacl
pcqgsttakw,tvqosfypqk,0.0645,DOG
-0.148,-464,Dog,cat
