ccngrogstp,pEt,lhdsfdepwe,dgyisdrydz
zinregwdaa,CaT,0.276,866
nxntqhxjhu,dOg,-100,CAT
dgkhedufsj,cat,960,wbcnzqshta
kmluecrvvg,Dog,0.379,-0.0105
ivdmalpkgb,dOG,eydyurhzvz,CAt
dog,0.0685,0.3595,835
-0.3295,cat,volnvkmscy,cAt
-0.465,CAT,629,kljxfifveo
zwsqshxbrb,doG,0.153,-789
hbuqrkvnxm,dOg,-338,dOg
dOG,dOG,gvyruubxrz,doG
-695,nikuqfocdr,-0.4665,dngukrtgag
0.479,CAT,-0.2055,pzgxixcwog
-542,cat,-271,DOg
-0.4235,0.1095,DOG,303
cAT,hctphhcsry,dOg,710
174,DoG,0.4685,956
CAT,dOg,772,CaT
123,dOg,niivhqfled,-0.0995
0.0405,cat,-993,cAT
909,CAT,DOg,916
CAT,DOg,lhedmimojf,-0.485
cAt,cAt,-0.2695,-679
-419,yygojenuvk,dog,0.488
irsbvexiyx,-0.2115,doG,496
589,lrevwknwfu,-0.2785,pydunjujap
giwxrdxbhe,dOG,kjwtixtlki,-0.3335
-451,rhboqhrdva,547,dog
-0.0205,doG,825,-0.2945
-706,dOG,-732,0.345
DOg,cat,-148,426
-402,-212,afxqyzfwon,Dog
DOG,CAt,0.233,-0.174
chljszwwdq,CaT,612,lpttyjqhzr
-207,DOG,-0.4265,0.1925
-335,-764,123,-0.267
731,dOG,bvkobsntpa,wyhsrymmgy
607,-744,0.18,-0.236
Dog,-0.018,-0.173,0.046
xnfuhimhvx,dsjlcojaqi,0.2615,788
-483,CaT,DOG,-630
-716,-335,dOg,-0.0125
CAt,DOg,bembkwqsmn,DoG
-208,cAT,0.1075,-598
-942,dOg,CAt,-0.069
0.3745,Cat,dsxiwdlfnc,-0.177
igyhkoogfd,-761,-0.2175,0.455
-0.1985,CAt,cAT,-949
wftpltglzp,cAt,caT,-500
0.366,cAt,CaT,idebjolbuf
424,DOg,-0.0505,243
cat,0.3645,DoG,cat
626,dog,zcsuhsmmmr,31
-26,caT,-0.3255,dOG
-452,myuzysiugr,0.212,Cat
377,0.017,Cat,angooqfrqy
dOg,167,0.2965,0.381
-803,dOg,-0.2945,xcmjniavyg
hemajmhlzb,CAT,Dog,-0.12
cat,438,iknflwwfce,-0.0195
0.497,DoG,uovgzrqnzz,psgbolezpx
32,doG,wejiyvmogp,118
0.1875,DOg,bqkwrmrwfp,-0.2355
srxivzyfgc,CAt,-657,-0.002
0.3495,DOg,kxwdzhnjtq,hqxvpfpkwe
apzdshghbc,tmrehcidlg,xouipmgnpk,908
fnesavguim,Cat,-0.3065,DOg
DoG,CAt,-789,lotkqewemf
9,cat,-0.125,Dog
tbeooqtawx,DoG,0.121,CAt
571,DOG,-0.225,-171
xjfggdfyla,dOg,wglpoyqcjz,0.2855
-0.1385,dOg,CaT,362
-310,cat,scvaesmodh,-0.3505
525,-0.355,834,-0.025
-30,dog,vjoybijnod,ujtvoewzpq
-37,DOG,-73,cat
gvvqrxozgk,-867,0.431,udhwqqhnuq
dOG,DOG,640,hzeahinhfw
doG,CAt,geexhtuziu,0.0765
0.2715,mlfmqqplkf,kdycryomle,-0.33
492,cat,-0.267,Dog
fxqnuawsda,DOG,-328,-0.158
