jtcbwlyecm,tqcriavujj,pEt,grkefszvmq
-192,-0.179,DOg,-878
vebudzxlzq,lbjgobtuxe,cAt,-270
-885,whvupvrfrh,CaT,368
-184,pnxjwarqia,DOg,Cat
cskkdusmvb,-848,143,64
0.0495,odmkpekhmi,cAT,326
CAT,0.255,-580,924
kqzvumwzsj,0.154,Cat,bkqvyemukx
njwawunxkl,-0.147,dog,-945
ayulxandzb,duyykyqsgs,gfhgxxkbmw,cat
bixhykxmph,553,0.3035,cat
zlbytnoitx,0.289,Cat,sbznfzivff
aodwurcqbw,-133,CAT,zpraibtjze
nqmslsqzty,-0.354,-998,-0.481
681,0.002,dOG,-0.291
nvpcbvrtet,eztfgrxdje,DoG,-0.219
ermjhpzxnu,DOg,-0.416,bvzqmxxbyj
282,-231,dOG,doG
-0.415,-0.1225,CAt,0.4945
0.053,-0.219,kuuubphwzu,177
bewwyblcxn,0.276,DOg,31
275,lmyzqqxvnn,cAT,372
Cat,otvurhbosl,0.389,doG
721,-372,cat,cmeeytcxzt
-580,setqjknrrp,eugztmnfol,dog
353,-924,Dog,asgwtmhlkj
eajlolaxta,-775,CAt,-860
829,-860,caT,626
ntjiuvtgiz,0.401,-464,yczcyutngb
883,0.467,DoG,-111
wxcybeeqwc,sciasdhodr,cAt,53
13,566,DOg,-0.0865
232,-0.169,DoG,dOg
-0.3015,-0.209,caT,-709
241,618,Dog,dog
-711,ayiipzechx,caT,DoG
dOg,DOg,Dog,-645
-0.301,dennijwhow,htjuxnytcx,upqyytourv
770,-0.1825,dOg,-840
ijygamohsi,-32,Cat,-760
mvcahdxamu,rpphjhbeiq,mzxhutbzql,245
648,CAt,ekwhdqpuyy,rcjflegsdu
-0.148,nkfetwnymt,DOG,0.274
-0.2895,-956,wljkfuxsay,779
caT,-686,CaT,hehbacqjho
CaT,dxisjjbxdd,caT,dOG
lptiaekjgs,pnkzvwkgak,DOG,tkqwibimvl
cAT,nonosmtlno,dOG,-493
649,925,4,zbpsdbdpgz
hufbtflqxp,xazdrcveho,DOG,-0.256
gntlkeovzo,0.178,0.4595,0.0295
DOg,doG,CAt,-160
DOg,-0.4275,DOg,-348
-0.137,0.0945,691,ifzcyxagfm
-0.1495,-0.0075,cAT,Cat
-0.269,ognfarboom,Dog,628
-0.423,423,-0.2925,udllurbagv
dog,Dog,CAt,987
-190,-376,CAt,471
DOG,cAT,DOG,0.1315
rxlpjxkust,mjakxortge,rxrfmltcci,-0.313
doG,0.233,DOg,-512
820,0.386,doG,-472
-0.3905,-0.4925,-0.032,0.4255
aapcsffyba,iinkpqdnpu,CAT,axglrggibv
jzvmksegjo,0.3565,CAt,0.419
0.2885,njcwjxwlir,0.259,0.103
-0.188,dOg,cat,cat
-684,-0.1895,doG,-0.1915
0.2205,wwstsmgrcp,-58,zvixyvrtkf
DoG,uugwrbebmg,106,-544
0.1215,-543,-374,-0.4215
doG,-0.4715,0.1795,-704
-0.065,ulwgcpfwob,cAt,963
-0.3495,DOg,doG,-0.276
-0.085,0.226,0.259,tfqlhkgngn
0.008,715,138,yhoxtcgcpf
681,860,dOg,0.3305
0.312,DOG,0.355,0.468
-662,kzivnionff,Dog,-0.2165
143,zenmnnexgi,dOg,0.389
0.078,-350,DOg,-0.0935
-371,kxsyjsznon,caT,0.1195
cAT,0.301,0.49,0.3135
-453,Dog,dOG,dog
-0.4185,-822,DoG,-633
0.106,weycmoyxwc,744,820
135,-39,DoG,-0.458
